Profile_ID,hour,N
OFFS_GEN,0,0.915
OFFS_GEN,1,1.005
OFFS_GEN,2,1.015
OFFS_GEN,3,1.005
OFFS_GEN,4,1.04
OFFS_GEN,5,1.005
OFFS_GEN,6,1.075
OFFS_GEN,7,0.975
OFFS_GEN,8,0.95
OFFS_GEN,9,0.975
OFFS_GEN,10,0.925
OFFS_GEN,11,0.9
OFFS_GEN,12,1.055
OFFS_GEN,13,1
OFFS_GEN,14,0.975
OFFS_GEN,15,1.05
OFFS_GEN,16,0.98
OFFS_GEN,17,1.09
OFFS_GEN,18,0.94
OFFS_GEN,19,1.015
OFFS_GEN,20,0.955
OFFS_GEN,21,1.065
OFFS_GEN,22,0.965
OFFS_GEN,23,1.07
OFFS_GEN,0,0.935
OFFS_GEN,1,0.95
OFFS_GEN,2,0.965
OFFS_GEN,3,1.08
OFFS_GEN,4,0.92
OFFS_GEN,5,1.055
OFFS_GEN,6,0.95
OFFS_GEN,7,1.035
OFFS_GEN,8,0.925
OFFS_GEN,9,1.035
OFFS_GEN,10,1.065
OFFS_GEN,11,0.95
OFFS_GEN,12,0.97
OFFS_GEN,13,0.92
OFFS_GEN,14,0.905
OFFS_GEN,15,1.065
OFFS_GEN,16,0.965
OFFS_GEN,17,1.035
OFFS_GEN,18,0.93
OFFS_GEN,19,1.06
OFFS_GEN,20,1.09
OFFS_GEN,21,0.905
OFFS_GEN,22,0.975
OFFS_GEN,23,1.035
OFFS_GEN,0,1.1
OFFS_GEN,1,0.935
OFFS_GEN,2,0.945
OFFS_GEN,3,0.93
OFFS_GEN,4,0.94
OFFS_GEN,5,1.02
OFFS_GEN,6,1.03
OFFS_GEN,7,1.05
OFFS_GEN,8,0.945
OFFS_GEN,9,1.03
OFFS_GEN,10,1.025
OFFS_GEN,11,1.055
OFFS_GEN,12,1.03
OFFS_GEN,13,0.965
OFFS_GEN,14,1.04
OFFS_GEN,15,0.98
OFFS_GEN,16,0.925
OFFS_GEN,17,0.965
OFFS_GEN,18,0.94
OFFS_GEN,19,1.09
OFFS_GEN,20,0.95
OFFS_GEN,21,1.03
OFFS_GEN,22,0.915
OFFS_GEN,23,0.945
OFFS_GEN,0,1.02
OFFS_GEN,1,0.995
OFFS_GEN,2,1.09
OFFS_GEN,3,0.985
OFFS_GEN,4,1.035
OFFS_GEN,5,0.9
OFFS_GEN,6,1.1
OFFS_GEN,7,1.015
OFFS_GEN,8,1.085
OFFS_GEN,9,1.065
OFFS_GEN,10,1.05
OFFS_GEN,11,1.005
OFFS_GEN,12,1.05
OFFS_GEN,13,0.93
OFFS_GEN,14,1.06
OFFS_GEN,15,1.05
OFFS_GEN,16,0.94
OFFS_GEN,17,1.045
OFFS_GEN,18,0.91
OFFS_GEN,19,1.01
OFFS_GEN,20,0.99
OFFS_GEN,21,0.905
OFFS_GEN,22,1.03
OFFS_GEN,23,1.065
OFFS_GEN,0,1.095
OFFS_GEN,1,0.9
OFFS_GEN,2,0.965
OFFS_GEN,3,1.015
OFFS_GEN,4,1.08
OFFS_GEN,5,0.95
OFFS_GEN,6,1.04
OFFS_GEN,7,1.005
OFFS_GEN,8,0.91
OFFS_GEN,9,0.945
OFFS_GEN,10,1.03
OFFS_GEN,11,1.04
OFFS_GEN,12,0.96
OFFS_GEN,13,1.035
OFFS_GEN,14,1.03
OFFS_GEN,15,1.06
OFFS_GEN,16,1.04
OFFS_GEN,17,1.005
OFFS_GEN,18,1.055
OFFS_GEN,19,0.955
OFFS_GEN,20,0.925
OFFS_GEN,21,1.1
OFFS_GEN,22,0.92
OFFS_GEN,23,1.085
OFFS_GEN,0,1.095
OFFS_GEN,1,0.985
OFFS_GEN,2,0.955
OFFS_GEN,3,0.98
OFFS_GEN,4,0.915
OFFS_GEN,5,1.06
OFFS_GEN,6,1.015
OFFS_GEN,7,1.05
OFFS_GEN,8,1.095
OFFS_GEN,9,1.02
OFFS_GEN,10,0.95
OFFS_GEN,11,0.96
OFFS_GEN,12,0.995
OFFS_GEN,13,0.935
OFFS_GEN,14,0.99
OFFS_GEN,15,1.1
OFFS_GEN,16,0.93
OFFS_GEN,17,0.97
OFFS_GEN,18,1.06
OFFS_GEN,19,1.01
OFFS_GEN,20,0.98
OFFS_GEN,21,1.1
OFFS_GEN,22,0.97
OFFS_GEN,23,1.02
OFFS_GEN,0,1.09
OFFS_GEN,1,1.06
OFFS_GEN,2,0.97
OFFS_GEN,3,0.93
OFFS_GEN,4,1.07
OFFS_GEN,5,1.09
OFFS_GEN,6,1.09
OFFS_GEN,7,0.98
OFFS_GEN,8,1.025
OFFS_GEN,9,0.955
OFFS_GEN,10,1.04
OFFS_GEN,11,0.96
OFFS_GEN,12,0.99
OFFS_GEN,13,0.955
OFFS_GEN,14,0.94
OFFS_GEN,15,1.09
OFFS_GEN,16,0.98
OFFS_GEN,17,0.98
OFFS_GEN,18,1.03
OFFS_GEN,19,1.03
OFFS_GEN,20,0.94
OFFS_GEN,21,0.995
OFFS_GEN,22,1.095
OFFS_GEN,23,0.91
OFFS_GEN,0,1.065
OFFS_GEN,1,1.05
OFFS_GEN,2,0.94
OFFS_GEN,3,0.985
OFFS_GEN,4,0.98
OFFS_GEN,5,0.9
OFFS_GEN,6,1.03
OFFS_GEN,7,0.91
OFFS_GEN,8,0.91
OFFS_GEN,9,1.095
OFFS_GEN,10,0.995
OFFS_GEN,11,1.02
OFFS_GEN,12,1.005
