Profile_ID,hour,N
SHIP_MIS,0,159
SHIP_MIS,0,159
SHIP_MIS,0,187
SHIP_MIS,0,62
SHIP_MIS,0,80
SHIP_MIS,0,44
SHIP_MIS,0,22
SHIP_MIS,0,17
SHIP_MIS,0,102
SHIP_MIS,0,211
SHIP_MIS,0,246
SHIP_MIS,0,247
SHIP_MIS,0,228
SHIP_MIS,0,251
SHIP_MIS,0,114
SHIP_MIS,0,46
SHIP_MIS,0,137
SHIP_MIS,0,111
SHIP_MIS,0,165
SHIP_MIS,0,146
SHIP_MIS,0,52
SHIP_MIS,0,128
SHIP_MIS,0,111
SHIP_MIS,0,110
SHIP_MIS,0,249
SHIP_MIS,0,236
SHIP_MIS,0,200
SHIP_MIS,0,207
SHIP_MIS,0,325
SHIP_MIS,0,332
SHIP_MIS,0,144
SHIP_MIS,0,193
SHIP_MIS,0,255
SHIP_MIS,0,217
SHIP_MIS,0,197
SHIP_MIS,0,144
SHIP_MIS,0,132
SHIP_MIS,0,136
SHIP_MIS,0,49
SHIP_MIS,0,106
SHIP_MIS,0,386
SHIP_MIS,0,467
SHIP_MIS,0,421
SHIP_MIS,0,449
SHIP_MIS,0,616
SHIP_MIS,0,669
SHIP_MIS,0,493
SHIP_MIS,0,198
SHIP_MIS,0,330
SHIP_MIS,0,245
SHIP_MIS,0,116
SHIP_MIS,0,102
SHIP_MIS,0,68
SHIP_MIS,0,114
SHIP_MIS,0,139
SHIP_MIS,0,159
SHIP_MIS,0,117
SHIP_MIS,0,93
SHIP_MIS,0,175
SHIP_MIS,0,85
SHIP_MIS,0,70
SHIP_MIS,0,93
SHIP_MIS,0,78
SHIP_MIS,0,82
SHIP_MIS,0,87
SHIP_MIS,0,96
SHIP_MIS,0,84
SHIP_MIS,0,67
SHIP_MIS,0,85
SHIP_MIS,0,124
SHIP_MIS,0,57
SHIP_MIS,0,55
SHIP_MIS,0,40
SHIP_MIS,0,76
SHIP_MIS,0,59
SHIP_MIS,0,94
SHIP_MIS,0,71
SHIP_MIS,0,79
SHIP_MIS,0,176
SHIP_MIS,0,55
SHIP_MIS,0,88
SHIP_MIS,0,74
SHIP_MIS,0,26
SHIP_MIS,0,151
SHIP_MIS,0,76
SHIP_MIS,0,132
SHIP_MIS,0,32
SHIP_MIS,0,90
SHIP_MIS,0,104
SHIP_MIS,0,84
SHIP_MIS,0,83
