Profile_ID,hour,wday,N
MISC_ANY,0,1,0.915
MISC_ANY,1,1,0.905
MISC_ANY,2,1,0.995
MISC_ANY,3,1,1.07
MISC_ANY,4,1,1.03
MISC_ANY,5,1,1.075
MISC_ANY,6,1,0.95
MISC_ANY,7,1,0.93
MISC_ANY,8,1,0.97
MISC_ANY,9,1,0.99
MISC_ANY,10,1,0.96
MISC_ANY,11,1,1.09
MISC_ANY,12,1,0.98
MISC_ANY,13,1,1.06
MISC_ANY,14,1,1.07
MISC_ANY,15,1,1.065
MISC_ANY,16,1,0.925
MISC_ANY,17,1,1.045
MISC_ANY,18,1,1.065
MISC_ANY,19,1,0.99
MISC_ANY,20,1,0.955
MISC_ANY,21,1,0.925
MISC_ANY,22,1,0.93
MISC_ANY,23,1,0.915
MISC_ANY,0,2,0.935
MISC_ANY,1,2,0.96
MISC_ANY,2,2,0.9
MISC_ANY,3,2,0.995
MISC_ANY,4,2,0.95
MISC_ANY,5,2,1.02
MISC_ANY,6,2,0.97
MISC_ANY,7,2,0.91
MISC_ANY,8,2,0.935
MISC_ANY,9,2,0.905
MISC_ANY,10,2,0.98
MISC_ANY,11,2,1.095
MISC_ANY,12,2,0.915
MISC_ANY,13,2,1.07
MISC_ANY,14,2,1.045
MISC_ANY,15,2,1.005
MISC_ANY,16,2,0.905
MISC_ANY,17,2,0.975
MISC_ANY,18,2,0.94
MISC_ANY,19,2,1
MISC_ANY,20,2,0.995
MISC_ANY,21,2,0.93
MISC_ANY,22,2,0.99
MISC_ANY,23,2,0.94
MISC_ANY,0,3,1.09
MISC_ANY,1,3,1.07
MISC_ANY,2,3,1.08
MISC_ANY,3,3,0.99
MISC_ANY,4,3,0.985
MISC_ANY,5,3,1.065
MISC_ANY,6,3,0.945
MISC_ANY,7,3,0.935
MISC_ANY,8,3,0.98
MISC_ANY,9,3,0.97
MISC_ANY,10,3,1.09
MISC_ANY,11,3,0.98
MISC_ANY,12,3,1.1
MISC_ANY,13,3,0.99
MISC_ANY,14,3,0.965
MISC_ANY,15,3,0.985
MISC_ANY,16,3,0.975
MISC_ANY,17,3,1.06
MISC_ANY,18,3,1.095
MISC_ANY,19,3,0.925
MISC_ANY,20,3,1.085
MISC_ANY,21,3,1.02
MISC_ANY,22,3,1.045
MISC_ANY,23,3,1.025
MISC_ANY,0,4,0.94
MISC_ANY,1,4,1.005
MISC_ANY,2,4,0.995
MISC_ANY,3,4,0.96
MISC_ANY,4,4,0.96
MISC_ANY,5,4,1.07
MISC_ANY,6,4,1.03
MISC_ANY,7,4,0.92
MISC_ANY,8,4,0.995
MISC_ANY,9,4,0.9
MISC_ANY,10,4,0.96
MISC_ANY,11,4,0.91
MISC_ANY,12,4,1.035
MISC_ANY,13,4,1.09
MISC_ANY,14,4,0.905
MISC_ANY,15,4,0.945
MISC_ANY,16,4,0.905
MISC_ANY,17,4,0.98
MISC_ANY,18,4,1.035
MISC_ANY,19,4,1.07
MISC_ANY,20,4,0.98
MISC_ANY,21,4,1.07
MISC_ANY,22,4,1.1
MISC_ANY,23,4,1.1
MISC_ANY,0,5,1.02
MISC_ANY,1,5,1.095
MISC_ANY,2,5,0.92
MISC_ANY,3,5,1.09
MISC_ANY,4,5,0.99
MISC_ANY,5,5,1.085
MISC_ANY,6,5,1.03
MISC_ANY,7,5,1.02
MISC_ANY,8,5,0.945
MISC_ANY,9,5,0.915
MISC_ANY,10,5,0.905
MISC_ANY,11,5,0.98
MISC_ANY,12,5,0.965
MISC_ANY,13,5,0.91
MISC_ANY,14,5,1.015
MISC_ANY,15,5,1.025
MISC_ANY,16,5,1.05
MISC_ANY,17,5,0.985
MISC_ANY,18,5,1.09
MISC_ANY,19,5,1.025
MISC_ANY,20,5,1.085
MISC_ANY,21,5,1.06
MISC_ANY,22,5,0.93
MISC_ANY,23,5,0.925
MISC_ANY,0,6,0.93
MISC_ANY,1,6,0.925
MISC_ANY,2,6,1.01
MISC_ANY,3,6,1.05
MISC_ANY,4,6,1.005
MISC_ANY,5,6,0.92
MISC_ANY,6,6,1.015
MISC_ANY,7,6,1.03
MISC_ANY,8,6,1.045
MISC_ANY,9,6,1.07
MISC_ANY,10,6,0.955
MISC_ANY,11,6,1.09
MISC_ANY,12,6,1.01
MISC_ANY,13,6,0.93
MISC_ANY,14,6,0.965
MISC_ANY,15,6,1.08
MISC_ANY,16,6,1.02
MISC_ANY,17,6,1.055
MISC_ANY,18,6,0.97
MISC_ANY,19,6,0.975
MISC_ANY,20,6,0.915
MISC_ANY,21,6,1.02
MISC_ANY,22,6,0.945
MISC_ANY,23,6,0.94
MISC_ANY,0,7,1
MISC_ANY,1,7,1.025
MISC_ANY,2,7,1.085
