Profile_ID,wday,N
ROAD_CAT_MOT,1,0.14203263
ROAD_CAT_RUR,1,0.144848866
ROAD_CAT_URB,1,0.145416107
ROAD_CAT_ALL,1,0.1443756
ROAD_CYC_MOT,1,0.142449023
ROAD_CYC_RUR,1,0.130214286
ROAD_CYC_URB,1,0.142831637
ROAD_CYC_ALL,1,0.137459376
ROAD_LGV_MOT,1,0.156579182
ROAD_LGV_RUR,1,0.153340713
ROAD_LGV_URB,1,0.15148377
ROAD_LGV_ALL,1,0.153395701
ROAD_HGV_MOT,1,0.167071255
ROAD_HGV_RUR,1,0.167856633
ROAD_HGV_URB,1,0.164256899
ROAD_BUS_MOT,1,0.167380748
ROAD_BUS_RUR,1,0.162304973
ROAD_BUS_URB,1,0.156949552
ROAD_CAT_MOT,2,0.138003943
ROAD_CAT_RUR,2,0.146391635
ROAD_CAT_URB,2,0.149987144
ROAD_CAT_ALL,2,0.1453756
ROAD_CYC_MOT,2,0.141877656
ROAD_CYC_RUR,2,0.133607143
ROAD_CYC_URB,2,0.150258882
ROAD_CYC_ALL,2,0.142566337
ROAD_LGV_MOT,2,0.155507945
ROAD_LGV_RUR,2,0.157054601
ROAD_LGV_URB,2,0.157054601
ROAD_LGV_ALL,2,0.156716418
ROAD_HGV_MOT,2,0.178994717
ROAD_HGV_RUR,2,0.17920891
ROAD_HGV_URB,2,0.176073685
ROAD_BUS_MOT,2,0.165666952
ROAD_BUS_RUR,2,0.17369417
ROAD_BUS_URB,2,0.164875576
ROAD_CAT_MOT,3,0.140546873
ROAD_CAT_RUR,3,0.148705788
ROAD_CAT_URB,3,0.151701283
ROAD_CAT_ALL,3,0.1476042
ROAD_CYC_MOT,3,0.143556048
ROAD_CYC_RUR,3,0.13475
ROAD_CYC_URB,3,0.151937154
ROAD_CYC_ALL,3,0.14403057
ROAD_LGV_MOT,3,0.158400286
ROAD_LGV_RUR,3,0.159447202
ROAD_LGV_URB,3,0.159125808
ROAD_LGV_ALL,3,0.159144469
ROAD_HGV_MOT,3,0.181600743
ROAD_HGV_RUR,3,0.182207625
ROAD_HGV_URB,3,0.178465603
ROAD_BUS_MOT,3,0.170844045
ROAD_BUS_RUR,3,0.177157342
ROAD_BUS_URB,3,0.167553286
ROAD_CAT_MOT,4,0.145289865
ROAD_CAT_RUR,4,0.151048512
ROAD_CAT_URB,4,0.152815473
ROAD_CAT_ALL,4,0.1501471
ROAD_CYC_MOT,4,0.150019641
ROAD_CYC_RUR,4,0.147857143
ROAD_CYC_URB,4,0.155579361
ROAD_CYC_ALL,4,0.151887433
ROAD_LGV_MOT,4,0.162435279
ROAD_LGV_RUR,4,0.162304039
ROAD_LGV_URB,4,0.160911331
ROAD_LGV_ALL,4,0.161858173
ROAD_HGV_MOT,4,0.183278595
ROAD_HGV_RUR,4,0.183671284
ROAD_HGV_URB,4,0.179251009
ROAD_BUS_MOT,4,0.171201085
ROAD_BUS_RUR,4,0.177193045
ROAD_BUS_URB,4,0.168088829
ROAD_CAT_MOT,5,0.158318809
ROAD_CAT_RUR,5,0.159305183
ROAD_CAT_URB,5,0.156415164
ROAD_CAT_ALL,5,0.1580331
ROAD_CYC_MOT,5,0.159697175
ROAD_CYC_RUR,5,0.14175
ROAD_CYC_URB,5,0.15200857
ROAD_CYC_ALL,5,0.148280419
ROAD_LGV_MOT,5,0.160114265
ROAD_LGV_RUR,5,0.163732457
ROAD_LGV_URB,5,0.162196907
ROAD_LGV_ALL,5,0.162465186
ROAD_HGV_MOT,5,0.166964158
ROAD_HGV_RUR,5,0.171390833
ROAD_HGV_URB,5,0.173503267
ROAD_BUS_MOT,5,0.17062982
ROAD_BUS_RUR,5,0.171623407
ROAD_BUS_URB,5,0.163268949
ROAD_CAT_MOT,6,0.135746736
ROAD_CAT_RUR,6,0.131792469
ROAD_CAT_URB,6,0.132702911
ROAD_CAT_ALL,6,0.1330038
ROAD_CYC_MOT,6,0.127164947
ROAD_CYC_RUR,6,0.144821429
ROAD_CYC_URB,6,0.126477415
ROAD_CYC_ALL,6,0.134280919
ROAD_LGV_MOT,6,0.105945367
ROAD_LGV_RUR,6,0.111452344
ROAD_LGV_URB,6,0.118165911
ROAD_LGV_ALL,6,0.112583018
ROAD_HGV_MOT,6,0.069577324
ROAD_HGV_RUR,6,0.068363558
ROAD_HGV_URB,6,0.079932884
ROAD_BUS_MOT,6,0.086082548
ROAD_BUS_RUR,6,0.091113571
ROAD_BUS_URB,6,0.119283088
ROAD_CAT_MOT,7,0.140061145
ROAD_CAT_RUR,7,0.117907548
ROAD_CAT_URB,7,0.110961918
ROAD_CAT_ALL,7,0.1214606
ROAD_CYC_MOT,7,0.13523551
ROAD_CYC_RUR,7,0.167
ROAD_CYC_URB,7,0.120906981
ROAD_CYC_ALL,7,0.141494947
ROAD_LGV_MOT,7,0.101017675
ROAD_LGV_RUR,7,0.092668643
ROAD_LGV_URB,7,0.091061672
ROAD_LGV_ALL,7,0.093837035
ROAD_HGV_MOT,7,0.052513209
ROAD_HGV_RUR,7,0.047301157
ROAD_HGV_URB,7,0.048516654
ROAD_BUS_MOT,7,0.068194801
ROAD_BUS_RUR,7,0.046913492
ROAD_BUS_URB,7,0.05998072
