
"Gas","NFR/CRF Group","Source","Activity","Units","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Nitrogen oxides (NOx expressed as NO2)","1A","","","kilotonne","2853.8347714315","2835.2101600782","2823.1951261058","2991.4763367371","2802.0150147874","2722.2827046025","2764.5523742862","2779.1673824169","2820.7050312014","2919.4970546426","2788.6147272675","2674.4260872027","2669.8228319687","2636.5384232383","2598.8479989291","2695.6070396653","2783.9919301493","2857.3680278158","2923.3950208195","2977.6584485361","2834.1953211372","2768.9092515415","2708.2230342556","2574.1521923951","2541.2965325844","2447.0028297504","2348.6563662167","2187.901055512","2137.9836869043","2033.2819120379","1959.6443755716","1921.1572258818","1827.616171842","1803.8247689307","1751.8254863205","1726.9680094643","1671.4254394217","1597.3498753992","1438.0996257556","1249.699065023","1220.0536327265","1134.2668220525","1156.6631468564","1092.5860272022","1018.7039878281","984.74238418034","891.33427568363","860.67545351619","821.86869662277","773.83089912387","667.96857996952"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Miscellaneous industrial/commercial combustion","MSW","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.575134105263157","0.574340816842105","0.608452218947368","0.637010602105263","0.65128979368421","0.717132732631579","0.792495132631579","0.753148026947368","0.435619572430746","0.46423941077259","0.392359879957646","0.623075854231513","0.650031705249","0.679299550154581","0.85142250221738","0.883898175066607","0.794745862200251","0.503152593471952","0.612499518759854","0.677373494357849","0.567020172854529","0.635766954994146","0.893799655069467","0.858030967892769","0.933341235532166","0.902012564302803","0.962552855994249","0.946067857001528","1.03039666728411","0.974506700592216","1.00236691727508","1.34329814937159"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","Burning oil","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00121567530191304","0.00121567530191304","0.000814598174746452","0.00118312966390906","0.00139276186164052","0.00125013538921136","0.00129799662157014","0.00117738631602601","0.0644396822640202","0.0658444412693395","0.0206225371779798","0.00811053528997231","0.00718852515322999","0.00411094246346074","0.00496643459626776","0.00412927310752865","0.00364623862375363","0.00280171714951023","0.00301380839524583","0.00744926838498236","0.00339059843863331","0.00423225613310011","0.00392269804473587","0.00501836711858648"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","Coal","kilotonne","687.454048","648.556841","593.376047","683.830527","596.990665","664.1638","692.6534","712.24","717.5818","790.5864","797.432807","776.564175","714.269884","726.173195","475.518133","658.28782","735.850756","767.224928","734.185895","720.101069800001","651.99334873455","598.766977819031","571.825903201402","476.266451591875","477.320886639445","443.944398756401","386.498929173809","299.157563471714","298.337433581069","253.04932038435","274.875396992624","310.540821581435","291.113284546542","328.956524872415","297.472975437369","315.41262448516","336.3961100446","301.106454956277","212.02365510056","180.827976465938","175.207274273359","174.813851929224","231.716893714182","216.264226201201","163.434033821394","127.719367936306","51.5680522011353","35.920929432969","23.121062206961","10.8780438614041","7.97573243559841"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","Coke","kilotonne","3.2943006","1.1444988","0.4175874","0.154662","0.0979526","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","Fuel oil","kilotonne","116.17328","139.9584","169.78496","157.51664","161.17664","126.12848","98.3905600000001","99.1713600000001","108.7752","104.5784","61.83936","46.53568","61.11712","36.63904","193.17968","92.8078400000001","53.5327182481051","42.1996277125713","48.5858849084608","45.5320586657575","59.7497698188737","44.3137662427397","28.2808133975525","25.6225549861127","19.3730273291191","18.2834136879381","17.7738131652269","7.23831362363582","5.62565469084428","6.15055927408304","5.86769465611905","6.55527087700199","4.94294654822631","4.54139676014507","5.11671729746187","5.9205860724373","7.23579854334764","6.03230740020438","8.08942063092558","5.51028728711024","3.94431653146123","2.62836477525174","2.68635879112722","2.56216798717595","2.4787097781599","2.59941212207373","2.46647098244418","1.95013063162209","1.78901136599552","1.31433032677717","1.16474812947713"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","Gas oil","kilotonne","5.04986999999999","3.72122999999999","8.51159999999998","4.42706999999999","3.77312999999999","2.19018","1.8684","3.71084999999999","2.55867","2.45487","0.934199999999998","0.493049999999999","1.23522","0.669509999999999","2.32512","1.10028","0.399629999999999","0.352919999999999","0.358109999999999","0.26988","0.283564261366207","0.3241355482006","0.246734302475","0.3343191529868","0.192375011734929","0.160642325374966","0.17020439682197","0.367254932807801","0.391424020018519","0.45782395005541","0.40642492925367","0.387149915992366","3.37856672061922","0.32059775004435","3.71356713267475","0.440657323388399","0.44308181073694","0.328335549531747","0.494259012690262","0.485711401962717","0.307161794043702","0.219605776307438","0.223551021290937","0.319934508826762","0.361770417083865","0.356163131686084","0.326764714096757","0.323802034479391","0.521627170362724","0.647768791783901","0.772057394014459"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","LPG","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0.920429316227351","1.90222058686985","1.70060273664863","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","Natural gas","kilotonne","0.281356668892905","1.2332800653139","2.9542450233755","1.3364441772413","4.61893864765853","4.02340036516854","3.00113780152432","2.05390368291821","1.18638728716508","0.754973728195961","0.257910279818496","0","0","0","0.464238503673293","0.5908490046751","0.00515820559636995","0.00562713337785811","0.00797177228529896","0.00890962784827534","0.014083336519901","0.0323276588297727","0.440682447586789","11.2248620677893","14.6092890617357","17.1039151200835","21.6269405569782","33.271839944158","37.286584742047","38.4752064718366","42.4648074813106","38.9665681740528","40.4183777076489","38.1452080490864","39.3388813025618","39.5540986184214","35.6451250644902","41.3690057696079","46.9568914665025","44.1742990624644","40.7235316415507","28.736648603249","19.325058168767","17.5371606594074","18.8916461820778","17.8786371911215","23.5508667785503","22.2667646953192","21.3895474237381","19.9231253318447","17.384240214243"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Power stations","Landfill gas","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.333971766894057","0.457796353630486","0.457815425094308","0.684715175250697","1.24092075749246","1.47183643243038","1.70174812617292","1.85033734308949","2.33024035448221","3.02298737929597","3.9034788876462","5.6062309950145","7.20406706746536","8.25513498091104","8.82017559767217","10.7879787406214","13.1836786690425","14.12782258518","14.568971922431","15.3998667597293","15.4628163806798","16.1925099134836","17.1782186511099","17.5112392136182","17.1506091682369","17.0391672555495","16.5735207771312","16.0432179097303","15.4857071519345","14.1057349988816","12.8939296960552","11.9342240713893","11.5119495806115"
