wday,hour,N
1,0,0.774861938448965
1,1,0.705110540540223
1,2,0.672883753712419
1,3,0.680456833815907
1,4,0.726622904699023
1,5,0.806149379642083
1,6,0.910609073434059
1,7,1.01495360460136
1,8,1.08867202318095
1,9,1.12018899670436
1,10,1.12728839208985
1,11,1.1287951476584
1,12,1.13174514964632
1,13,1.13756063380628
1,14,1.14896414190231
1,15,1.17147755826322
1,16,1.20915300215835
1,17,1.24485891304303
1,18,1.24780798061647
1,19,1.1980809978271
1,20,1.10767613695685
1,21,0.994351438103148
1,22,0.876869520700367
1,23,0.774861938448965
2,0,0.786390864045504
2,1,0.742728710317955
2,2,0.731767776843105
2,3,0.74114892328122
2,4,0.76848845371134
2,5,0.822935334384435
2,6,0.909337541921731
2,7,1.00488121945327
2,8,1.07743853403496
2,9,1.11302162495701
2,10,1.12577455386278
2,11,1.13126969400606
2,12,1.13720413054333
2,13,1.14750422535254
2,14,1.16360235942506
2,15,1.1817495422124
2,16,1.19723616951406
2,17,1.20176996427027
2,18,1.18475053803709
2,19,1.13881627765684
2,20,1.06603273928236
2,21,0.970790263144253
2,22,0.86896969569691
2,23,0.786390864045504
3,0,0.76726288332138
3,1,0.711339523844421
3,2,0.703165110106344
3,3,0.721209066859409
3,4,0.75703600499973
3,5,0.817349946915856
3,6,0.905462178103615
3,7,1.00098022647938
3,8,1.07551110348678
3,9,1.11505067485331
3,10,1.12791035446894
3,11,1.12438529971827
3,12,1.1152799404218
3,13,1.11162314745957
3,14,1.12145485441732
3,15,1.14654406388068
3,16,1.186602872689
3,17,1.22661119988513
3,18,1.24205004254953
3,19,1.21392802580805
3,20,1.13960969895584
3,21,1.02066585283883
3,22,0.881705044615442
3,23,0.76726288332138
4,0,0.808417625956965
4,1,0.735597826826927
4,2,0.705947459398245
4,3,0.717180840363843
4,4,0.762425188174053
4,5,0.829504553604626
4,6,0.906543034396799
4,7,0.984996718518709
4,8,1.05743767530934
4,9,1.1138972389171
4,10,1.1404668012976
4,11,1.12672743709401
4,12,1.09266579839275
4,13,1.07267874895893
4,14,1.08674191326563
4,15,1.12440235500767
4,16,1.17123963377386
4,17,1.21125222022463
4,18,1.22742219422146
4,19,1.2063665425092
4,20,1.14520698673281
4,21,1.04394239739163
4,22,0.920521183706246
4,23,0.808417625956966
5,0,0.805164940575019
5,1,0.754764397436107
5,2,0.734269640531987
5,3,0.734654922122861
5,4,0.755915779833261
5,5,0.808477305310168
5,6,0.898231485222468
5,7,1.00245346695517
5,8,1.08872014658012
5,9,1.13961166555542
5,10,1.16097867774752
5,11,1.16092208096933
5,12,1.14951611994264
5,13,1.13775853286716
5,14,1.13380465039768
5,15,1.13983712810987
5,16,1.15632870914502
5,17,1.17261717085483
5,18,1.17086141381678
5,19,1.13805284159393
5,20,1.07542798810925
5,21,0.987372041850056
5,22,0.889093953898331
5,23,0.805164940575019
6,0,0.878133972708335
6,1,0.843342475052573
6,2,0.834673193795583
6,3,0.831372865126897
6,4,0.828217180238724
6,5,0.837934934406739
6,6,0.871348460216494
6,7,0.923016043748957
6,8,0.981818456399009
6,9,1.03522578213713
6,10,1.06853033847382
6,11,1.07009886762139
6,12,1.05420199734504
6,13,1.04739750206809
6,14,1.06565160982304
6,15,1.10256056907891
6,16,1.14845395973787
6,17,1.18843138266045
6,18,1.20422376251466
6,19,1.18298760666626
6,20,1.12764790794818
6,21,1.04460202423373
6,22,0.951995135289801
6,23,0.878133972708335
7,0,0.867389304703795
7,1,0.784428673139035
7,2,0.733718312868123
7,3,0.713558915294379
7,4,0.721141901463118
7,5,0.752376259300974
7,6,0.802164575629068
7,7,0.860177654484245
7,8,0.914360611444694
7,9,0.958243295548474
7,10,0.994014723154844
7,11,1.02483203200187
7,12,1.05562531668746
7,13,1.09216000068037
7,14,1.13855941184095
7,15,1.19549248842828
7,16,1.26173899036106
7,17,1.31917349430618
7,18,1.33877430704823
7,19,1.30159671694409
7,20,1.21820539077877
7,21,1.10462614920723
7,22,0.980252169980978
7,23,0.867389304703795
