wday,hour,N
1,0,0.928967262365701
1,1,0.935301932537398
1,2,0.94888279697662
1,3,0.965487747543363
1,4,0.982878985558598
1,5,1.00111278263204
1,6,1.0198978272963
1,7,1.03628276639315
1,8,1.04644005857192
1,9,1.04945479114519
1,10,1.04892806496876
1,11,1.04845984182561
1,12,1.04855589463017
1,13,1.04824546974504
1,14,1.04638736547194
1,15,1.04150200674322
1,16,1.03218939587926
1,17,1.01846993126208
1,18,1.00128070061709
1,19,0.981877633079689
1,20,0.962389873926933
1,21,0.945130326240865
1,22,0.932909282223344
1,23,0.928967262365701
2,0,0.92819889891317
2,1,0.936059507944017
2,2,0.950797138051219
2,3,0.967066716984234
2,4,0.982829181280697
2,5,0.999867561100429
2,6,1.01929129724974
2,7,1.03724926412208
2,8,1.04823148842091
2,9,1.05066606677996
2,10,1.04908778795198
2,11,1.04804905813527
2,12,1.04807037118197
2,13,1.04775003418647
2,14,1.04575900350956
2,15,1.04094541172479
2,16,1.03224285559276
2,17,1.01931910356185
2,18,1.00231626792073
2,19,0.982066303463705
2,20,0.961362793051309
2,21,0.943352206113097
2,22,0.931222783846892
2,23,0.92819889891317
3,0,0.928997706414155
3,1,0.93552422878387
3,2,0.948985121950509
3,3,0.965392155354166
3,4,0.982677441757858
3,5,1.00099321263488
3,6,1.02009762423011
3,7,1.03685168579469
3,8,1.0471610973752
3,9,1.05004253805058
3,10,1.04933627179183
3,11,1.04886434731221
3,12,1.04900889139459
3,13,1.04851205206184
3,14,1.04617480934611
3,15,1.04094269891386
3,16,1.03184327102385
3,17,1.01864589589304
3,18,1.00159918040339
3,19,0.981600279038268
3,20,0.961388952744226
3,21,0.944022198672563
3,22,0.932340632644052
3,23,0.928997706414155
4,0,0.929307459766423
4,1,0.935670322054364
4,2,0.948872191686334
4,3,0.964932589628763
4,4,0.981856684507594
4,5,0.999945262335655
4,6,1.01908823599634
4,7,1.03616084210252
4,8,1.04703943533058
4,9,1.05054844518298
4,10,1.05008344811923
4,11,1.04910148310634
4,12,1.04842489791298
4,13,1.04761717844655
4,14,1.04583613234167
4,15,1.04140508679762
4,16,1.03266159138386
4,17,1.01933003822138
4,18,1.00203009210137
4,19,0.981929728124076
4,20,0.961731244017679
4,21,0.944400813605317
4,22,0.93271933746395
4,23,0.929307459766423
5,0,0.928341010276595
5,1,0.935531471434482
5,2,0.949907487699068
5,3,0.966766594071358
5,4,0.983786771641605
5,5,1.00139804736522
5,6,1.01966776175487
5,7,1.03577594704353
5,8,1.04594606313802
5,9,1.04923154293357
5,10,1.04907383952654
5,11,1.04890690152513
5,12,1.04910737595403
5,13,1.04859399581023
5,14,1.04628110188879
5,15,1.04109265319454
5,16,1.03202185321594
5,17,1.01885279348551
5,18,1.00188039939589
5,19,0.981989275575684
5,20,0.961735780224608
5,21,0.943985186793411
5,22,0.931785135774788
5,23,0.928341010276595
6,0,0.928488784088394
6,1,0.935608643239619
6,2,0.949459165973364
6,3,0.965615446742964
6,4,0.982178873107115
6,5,1.00017149296889
6,6,1.02000709773983
6,7,1.03778547572141
6,8,1.0481749154198
6,9,1.04993644427222
6,10,1.04817716898743
6,11,1.0479131696057
6,12,1.04910225702201
6,13,1.04929433536535
6,14,1.0467131515998
6,15,1.04102665133149
6,16,1.03206603801292
6,17,1.01944637817717
6,18,1.002644265296
6,19,0.982100200803125
6,20,0.961034058343699
6,21,0.943127683130314
6,22,0.931439518962996
6,23,0.928488784088394
7,0,0.928119990622962
7,1,0.935864525172742
7,2,0.950597766552693
7,3,0.967324294673122
7,4,0.983836150303193
7,5,1.00114797192833
7,6,1.0197762900376
7,7,1.03644587532126
7,8,1.04662090486026
7,9,1.0492195635474
7,10,1.0485157997722
7,11,1.04870714592142
7,12,1.04972543900163
7,13,1.04947207580021
7,14,1.04644507850588
7,15,1.04041986203732
7,16,1.03130880319913
7,17,1.01874662083792
7,18,1.00218981390013
7,19,0.982002504928139
7,20,0.961168189214092
7,21,0.943126351551376
7,22,0.931098991688028
7,23,0.928119990622962
