wday,hour,N
1,0,0.601562819457804
1,1,0.390864312090011
1,2,0.190067392221643
1,3,0.0745323560693562
1,4,0.101988522084598
1,5,0.309781945398292
1,6,0.707014897936451
1,7,1.15109936235134
1,8,1.4487051975672
1,9,1.52597483767822
1,10,1.49431527459164
1,11,1.4697179365128
1,12,1.47801779446684
1,13,1.50204801872403
1,14,1.52296621334122
1,15,1.51897155996738
1,16,1.46986324570472
1,17,1.37837104217581
1,18,1.26201636064998
1,19,1.13629047095343
1,20,1.01013568189111
1,21,0.890242593333143
1,22,0.763889345375194
1,23,0.601562819457804
2,0,0.601759380311996
2,1,0.389972179539849
2,2,0.188053759071501
2,3,0.0711329866507754
2,4,0.097179683835933
2,5,0.304326011371008
2,6,0.70234391644123
2,7,1.14849348099462
2,8,1.44900582011784
2,9,1.52951070552726
2,10,1.50078833749755
2,11,1.47817590122235
2,12,1.48671408245497
2,13,1.50838150152438
2,14,1.5245390962006
2,15,1.51580862388791
2,16,1.46449446531125
2,17,1.37354350512153
2,18,1.2592182024719
2,19,1.13584169264506
2,20,1.01152015792458
2,21,0.892210317677904
2,22,0.765226811886019
2,23,0.601759380311996
3,0,0.601215382016766
3,1,0.392263819096484
3,2,0.193236573141101
3,3,0.0765719303821114
3,4,0.100191379135943
3,5,0.305233463607011
3,6,0.703891456847716
3,7,1.15162079186091
3,8,1.45141982458104
3,9,1.52814556206358
3,10,1.49562071768789
3,11,1.47213523627921
3,12,1.48236333817141
3,13,1.50633798001524
3,14,1.52405703970964
3,15,1.51602137535055
3,16,1.46459982335502
3,17,1.37314020870161
3,18,1.25852271381586
3,19,1.13538911413522
3,20,1.01129351018052
3,21,0.891548462557764
3,22,0.763964915290622
3,23,0.601215382016766
4,0,0.60098496801765
4,1,0.388387428645877
4,2,0.18566817179268
4,3,0.0693954596342018
4,4,0.0974198157361638
4,5,0.305952090587632
4,6,0.703310008069785
4,7,1.14847480045672
4,8,1.45045643725186
4,9,1.53489292693444
4,10,1.50827653126256
4,11,1.48212803822472
4,12,1.4843515305692
4,13,1.50295382199673
4,14,1.52199677299285
4,15,1.51778464672504
4,16,1.46781502445983
4,17,1.37481333518397
4,18,1.25777812439757
4,19,1.13307658803547
4,20,1.00872652747957
4,21,0.890205132120768
4,22,0.76416685140706
4,23,0.60098496801765
5,0,0.602763157207907
5,1,0.390329063187738
5,2,0.187924684020408
5,3,0.0715551948047335
5,4,0.0991851442653594
5,5,0.307922220960187
5,6,0.706588208440026
5,7,1.15222652172634
5,8,1.45111039173674
5,9,1.52913918463856
5,10,1.49771489018783
5,11,1.4728883270123
5,12,1.48090260636613
5,13,1.50516081853501
5,14,1.52665606390518
5,15,1.52188078787676
5,16,1.46902079827081
5,17,1.37253527305467
5,18,1.25382992966409
5,19,1.13058716623891
5,20,1.00896659066922
5,21,0.892122601554151
5,22,0.766227218469032
5,23,0.602763157207907
6,0,0.795518476459886
6,1,0.690956332101206
6,2,0.594742812380382
6,3,0.546290966139115
6,4,0.570426976794584
6,5,0.675113078246899
6,6,0.857480624398736
6,7,1.05931113397119
6,8,1.20388538190229
6,9,1.25894241339392
6,10,1.26116153749399
6,11,1.25026557854399
6,12,1.24305104929641
6,13,1.24533765366127
6,14,1.25575159206528
6,15,1.25797549834855
6,16,1.23528983631797
6,17,1.18817414704244
6,18,1.12820203419902
6,19,1.06502423236487
6,20,1.0022283611446
6,21,0.941849466891449
6,22,0.877502340382063
6,23,0.795518476459885
7,0,0.881640830240316
7,1,0.836101629295172
7,2,0.80193433485687
7,3,0.790533036447403
7,4,0.808253842220457
7,5,0.855628424373777
7,6,0.929896843351017
7,7,1.01169577510434
7,8,1.07611287168351
7,9,1.11161255477347
7,10,1.12740222162759
7,11,1.13379533391776
7,12,1.13571868250154
7,13,1.13551951439555
7,14,1.13377722601339
7,15,1.12739720939909
7,16,1.1131650074704
7,17,1.09185090279857
7,18,1.06679455348827
7,19,1.03995991824368
7,20,1.00923049947197
7,21,0.971929326240771
7,22,0.928408631844768
7,23,0.881640830240317
