wday,hour,N
1,0,0.462239121950436
1,1,0.189753730371037
1,2,0.00762173664490249
1,3,0.0745692899276681
1,4,0.404620644695837
1,5,0.844509456940614
1,6,1.24134733110614
1,7,1.49650584168118
1,8,1.53191151697858
1,9,1.37101794027287
1,10,1.19461627472255
1,11,1.17159802584688
1,12,1.26886515059312
1,13,1.35736548925726
1,14,1.36738517357695
1,15,1.3548865649093
1,16,1.38407540254941
1,17,1.43102257681841
1,18,1.41497081467587
1,19,1.28711256332402
1,20,1.09326985877585
1,21,0.89328969212579
1,22,0.69520668030488
1,23,0.462239121950436
2,0,0.435544717644475
2,1,0.187966914686838
2,2,0.0398033979555689
2,3,0.127057299922193
2,4,0.454609691641192
2,5,0.875750760179495
2,6,1.2456244521917
2,7,1.47699922774209
2,8,1.50417083005723
2,9,1.35112319738755
2,10,1.18082579470483
2,11,1.14611396771384
2,12,1.22439219279864
2,13,1.30969609682062
2,14,1.34251521464412
2,15,1.36183322459356
2,16,1.41271972233623
2,17,1.46681795121149
2,18,1.44843097095481
2,19,1.31260229192326
2,20,1.10507160559942
2,21,0.885360125039405
2,22,0.669425634606954
2,23,0.435544717644475
3,0,0.452755114228873
3,1,0.257700115119536
3,2,0.151357829331444
3,3,0.226903824545472
3,4,0.487192959554615
3,5,0.830659860929096
3,6,1.15598925442669
3,7,1.3958135094761
3,8,1.49545875493775
3,9,1.45378689914322
3,10,1.35262194251443
3,11,1.27330277040684
3,12,1.2366395656822
3,13,1.23458261875847
3,14,1.25964584454164
3,15,1.30589784825743
3,16,1.36544176611237
3,17,1.40525641052144
3,18,1.37613325682372
3,19,1.25041009004584
3,20,1.06317988449149
3,21,0.859283722866564
3,22,0.657231043055906
3,23,0.452755114228873
4,0,0.488017242004493
4,1,0.216770584279527
4,2,0.0341590668637732
4,3,0.103662967226295
4,4,0.435698849708841
4,5,0.863725539210763
4,6,1.22517804390807
4,7,1.43489927855963
4,8,1.43618208717347
4,9,1.26471852787456
4,10,1.09937756204598
4,11,1.10552935387243
4,12,1.24352860098245
4,13,1.37632330528363
4,14,1.42463162490166
4,15,1.43157820700812
4,16,1.4499325117874
4,17,1.46540706000055
4,18,1.4204775684864
4,19,1.28253340235214
4,20,1.09270226872165
4,21,0.902547256233174
4,22,0.714401849510503
4,23,0.488017242004493
5,0,0.515702118284
5,1,0.254118326623876
5,2,0.0762438909544118
5,3,0.127574229005932
5,4,0.420717457238535
5,5,0.814650005326955
5,6,1.16885573335531
5,7,1.39354548201726
5,8,1.41813573774968
5,9,1.26630367425387
5,10,1.10780308657486
5,11,1.10177508738227
5,12,1.22328499437293
5,13,1.35986442623013
5,14,1.43860110073377
5,15,1.47066543027412
5,16,1.47588504055344
5,17,1.45164791370663
5,18,1.38087445431419
5,19,1.25581717701676
5,20,1.0962665293024
5,21,0.925474646013424
5,22,0.740491340431254
5,23,0.515702118284
6,0,0.488006488001191
6,1,0.225920823021418
6,2,0.0453898901993579
6,3,0.148097447764658
6,4,0.541120318661448
6,5,1.00654925536467
6,6,1.34167890705326
6,7,1.4990093845457
6,8,1.48585730981727
6,9,1.36120949183729
6,10,1.26405756136498
6,11,1.31718248225184
6,12,1.45996932049945
6,13,1.5447784887459
6,14,1.49353889977844
6,15,1.37519390948614
6,16,1.27124792210742
6,17,1.19402866144442
6,18,1.11124670512397
6,19,1.00278714979124
6,20,0.885694816033211
6,21,0.781277228797394
6,22,0.668151050308146
6,23,0.48800648800119
7,0,0.509741513559102
7,1,0.251470421732475
7,2,0.0823065493410528
7,3,0.146775047121065
7,4,0.444622180312866
7,5,0.808214606195577
7,6,1.08152408097702
7,7,1.22563387648631
7,8,1.24300556397769
7,9,1.17605275979265
7,10,1.1290513913972
7,11,1.1950143481143
7,12,1.33524532891981
7,13,1.44852620088762
7,14,1.47979285328054
7,15,1.47157719535023
7,16,1.47351118541329
7,17,1.47490437852402
7,18,1.4261694894082
7,19,1.29782644357143
7,20,1.12009946178185
7,21,0.931932360234094
7,22,0.737261250062493
7,23,0.509741513559102
