wday,hour,N
1,0,0.999988106315403
1,1,0.999995881307032
1,2,1.00000370257426
1,3,1.00001124363759
1,4,1.00001813915587
1,5,1.0000239788598
1,6,1.00002837053962
1,7,1.00003103704559
1,8,1.00003174210999
1,9,1.0000303024302
1,10,1.00002661673719
1,11,1.00002064539193
1,12,1.00001278215954
1,13,1.00000362820937
1,14,0.999993903835214
1,15,0.999984576465371
1,16,0.999976622720566
1,17,0.999970764329386
1,18,0.999967558347618
1,19,0.999967333736664
1,20,0.999969771226908
1,21,0.999974429551918
1,22,0.999980756997562
1,23,0.999988106315403
2,0,0.998600500729031
2,1,0.998838584873157
2,2,0.999181026639092
2,3,0.999571469635791
2,4,0.999963173972396
2,5,1.00032051744297
2,6,1.00061333763963
2,7,1.00083855814106
2,8,1.00100254704556
2,9,1.00111337627428
2,10,1.00118174401992
2,11,1.00121611154856
2,12,1.00120538099285
2,13,1.00112915320536
2,14,1.00097118163624
2,15,1.00072404817966
2,16,1.00038394108232
2,17,0.999976049415195
2,18,0.999544274012758
2,19,0.999134375571707
2,20,0.998796567693216
2,21,0.99858057265805
2,22,0.99851300686218
2,23,0.998600500729031
3,0,1.00000408890262
3,1,1.00000310785997
3,2,1.00000183128712
3,3,1.00000040125729
3,4,0.999998956654294
3,5,0.999997632674664
3,6,0.99999655260661
3,7,0.999995774252172
3,8,0.999995332360739
3,9,0.99999524445231
3,10,0.999995501376758
3,11,0.999996082953251
3,12,0.999996899618379
3,13,0.999997828919889
3,14,0.999998780316866
3,15,0.999999730613691
3,16,1.00000066744831
3,17,1.00000160581911
3,18,1.00000257831767
3,19,1.00000355930867
3,20,1.00000435482056
3,21,1.0000047480002
3,22,1.00000465127625
3,23,1.00000408890262
4,0,0.999397936935884
4,1,0.999550751073215
4,2,0.999746260450666
4,3,0.999976412448011
4,4,1.00022074200676
4,5,1.00044443398522
4,6,1.00061559262902
4,7,1.00072313118107
4,8,1.00076335218806
4,9,1.00074187632622
4,10,1.00067875611474
4,11,1.00059319472503
4,12,1.00048779086784
4,13,1.00035724699325
4,14,1.00019978023479
4,15,1.00002108026901
4,16,0.999828479387763
4,17,0.999637467021654
4,18,0.999468792718447
4,19,0.99934075093115
4,20,0.999264321716215
4,21,0.999248731062031
4,22,0.999295181798074
4,23,0.999397936935884
5,0,1.00035953601584
5,1,1.00020089981362
5,2,1.00002715084836
5,3,0.999847933868455
5,4,0.999673440261541
5,5,0.999514493387707
5,6,0.999381903490008
5,7,0.999286210424407
5,8,0.999237844751162
5,9,0.999246319100608
5,10,0.999319723457989
5,11,0.99946328371121
5,12,0.999660451861105
5,13,0.999884304280075
5,14,1.00010910920507
5,15,1.00031176830652
5,16,1.00047088847879
5,17,1.00058104504011
5,18,1.00064711385404
5,19,1.00067248554108
5,20,1.0006557845049
5,21,1.00059507684895
5,22,1.00049369693263
5,23,1.00035953601584
6,0,0.999970986169761
6,1,0.999993138478822
6,2,1.00001650421208
6,3,1.00004044711174
6,4,1.00006365356335
6,5,1.00008402685691
6,6,1.0000994176734
6,7,1.00010762640289
6,8,1.0001064592588
6,9,1.00009512083686
6,10,1.00007498325262
6,11,1.00004776659431
6,12,1.0000164736871
6,13,0.999984716708744
6,14,0.999955730178157
6,15,0.999931948764721
6,16,0.999915549819997
6,17,0.999906890190877
6,18,0.999905152206214
6,19,0.999909499710786
6,20,0.99991909968835
6,21,0.999933118617869
6,22,0.999950703845855
6,23,0.999970986169761
7,0,0.9999976985151
7,1,0.999996919502151
7,2,0.99999630846683
7,3,0.999995988762936
7,4,0.999996039482395
7,5,0.999996488545746
7,6,0.999997343994599
7,7,0.999998518584269
7,8,0.999999891335496
7,9,1.00000130470373
7,10,1.00000254451978
7,11,1.00000341218756
7,12,1.00000387147124
7,13,1.00000396364895
7,14,1.00000374490014
7,15,1.00000330165248
7,16,1.00000272237291
7,17,1.00000207495803
7,18,1.00000141400836
7,19,1.0000007690888
7,20,1.00000009838549
7,21,0.999999350540524
7,22,0.999998531857389
7,23,0.9999976985151
