wday,hour,N
1,0,0.886974533469525
1,1,0.902880142071271
1,2,0.930868041418316
1,3,0.960828164298518
1,4,0.987958064242571
1,5,1.0135914621933
1,6,1.0386691591751
1,7,1.06002062749111
1,8,1.07310759547155
1,9,1.07708243860816
1,10,1.07682025977207
1,11,1.07707658356812
1,12,1.07774776420682
1,13,1.07641463506799
1,14,1.07091698276237
1,15,1.05966754383468
1,16,1.04136060376801
1,17,1.0171247737484
1,18,0.98965889138105
1,19,0.961382902585512
1,20,0.933839225554008
1,21,0.908593415917361
1,22,0.890441655924684
1,23,0.886974533469525
2,0,0.887931886269926
2,1,0.903351180310077
2,2,0.930674815995714
2,3,0.960382570961714
2,4,0.987784219214355
2,5,1.01377351820011
2,6,1.03889632993847
2,7,1.06001124914997
2,8,1.07275623089875
2,9,1.07644094040006
2,10,1.07606818846008
2,11,1.0764988462579
2,12,1.07757723654397
2,13,1.07675681815367
2,14,1.07170182420667
2,15,1.06054937584254
2,16,1.04174860724805
2,17,1.01668359361296
2,18,0.988631419168525
2,19,0.960401448818564
2,20,0.933366871773073
2,21,0.908822274347087
2,22,0.891258667957814
2,23,0.887931886269926
3,0,0.887675780052176
3,1,0.903447091273993
3,2,0.930938884322726
3,3,0.960551210181388
3,4,0.987655547245365
3,5,1.01337086649807
3,6,1.03844642918049
3,7,1.05977119641052
3,8,1.07295155986842
3,9,1.07715900328459
3,10,1.07709299153668
3,11,1.07734880384599
3,12,1.07791783448899
3,13,1.07659682067277
3,14,1.07130015943239
3,15,1.06021733360035
3,16,1.04180212827561
3,17,1.01717817345019
3,18,0.989191305285649
3,19,0.96044275892198
3,20,0.93274759442465
3,21,0.907933944210325
3,22,0.890586803484515
3,23,0.887675780052176
4,0,0.887476681003108
4,1,0.90363243542994
4,2,0.931779852291583
4,3,0.96175075264568
4,4,0.988693639837055
4,5,1.01390366072028
4,6,1.03834547638902
4,7,1.0592185167884
4,8,1.07246640611517
4,9,1.07722070575888
4,10,1.07755631679392
4,11,1.07750527230277
4,12,1.07738208781117
4,13,1.0757266723002
4,14,1.07077158590738
4,15,1.06012777359744
4,16,1.04162520346531
4,17,1.01654990408746
4,18,0.988417028555025
4,19,0.960189334605142
4,20,0.933133714865242
4,21,0.908407543560732
4,22,0.890642754165991
4,23,0.887476681003108
5,0,0.88755316128523
5,1,0.90315996288759
5,2,0.930681399219376
5,3,0.960415162462939
5,4,0.9876790775115
5,5,1.01359477029033
5,6,1.03889381797926
5,7,1.06031613506738
5,8,1.0732764300539
5,9,1.07693630884575
5,10,1.07626722787008
5,11,1.0761454025984
5,12,1.07672163879315
5,13,1.07589283710443
5,14,1.07146272161036
5,15,1.06106872716316
5,16,1.04262150306154
5,17,1.01745122972452
5,18,0.989093677014933
5,19,0.96056395652257
5,20,0.93327373649169
5,21,0.908527534193846
5,22,0.890850420962835
5,23,0.88755316128523
6,0,0.887782078668521
6,1,0.903267681186923
6,2,0.930670900196881
6,3,0.96069194626945
6,4,0.988549147129415
6,5,1.01468424878748
6,6,1.03930891132898
6,7,1.05971914399507
6,8,1.07224968561185
6,9,1.07637454008101
6,10,1.0764351495742
6,11,1.07666937330247
6,12,1.07716722592528
6,13,1.07604008248719
6,14,1.07128197185935
6,15,1.06066639310529
6,16,1.0422167137096
6,17,1.01718383177184
6,18,0.988900462549769
6,19,0.960275210596923
6,20,0.932896895393277
6,21,0.908282949852965
6,22,0.890903377947754
6,23,0.887782078668521
7,0,0.88705686635899
7,1,0.903284374778256
7,2,0.93138655869544
7,3,0.961120979443822
7,4,0.987773072784264
7,5,1.01301907829808
7,6,1.03808627907047
7,7,1.05969769432578
7,8,1.07307385225902
7,9,1.07723705981471
7,10,1.0771048178609
7,11,1.0774841269566
7,12,1.07827709000682
7,13,1.07704835319015
7,14,1.07160029971028
7,15,1.06026405398543
7,16,1.04165935579336
7,17,1.01698713022083
7,18,0.989113243281622
7,19,0.960592757839832
7,20,0.933006873120752
7,21,0.90793872277249
7,22,0.89013049307312
7,23,0.88705686635899
