wday,hour,N
1,0,1.00010500038361
1,1,1.00023737175008
1,2,1.00034088533283
1,3,1.00041397448837
1,4,1.00045367801474
1,5,1.0004554224538
1,6,1.00041663047935
1,7,1.00034639707283
1,8,1.00025784553735
1,9,1.0001623341001
1,10,1.00006847880575
1,11,0.999983359135283
1,12,0.999903724994943
1,13,0.999821430900763
1,14,0.999733253035889
1,15,0.999646351923569
1,16,0.999569693195761
1,17,0.999518026337868
1,18,0.999509825959452
1,19,0.999557260246424
1,20,0.99965417802349
1,21,0.999790716815623
1,22,0.999949160628505
1,23,1.00010500038361
2,0,0.999999844098032
2,1,0.999999788060133
2,2,0.999999752713328
2,3,0.999999723581679
2,4,0.999999696457417
2,5,0.999999679003856
2,6,0.999999679261337
2,7,0.999999703679666
2,8,0.999999758054832
2,9,0.999999842129972
2,10,0.999999946267152
2,11,1.00000005997592
2,12,1.00000017240418
2,13,1.00000027253436
2,14,1.00000035048739
2,15,1.00000039877384
2,16,1.00000041077524
2,17,1.00000038649996
2,18,1.00000033023284
2,19,1.00000024738932
2,20,1.00000014643215
2,21,1.00000003656531
2,22,0.999999930524055
2,23,0.999999844098032
3,0,1.00000874755264
3,1,1.00000799405957
3,2,1.00000654483946
3,3,1.0000046611247
3,4,1.00000256076839
3,5,1.00000041147265
3,6,0.999998360907785
3,7,0.999996460284225
3,8,0.999994728006112
3,9,0.999993226087796
3,10,0.999992084191639
3,11,0.999991429260705
3,12,0.999991320428096
3,13,0.999991784394668
3,14,0.999992832146835
3,15,0.999994442135469
3,16,0.999996576735882
3,17,0.99999905907031
3,18,1.00000162244578
3,19,1.00000402405414
3,20,1.00000609409918
3,21,1.00000767583443
3,22,1.0000086125469
3,23,1.00000874755264
4,0,1.00000406588212
4,1,1.00000309630913
4,2,1.00000190483413
4,3,1.00000060577175
4,4,0.999999306977766
4,5,0.999998108840875
4,6,0.999997101744496
4,7,0.999996322412977
4,8,0.999995788650578
4,9,0.999995502292829
4,10,0.999995440452758
4,11,0.999995585253534
4,12,0.999995975496655
4,13,0.999996676708696
4,14,0.999997705343894
4,15,0.999998974602841
4,16,1.00000038240741
4,17,1.0000018002065
4,18,1.00000308238305
4,19,1.00000409640423
4,20,1.0000047481928
4,21,1.00000495473315
4,22,1.0000047082157
4,23,1.00000406588212
5,0,1.00000000870656
5,1,0.999999963804083
5,2,0.999999909274427
5,3,0.999999861045418
5,4,0.999999829499623
5,5,0.999999818608714
5,6,0.999999830935661
5,7,0.999999863159059
5,8,0.999999909865875
5,9,0.999999962883256
5,10,1.00000000976382
5,11,1.00000003974819
5,12,1.00000005840272
5,13,1.00000007903037
5,14,1.00000010707763
5,15,1.00000013141541
5,16,1.00000013977771
5,17,1.00000013094516
5,18,1.00000011082539
5,19,1.00000008560796
5,20,1.00000006195178
5,21,1.00000004599273
5,22,1.00000003297188
5,23,1.00000000870656
6,0,1.00000049569578
6,1,0.999999799986611
6,2,0.999999101559968
6,3,0.999998431955327
6,4,0.999997831886733
6,5,0.999997352675001
6,6,0.999997047051311
6,7,0.999996972332666
6,8,0.999997186536164
6,9,0.999997694031826
6,10,0.999998416034231
6,11,0.999999265123072
6,12,1.00000014211059
6,13,1.00000094238862
6,14,1.00000159235325
6,15,1.00000208348895
6,16,1.00000241558643
6,17,1.0000025897206
6,18,1.00000260779416
6,19,1.0000024710543
6,20,1.00000217882272
6,21,1.00000173148189
6,22,1.00000115463402
6,23,1.00000049569578
7,0,0.999998310390906
7,1,0.999999354859175
7,2,1.00000044878738
7,3,1.00000152901531
7,4,1.00000252119766
7,5,1.00000333805802
7,6,1.00000389848564
7,7,1.00000415990166
7,8,1.00000409371396
7,9,1.00000370682559
7,10,1.00000306113634
7,11,1.00000222332444
7,12,1.00000126044584
7,13,1.00000023967766
7,14,0.999999218626354
7,15,0.999998234826271
7,16,0.999997326930534
7,17,0.999996575979051
7,18,0.999996090327045
7,19,0.999995947898974
7,20,0.999996137773996
7,21,0.999996631891791
7,22,0.999997379535489
7,23,0.999998310390906
