wday,hour,N
1,0,0.296748126504842
1,1,0.120839592619376
1,2,0.0631432498295584
1,3,0.180641158503
1,4,0.460136210592768
1,5,0.807296803501571
1,6,1.1293659881228
1,7,1.36768802328595
1,8,1.47630479985177
1,9,1.45982325619099
1,10,1.40120770514466
1,11,1.38006132985564
1,12,1.39576393301057
1,13,1.40956403539449
1,14,1.40277496371708
1,15,1.39927995876218
1,16,1.42380356443021
1,17,1.44853688629868
1,18,1.41180085483843
1,19,1.27362780866528
1,20,1.05812795101461
1,21,0.800795618794356
1,22,0.535920054566349
1,23,0.296748126504842
2,0,0.295646376168654
2,1,0.125919171449508
2,2,0.073524760470761
2,3,0.191455483399276
2,4,0.466434934755287
2,5,0.808573074215629
2,6,1.12889764518268
2,7,1.3674527825271
2,8,1.47524704038811
2,9,1.45592182963036
2,10,1.39468379082064
2,11,1.37339857835953
2,12,1.39167697366974
2,13,1.4100256318322
2,14,1.40834722686402
2,15,1.40772441320256
2,16,1.43024330156619
2,17,1.44937617150385
2,18,1.40725273101748
2,19,1.26658569457016
2,20,1.05079855287879
2,21,0.794166382417512
2,22,0.531001076941304
2,23,0.295646376168654
3,0,0.299936412920216
3,1,0.115954933909029
3,2,0.050631322774627
3,3,0.168602686762495
3,4,0.456685581349079
3,5,0.811727825189741
3,6,1.13357629017547
3,7,1.36690323940461
3,8,1.47273887567659
3,9,1.45860878798907
3,10,1.40408216286271
3,11,1.38520663594362
3,12,1.40084574295711
3,13,1.4131805112957
3,14,1.40437233970849
3,15,1.39895676426155
3,16,1.4222494243981
3,17,1.44660765112066
3,18,1.41024454259586
3,19,1.27313185273081
3,20,1.05946824935129
3,21,0.804765907536266
3,22,0.541585846166701
3,23,0.299936412920216
4,0,0.297992034197505
4,1,0.119017215080599
4,2,0.0565652264764576
4,3,0.172754633239915
4,4,0.45581841127818
4,5,0.808570030265354
4,6,1.13540414236931
4,7,1.37618879564794
4,8,1.48398876820892
4,9,1.46375827291214
4,10,1.40086095494289
4,11,1.37723642629424
4,12,1.39269948232316
4,13,1.40802547830038
4,14,1.40381906143936
4,15,1.40277263090506
4,16,1.4284136286635
4,17,1.45236906823787
4,18,1.41280493106597
4,19,1.27035196530073
4,20,1.05186624507542
4,21,0.795739587688672
4,22,0.534990975888947
4,23,0.297992034197505
5,0,0.299087747316698
5,1,0.121355898383063
5,2,0.0626520561649268
5,3,0.180317760404066
5,4,0.460740080019621
5,5,0.808275258311977
5,6,1.12913140102861
5,7,1.36544839050243
5,8,1.4726822778742
5,9,1.45578383717952
5,10,1.39640122341101
5,11,1.3730445872854
5,12,1.38690672709352
5,13,1.40241988715686
5,14,1.40164165701419
5,15,1.40406609979266
5,16,1.42984682187507
5,17,1.45200533259279
5,18,1.41317605495667
5,19,1.27612197116597
5,20,1.06296378906455
5,21,0.806480688182531
5,22,0.540362705906979
5,23,0.299087747316698
6,0,0.298733461077888
6,1,0.131713473479731
6,2,0.0809850199729885
6,3,0.201968141716516
6,4,0.480427126300127
6,5,0.82159688933582
6,6,1.13324692059936
6,7,1.36243073002518
6,8,1.47058986183913
6,9,1.46305044457185
6,10,1.41313845929157
6,11,1.39133969907472
6,12,1.3991295400304
6,13,1.40518029414462
6,14,1.3951877135828
6,15,1.39097067166843
6,16,1.41453693735925
6,17,1.43721338143895
6,18,1.39765231603086
6,19,1.25666491772837
6,20,1.04037003917284
6,21,0.786364366268529
6,22,0.528776134212181
6,23,0.298733461077888
7,0,0.306446099133566
7,1,0.124952701114485
7,2,0.0614086782795173
7,3,0.175883661458301
7,4,0.455408221479299
7,5,0.802572099370537
7,6,1.12214532554103
7,7,1.35741869359823
7,8,1.46588018016391
7,9,1.45337150433338
7,10,1.40066184583254
7,11,1.38488098278601
7,12,1.4030685303506
7,13,1.41421156133169
7,14,1.39983236613811
7,15,1.38920277640707
7,16,1.41259770744272
7,17,1.44205742770032
7,18,1.41207468051958
7,19,1.27963795802736
7,20,1.06824611691421
7,21,0.813204445260511
7,22,0.548390337683463
7,23,0.306446099133566
