wday,hour,N
1,0,0.999607872906311
1,1,0.999579552671369
1,2,0.99958573760506
1,3,0.999633124342051
1,4,0.999721664030571
1,5,0.999843509327572
1,6,0.999988947236916
1,7,1.00014025593948
1,8,1.00027699773711
1,9,1.0003828325408
1,10,1.00044777588851
1,11,1.00046419840519
1,12,1.00043883220239
1,13,1.00038524614927
1,14,1.00031512928553
1,15,1.00023614020646
1,16,1.00015500763271
1,17,1.00007355023239
1,18,0.99999041980571
1,19,0.999905119669684
1,20,0.99981975440319
1,21,0.999737087734715
1,22,0.9996633711407
1,23,0.999607872906311
2,0,0.999583979214497
2,1,0.999810918210868
2,2,1.00011020650549
2,3,1.00037897931586
2,4,1.00055701078918
2,5,1.00063337015672
2,6,1.00060381033835
2,7,1.00048611873543
2,8,1.00030592360809
2,9,1.00009970314282
2,10,0.999920740991087
2,11,0.999818117976014
2,12,0.999796056599335
2,13,0.999837344008357
2,14,0.999917545354894
2,15,0.99999735754662
2,16,1.00003752251382
2,17,1.00002106962209
2,18,0.999945417025757
2,19,0.999817981569846
2,20,0.999674252039208
2,21,0.999555079371467
2,22,0.999507516149703
2,23,0.999583979214497
3,0,0.999991116588966
3,1,0.999987767078731
3,2,0.99998537302998
3,3,0.999984053055233
3,4,0.999983897443331
3,5,0.999984963737962
3,6,0.999987267553072
3,7,0.999990600083008
3,8,0.999994673790469
3,9,0.999999158248469
3,10,1.00000365667243
3,11,1.0000077851558
3,12,1.00001130739807
3,13,1.00001405754719
3,14,1.00001587980486
3,15,1.00001663854644
3,16,1.00001621313133
3,17,1.00001462757873
3,18,1.00001199927052
3,19,1.00000848085567
3,20,1.00000432195469
3,21,0.999999794086975
3,22,0.999995250799109
3,23,0.999991116588966
4,0,0.999982593534868
4,1,0.999985474651726
4,2,0.999989479169444
4,3,0.999994292591474
4,4,0.999999598137495
4,5,1.0000050763869
4,6,1.00001039769375
4,7,1.00001517601718
4,8,1.00001900628541
4,9,1.00002151787572
4,10,1.00002239359189
4,11,1.00002136914754
4,12,1.00001856395124
4,13,1.00001428099195
4,14,1.00000892293464
4,15,1.00000309910163
4,16,0.999997424524385
4,17,0.999992278099231
4,18,0.999987886352944
4,19,0.99998444904558
4,20,0.999982096246286
4,21,0.999980944259849
4,22,0.999981085874005
4,23,0.999982593534868
5,0,1.00000088331434
5,1,0.999999700707458
5,2,0.999998526721951
5,3,0.999997501607907
5,4,0.999996715849627
5,5,0.999996202396938
5,6,0.999995990175117
5,7,0.999996103522945
5,8,0.999996564127622
5,9,0.999997330247776
5,10,0.999998261830232
5,11,0.999999219020866
5,12,1.00000013070872
5,13,1.00000095864978
5,14,1.00000167863995
5,15,1.00000229549349
5,16,1.00000281542835
5,17,1.00000321850329
5,18,1.00000346789346
5,19,1.0000035197743
5,20,1.00000331099576
5,21,1.00000277935796
5,22,1.00000194171782
5,23,1.00000088331434
6,0,0.999954938788341
6,1,1.00003946171212
6,2,1.00013182914635
6,3,1.00021713633677
6,4,1.00028373010927
6,5,1.00032371645811
6,6,1.00033082719894
6,7,1.00030672001507
6,8,1.00025582232328
6,9,1.00018342550479
6,10,1.0000961557978
6,11,1.00000123680122
6,12,0.999909724252504
6,13,0.99983447413192
6,14,0.999783937452491
6,15,0.999757304420532
6,16,0.999752238257631
6,17,0.999762206901697
6,18,0.999777975175553
6,19,0.999793768258669
6,20,0.999813894828098
6,21,0.999844399369524
6,22,0.999890137970987
6,23,0.999954938788341
7,0,1.00000239428892
7,1,1.00000188067936
7,2,1.00000122069655
7,3,1.00000048139528
7,4,0.999999728661919
7,5,0.999999027032002
7,6,0.999998434570387
7,7,0.999997973555017
7,8,0.999997653665061
7,9,0.999997475107131
7,10,0.999997423424747
7,11,0.999997487408845
7,12,0.999997691657524
7,13,0.999998077630632
7,14,0.999998652194424
7,15,0.999999349451953
7,16,1.00000009604387
7,17,1.00000083837073
7,18,1.00000153557303
7,19,1.00000213867567
7,20,1.00000257474767
7,21,1.00000276951141
7,22,1.00000270136896
7,23,1.00000239428892
