wday,hour,N
1,0,0.452276165699933
1,1,0.192256458962782
1,2,0.0242608846920458
1,3,0.103627140602619
1,4,0.43902392556392
1,5,0.869555160800211
1,6,1.23844719276485
1,7,1.46484818819722
1,8,1.49564249018016
1,9,1.35828570007606
1,10,1.20507779494835
1,11,1.17849100567317
1,12,1.25766042928556
1,13,1.34408504595556
1,14,1.38016201610369
1,15,1.39505781506417
1,16,1.42400578850832
1,17,1.44575424263404
1,18,1.40263557830515
1,19,1.26232622443525
1,20,1.06715195130123
1,21,0.870140454770006
1,22,0.676952179775767
1,23,0.452276165699933
2,0,0.471493703285673
2,1,0.237845769734069
2,2,0.0907644907701472
2,3,0.147649308881755
2,4,0.426170604734957
2,5,0.828701481959204
2,6,1.2467471743853
2,7,1.54693811980031
2,8,1.5896535707289
2,9,1.37904736614356
2,10,1.14213741157944
2,11,1.09377622812878
2,12,1.19995164174533
2,13,1.30838846036501
2,14,1.33324675059976
2,15,1.32953381708667
2,16,1.36261426217594
2,17,1.41208492474926
2,18,1.40223824359447
2,19,1.28596671370518
2,20,1.10108387574234
2,21,0.898594814533088
2,22,0.693877562285201
2,23,0.471493703285673
3,0,0.455123658767946
3,1,0.245933708141769
3,2,0.126327635845383
3,3,0.202881312138681
3,4,0.47935172719181
3,5,0.840626439479202
3,6,1.1734902399573
3,7,1.41239629974808
3,8,1.50921890969849
3,9,1.46681866097306
3,10,1.36705912105252
3,11,1.29066445825592
3,12,1.25533871085682
3,13,1.24875752552355
3,14,1.26233434980162
3,15,1.29570890577831
3,16,1.34700710527579
3,17,1.38471524403272
3,18,1.35821914480773
3,19,1.23835846200515
3,20,1.05860168443051
3,21,0.862053770677608
3,22,0.663889266792092
3,23,0.455123658767945
4,0,0.505870301360642
4,1,0.232929831023359
4,2,0.0354228709685899
4,3,0.0840466431577955
4,4,0.399111350164405
4,5,0.827063994403812
4,6,1.21352687506101
4,7,1.45370128322136
4,8,1.4619440934796
4,9,1.26781421473476
4,10,1.07940688621731
4,11,1.08911849517484
4,12,1.24270179485056
4,13,1.36880817222981
4,14,1.37917250362135
4,15,1.36127452598764
4,16,1.41327396008851
4,17,1.50023105648248
4,18,1.50138725420854
4,19,1.34615997431325
4,20,1.11241494189957
4,21,0.899634497087451
4,22,0.719114178902722
4,23,0.505870301360642
5,0,0.490374695770481
5,1,0.250248420818588
5,2,0.0992494521916606
5,3,0.170967675245953
5,4,0.471533225842349
5,5,0.859719373346314
5,6,1.19691665243837
5,7,1.40509270407561
5,8,1.4286318154522
5,9,1.29338221588237
5,10,1.15142847201188
5,11,1.14438752566671
5,12,1.24450653924455
5,13,1.34355084627944
5,14,1.37921436147662
5,15,1.38654620612012
5,16,1.40784409840122
5,17,1.42716272315324
5,18,1.39100317451171
5,19,1.26770989382398
5,20,1.09026130933565
5,21,0.901256071148619
5,22,0.70863785199187
5,23,0.490374695770481
6,0,0.521814629009388
6,1,0.238741228195486
6,2,0.0223146966036512
6,3,0.100450535782169
6,4,0.493328334461199
6,5,0.980963133012385
6,6,1.35477958563953
6,7,1.54490731394618
6,8,1.53098950973208
6,9,1.3703351832548
6,10,1.24056032229977
6,11,1.30040786837209
6,12,1.47654840288469
6,13,1.58551297458278
6,14,1.52910185324679
6,15,1.38935390525504
6,16,1.26414604851257
6,17,1.17164036412633
6,18,1.07858467604613
6,19,0.965480789558804
6,20,0.85485951375977
6,21,0.773511036106147
6,22,0.689853466602855
6,23,0.521814629009388
7,0,0.498138464260742
7,1,0.245773384071277
7,2,0.0838464127854349
7,3,0.171064380441589
7,4,0.501854347788822
7,5,0.880718696397875
7,6,1.12933205914664
7,7,1.22466009647914
7,8,1.19815868845401
7,9,1.11159165070702
7,10,1.07361608467545
7,11,1.17726423523208
7,12,1.35944512560048
7,13,1.4830572381217
7,14,1.48203272750178
7,15,1.44022269324686
7,16,1.45048932726519
7,17,1.49099831082905
7,18,1.46595748832507
7,19,1.3180936724168
7,20,1.10448130289468
7,21,0.899073913780768
7,22,0.711991235316807
7,23,0.498138464260742
