wday,hour,N
1,0,0.908501976645688
1,1,0.921670668349619
1,2,0.944765426940273
1,3,0.969262426632754
1,4,0.991146155015627
1,5,1.01161318376301
1,6,1.0315495930962
1,7,1.04847941984239
1,8,1.05880661133412
1,9,1.06185622033742
1,10,1.0614828319467
1,11,1.06146755763826
1,12,1.06191362597288
1,13,1.0611699348355
1,14,1.0575014491353
1,15,1.04901977707429
1,16,1.03405815993069
1,17,1.01375080612999
1,18,0.991038446736511
1,19,0.968341202411272
1,20,0.946495020457642
1,21,0.926226478244225
1,22,0.911381050883966
1,23,0.908501976645688
2,0,0.908929314818799
2,1,0.922205465359239
2,2,0.945351756801119
2,3,0.969380803881925
2,4,0.990366499096494
2,5,1.01023410396981
2,6,1.03045914541634
2,7,1.0481766761615
2,8,1.05906946326863
2,9,1.06221800216121
2,10,1.06197161547048
2,11,1.06254841518268
2,12,1.06352504685485
2,13,1.0622689753862
2,14,1.05681696187744
2,15,1.04663786487679
2,16,1.0314879858875
2,17,1.01236885503807
2,18,0.991085127795704
2,19,0.969207873157968
2,20,0.947597732099366
2,21,0.927165324782858
2,22,0.911997675836241
2,23,0.908929314818799
3,0,0.910232042137658
3,1,0.922466748365871
3,2,0.944187206303467
3,3,0.967838074376878
3,4,0.989692743060455
3,5,1.01045101947746
3,6,1.0305497886978
3,7,1.04757497200725
3,8,1.0581676075015
3,9,1.06174197041845
3,10,1.06201239597256
3,11,1.06257722622876
3,12,1.06317600882052
3,13,1.06171087253385
3,14,1.05651640420767
3,15,1.04685781892685
3,16,1.03222622134205
3,17,1.01337643421418
3,18,0.991878567354098
3,19,0.969301422059059
3,20,0.947170948660201
3,21,0.927124507186904
3,22,0.912936958008848
3,23,0.910232042137658
4,0,0.910178562794228
4,1,0.923583032428557
4,2,0.946261342193488
4,3,0.970149928445457
4,4,0.991538375509999
4,5,1.0117489642828
4,6,1.03172375753882
4,7,1.04870852066063
4,8,1.05871949144966
4,9,1.06109969467758
4,10,1.06035067466202
4,11,1.06080918523628
4,12,1.06197919046223
4,13,1.06106470965752
4,14,1.05601525204347
4,15,1.04637338058713
4,16,1.03195292877392
4,17,1.01338934726621
4,18,0.991848367780102
4,19,0.968709190514398
4,20,0.945939646283512
4,21,0.925711381623213
4,22,0.911966512334537
4,23,0.910178562794228
5,0,0.907757239979318
5,1,0.921095847204671
5,2,0.944647600945014
5,3,0.969280328090752
5,4,0.990845412712009
5,5,1.01095575475283
5,6,1.03085900291255
5,7,1.04796308308829
5,8,1.05839287321283
5,9,1.06138042394825
5,10,1.06097598102391
5,11,1.06114793728294
5,12,1.06192305535169
5,13,1.06144859642743
5,14,1.05788502868497
5,15,1.04944479015933
5,16,1.03458032204206
5,17,1.01445802904688
5,18,0.991994650720299
5,19,0.969529171507084
5,20,0.947654716461917
5,21,0.926851396552839
5,22,0.911171517912832
5,23,0.907757239979318
6,0,0.910491973661602
6,1,0.923294678827894
6,2,0.945163578930422
6,3,0.968116055017003
6,4,0.988712961779317
6,5,1.00876788696254
6,6,1.02957871484835
6,7,1.04792031040511
6,8,1.05905703485658
6,9,1.06196547192588
6,10,1.06137859721872
6,11,1.06189731348496
6,12,1.06314112679668
6,13,1.06235821582631
6,14,1.05745800348461
6,15,1.04776721867041
6,16,1.03289644080614
6,17,1.01368136757437
6,18,0.991748106981614
6,19,0.968747340995194
6,20,0.946362545609893
6,21,0.926392930666851
6,22,0.912610151007962
6,23,0.910491973661601
7,0,0.909094444024663
7,1,0.922259283519333
7,2,0.945612623612428
7,3,0.969936693904569
7,4,0.991067505453543
7,5,1.01068377183639
7,6,1.03013944752421
7,7,1.04715004000337
7,8,1.05820914542587
7,9,1.06238746116036
7,10,1.06275215990557
7,11,1.06238497350033
7,12,1.06175304102801
7,13,1.06007388091655
7,14,1.05610366788897
7,15,1.04764724217231
7,16,1.03267318129721
7,17,1.0124460667259
7,18,0.990356060575946
7,19,0.96895876579739
7,20,0.948307224897795
7,21,0.928235421719418
7,22,0.912673453085204
7,23,0.909094444024663
