wday,hour,N
1,0,0.7626377589565
1,1,0.624863047468692
1,2,0.543054142459853
1,3,0.50215440988523
1,4,0.50632082617417
1,5,0.581923320823452
1,6,0.744036316748157
1,7,0.937604077826961
1,8,1.08389689230874
1,9,1.14654168477543
1,10,1.154856107398
1,11,1.14154986540089
1,12,1.12139427247677
1,13,1.10065543577126
1,14,1.09352175089947
1,15,1.13090510918335
1,16,1.24015079391696
1,17,1.3826625165115
1,18,1.47732474069314
1,19,1.46591999016422
1,20,1.35813678026892
1,21,1.17670188435844
1,22,0.960550516573411
1,23,0.7626377589565
2,0,0.766526748368834
2,1,0.628148643801782
2,2,0.54948523084065
2,3,0.508773728206488
2,4,0.509893381018624
2,5,0.586368311901663
2,6,0.758251434801474
2,7,0.960974363961338
2,8,1.10145752665634
2,9,1.14100571633705
2,10,1.12526527518296
2,11,1.10270449199037
2,12,1.08658423057118
2,13,1.07344856565234
2,14,1.07153549067202
2,15,1.11382194746664
2,16,1.23049877800559
2,17,1.38315568776467
2,18,1.48914662481008
2,19,1.48803605747743
2,20,1.38539899442743
2,21,1.19988597531003
2,22,0.973106046406181
2,23,0.766526748368834
3,0,0.779114392155554
3,1,0.632114673661403
3,2,0.541427991936498
3,3,0.497910462967953
3,4,0.507121353176894
3,5,0.591618316194089
3,6,0.762116307935951
3,7,0.957763605130185
3,8,1.09366438333964
3,9,1.135035275858
3,10,1.12480594390947
3,11,1.10821465320825
3,12,1.0957437551139
3,13,1.08138883944607
3,14,1.07323003314246
3,15,1.10909675215104
3,16,1.2241479308515
3,17,1.37895132306197
3,18,1.48597691316924
3,19,1.48236320484118
3,20,1.37851496413008
3,21,1.19873747486714
3,22,0.981827057595967
3,23,0.779114392155554
4,0,0.786312852056418
4,1,0.638438661929909
4,2,0.54649644888267
4,3,0.500578160626585
4,4,0.506547870925025
4,5,0.588503888914643
4,6,0.758537267710027
4,7,0.955866343472006
4,8,1.09519693655334
4,9,1.14048416051246
4,10,1.13205895840667
4,11,1.11304367624786
4,12,1.09655249731079
4,13,1.08145367923373
4,14,1.07694116458312
4,15,1.11404664114945
4,16,1.22109105363708
4,17,1.36291699678679
4,18,1.46343396726683
4,19,1.46646229193781
4,20,1.37505931695537
4,21,1.20405634500915
4,22,0.989607967835849
4,23,0.786312852056417
5,0,0.793926127801106
5,1,0.652395230731874
5,2,0.557355366663526
5,3,0.507692259030483
5,4,0.512476242582875
5,5,0.592552133159162
5,6,0.757515791875337
5,7,0.950347120546383
5,8,1.09161630803143
5,9,1.14680574380333
5,10,1.15104776833397
5,11,1.14196061949216
5,12,1.12932296736063
5,13,1.10971830579687
5,14,1.09275868963809
5,15,1.11554848831038
5,16,1.21257498370433
5,17,1.34765872851551
5,18,1.43905354295694
5,19,1.42886027491217
5,20,1.32996162512583
5,21,1.1682756251125
5,22,0.97664992871399
5,23,0.793926127801106
6,0,0.794831875372938
6,1,0.66872524904133
6,2,0.580695436390754
6,3,0.524829452350907
6,4,0.508028469695753
6,5,0.552008174441167
6,6,0.671676880766508
6,7,0.839233133802068
6,8,1.01214718617724
6,9,1.15504447645536
6,10,1.24366408790415
6,11,1.2596163952712
6,12,1.22354740037014
6,13,1.17468229407363
6,14,1.14654494190467
6,15,1.16046313912537
6,16,1.23213635824077
6,17,1.32968735482081
6,18,1.39056283146478
6,19,1.37022661715893
6,20,1.27744046953082
6,21,1.13097980428986
6,22,0.958396095977913
6,23,0.794831875372938
7,0,0.768936270130179
7,1,0.645265317619889
7,2,0.570407410015927
7,3,0.528019110321809
7,4,0.515273356899259
7,5,0.544969438601403
7,6,0.627770867224801
7,7,0.757519190428105
7,8,0.921960295764517
7,9,1.09397786582738
7,10,1.22342826641038
7,11,1.26637948311903
7,12,1.24396152099121
7,13,1.20824942458785
7,14,1.19831929337521
7,15,1.22558777909563
7,16,1.29511450644367
7,17,1.37854639576743
7,18,1.42598702209321
7,19,1.40036585904416
7,20,1.30253961552433
7,21,1.14134247343599
7,22,0.947142967148451
7,23,0.768936270130179
