wday,hour,N
1,0,0.195746882816231
1,1,0.10804656901355
1,2,0.0404901751059697
1,3,0.0499398692668817
1,4,0.191322659321
1,5,0.517328304343717
1,6,1.04176507156521
1,7,1.56156930129416
1,8,1.80161317999724
1,9,1.68649714386616
1,10,1.45051774652822
1,11,1.32963816850638
1,12,1.36148659968341
1,13,1.48909754830685
1,14,1.65277497397441
1,15,1.78831834467723
1,16,1.83279122865124
1,17,1.74454600750288
1,18,1.49571097529782
1,19,1.09967271709875
1,20,0.687839073899656
1,21,0.405653205802951
1,22,0.271887370663844
1,23,0.195746882816231
2,0,0.205740612642628
2,1,0.118862444351269
2,2,0.0508676697379773
2,3,0.0463775382216955
2,4,0.164457081448732
2,5,0.480869861368436
2,6,1.02662057382003
2,7,1.57705159557769
2,8,1.82236310079917
2,9,1.67690182393624
2,10,1.40257998433427
2,11,1.26305768471825
2,12,1.29843465744169
2,13,1.44220129955625
2,14,1.62725652133347
2,15,1.78663570184687
2,16,1.85508456039778
2,17,1.78703175921483
2,18,1.54964787677449
2,19,1.15338555407555
2,20,0.732589748881266
2,21,0.436738180488298
2,22,0.289503556390487
2,23,0.205740612642628
3,0,0.216501273573731
3,1,0.123943303638026
3,2,0.0513421607941222
3,3,0.0449750239985753
3,4,0.162401762143811
3,5,0.474226219504068
3,6,1.00795023329344
3,7,1.54582375096997
3,8,1.78845225468901
3,9,1.65330827526444
3,10,1.39414095319925
3,11,1.26624721479788
3,12,1.30748656808541
3,13,1.45203299137057
3,14,1.63412666149952
3,15,1.78948568000069
3,16,1.85557713119344
3,17,1.78803664698151
3,18,1.55426391926771
3,19,1.16410073139416
3,20,0.748911842096105
3,21,0.454921421372272
3,22,0.305242707298553
3,23,0.216501273573731
4,0,0.21940694171348
4,1,0.125423933393013
4,2,0.0584145119170015
4,3,0.0529931097039164
4,4,0.161996669513505
4,5,0.459329271254314
4,6,0.976905902413208
4,7,1.50511635219138
4,8,1.75384651098421
4,9,1.6405508973302
4,10,1.40454607147265
4,11,1.28716478695603
4,12,1.32586972831187
4,13,1.46090214415553
4,14,1.63166779133436
4,15,1.7770759532361
4,16,1.83754596887334
4,17,1.77177830879534
4,18,1.55030587665743
4,19,1.18186022397792
4,20,0.784486104416995
4,21,0.489854196660803
4,22,0.323551803023932
4,23,0.21940694171348
5,0,0.242627352375175
5,1,0.133911441344546
5,2,0.0588258599430997
5,3,0.0579219428560531
5,4,0.173345625378871
5,5,0.449086368705731
5,6,0.89767858370758
5,7,1.3550689241953
5,8,1.59847242165293
5,9,1.56452536277198
5,10,1.43706251594938
5,11,1.40064672288396
5,12,1.47674778011306
5,13,1.60907309414798
5,14,1.74282505745774
5,15,1.82734546675309
5,16,1.81506408054714
5,17,1.68824897799368
5,18,1.44843959836009
5,19,1.11824356831642
5,20,0.779948378114744
5,21,0.522362737457803
5,22,0.359900786598482
5,23,0.242627352375175
6,0,0.33722441126474
6,1,0.242474421297149
6,2,0.173048332466296
6,3,0.146728594950236
6,4,0.182524064749212
6,5,0.300861451889737
6,6,0.516491415228165
6,7,0.811961166138336
6,8,1.15831493875634
6,9,1.50812716998909
6,10,1.78536153349677
6,11,1.9220416303808
6,12,1.93374613529418
6,13,1.87581907169076
6,14,1.79090095816705
6,15,1.69447851207265
6,16,1.59622920439132
6,17,1.47804558988164
6,18,1.30391787800465
6,19,1.0608509930165
6,20,0.802911217170579
6,21,0.593445879140481
6,22,0.447271019298581
6,23,0.33722441126474
7,0,0.325461155162846
7,1,0.217458726017802
7,2,0.155820719124691
7,3,0.136091249299284
7,4,0.155781470857772
7,5,0.214676642515603
7,6,0.318229103945648
7,7,0.502893650903472
7,8,0.814779818068207
7,9,1.23262326504602
7,10,1.63071337237248
7,11,1.88881572565286
7,12,2.00153936314662
7,13,2.01819312348881
7,14,1.97772993317066
7,15,1.89667912183886
7,16,1.78722943306304
7,17,1.64393382497153
7,18,1.44998074346837
7,19,1.20172921371452
7,20,0.933968989326691
7,21,0.687281538897129
7,22,0.482928660784235
7,23,0.325461155162846
