wday,hour,N
1,0,0.423400350314914
1,1,0.152239056289866
1,2,-0.0066140490816981
1,3,0.0896372190334349
1,4,0.442593647800778
1,5,0.890619304980218
1,6,1.27556124022732
1,7,1.50963770985582
1,8,1.53104302539362
1,9,1.36871179597037
1,10,1.19218802031588
1,11,1.15999258066034
1,12,1.24704599661254
1,13,1.34100173527369
1,14,1.37555374537678
1,15,1.38207347747604
1,16,1.3998131906462
1,17,1.41665979674843
1,18,1.38737725630886
1,19,1.28209563602614
1,20,1.11673443861083
1,21,0.91459686103442
1,22,0.684637613810298
1,23,0.423400350314914
2,0,0.468383486830857
2,1,0.224939351823825
2,2,0.0683550150101169
2,3,0.14093385341216
2,4,0.45490262189295
2,5,0.872105828985878
2,6,1.25311713848311
2,7,1.49827363266328
2,8,1.52347808106686
2,9,1.34917758656166
2,10,1.15784145617768
2,11,1.12076986919839
2,12,1.20987476880651
2,13,1.30232661112129
2,14,1.33011734451403
2,15,1.34142740910612
2,16,1.39173259276312
2,17,1.4512410776413
2,18,1.43518627257664
2,19,1.29432359141746
2,20,1.08422505115446
2,21,0.875976909094021
2,22,0.682906962867435
2,23,0.468383486830858
3,0,0.44462342225369
3,1,0.246540233861762
3,2,0.130339547405982
3,3,0.209428429129828
3,4,0.487919885592313
3,5,0.843571503500854
3,6,1.15866993973262
3,7,1.38023062320257
3,8,1.47835672242653
3,9,1.45828430266558
3,10,1.37967040007961
3,11,1.30290348522872
3,12,1.25700283031713
3,13,1.25594826844893
3,14,1.30058246021975
3,15,1.36439263564314
3,16,1.41726163137046
3,17,1.42721392781691
3,18,1.36109501109671
3,19,1.20559581033997
3,20,1.00455027034149
3,21,0.809703271588541
3,22,0.631491965483217
3,23,0.444623422253691
4,0,0.469536866896246
4,1,0.210866796365738
4,2,0.0451535212199697
4,3,0.113237932459553
4,4,0.424066897716982
4,5,0.834103931488196
4,6,1.20043106404194
4,7,1.43112096723317
4,8,1.45360512588595
4,9,1.29326622860717
4,10,1.12728374330708
4,11,1.12102479665544
4,12,1.24234563893973
4,13,1.36523789711343
4,14,1.41553298822679
4,15,1.4289866366701
4,16,1.45018001327699
4,17,1.46538355643583
4,18,1.42326967409494
4,19,1.29359353331723
4,20,1.10855854576489
4,21,0.90962343556246
4,22,0.704053341823945
4,23,0.469536866896246
5,0,0.484907574193441
5,1,0.224714454154534
5,2,0.0537256675711257
5,3,0.119828736842474
5,4,0.429814994373926
5,5,0.827353747662876
5,6,1.162305171162
5,7,1.37001741618385
5,8,1.41654851076578
5,9,1.32741609893823
5,10,1.22025397948108
5,11,1.2052084174249
5,12,1.27003227537126
5,13,1.34428517690405
5,14,1.38522208555408
5,15,1.40892879875121
5,16,1.4355956585322
5,17,1.44701211320301
5,18,1.4002124761119
5,19,1.27137479829707
5,20,1.092931953845
5,21,0.905316059206277
5,22,0.712086261276283
5,23,0.484907574193441
6,0,0.489782575775061
6,1,0.217245878285695
6,2,0.0114277069973674
6,3,0.0880117484023265
6,4,0.467249103572774
6,5,0.943450264779987
6,6,1.32019173327977
6,7,1.52332634813926
6,8,1.52258900118386
6,9,1.37016247180639
6,10,1.24595761213664
6,11,1.31130307522091
6,12,1.49269520527769
6,13,1.60518663965471
6,14,1.55103455715485
6,15,1.41681009300482
6,16,1.3045008109241
6,17,1.22551258258811
6,18,1.13283267156828
6,19,0.999582786641209
6,20,0.859603196850333
6,21,0.753923393686246
6,22,0.657837967294539
6,23,0.489782575775061
7,0,0.482425829445003
7,1,0.213110491647663
7,2,0.0456191220225014
7,3,0.139713959576558
7,4,0.485223154166274
7,5,0.875513188438427
7,6,1.12394775580722
7,7,1.21702681447094
7,8,1.20168532403514
7,9,1.13963195952505
7,10,1.11538098603202
7,11,1.20096509169697
7,12,1.35371235728386
7,13,1.47651908768135
7,14,1.51540730022748
7,15,1.50753994957443
7,16,1.49726596725233
7,17,1.47905970398435
7,18,1.41523451271505
7,19,1.28365398517303
7,20,1.10845469800312
7,21,0.920370275095142
7,22,0.720112656701088
7,23,0.482425829445003
