wday,hour,N
1,0,0.889835214351322
1,1,0.891505375639451
1,2,0.892017462070621
1,3,0.890397025534991
1,4,0.890508934691613
1,5,0.901812816998818
1,6,0.931981896834827
1,7,0.976949310790626
1,8,1.02859638353362
1,9,1.08057387652485
1,10,1.1292815297864
1,11,1.17094619066082
1,12,1.19854366448026
1,13,1.20352872182573
1,14,1.18210367873885
1,15,1.14044646494157
1,16,1.08608813627201
1,17,1.02768759568965
1,18,0.974629178437878
1,19,0.934107171004315
1,20,0.906981286931862
1,21,0.892841305236682
1,22,0.888801564671892
1,23,0.889835214351322
2,0,0.893817666879439
2,1,0.895585592941358
2,2,0.894426302157384
2,3,0.891140947003053
2,4,0.890472328832177
2,5,0.901720209370972
2,6,0.932245290303649
2,7,0.977137447999838
2,8,1.02727018698146
2,9,1.0764831302182
2,10,1.12322002294018
2,11,1.16561945488624
2,12,1.19625123046605
2,13,1.20505950731635
2,14,1.18683560903341
2,15,1.1465696508658
2,16,1.09078265576748
2,17,1.02886351820097
2,18,0.972048877194052
2,19,0.929121071974219
2,20,0.901713929848521
2,21,0.889954036747573
2,22,0.889843665192183
2,23,0.893817666879439
3,0,0.890104166346306
3,1,0.892628402029067
3,2,0.894113996634947
3,3,0.891821807098659
3,4,0.889789071314798
3,5,0.899887235768357
3,6,0.931640770992557
3,7,0.978999215789518
3,8,1.0305695352705
3,9,1.07927071125184
3,10,1.12471377767106
3,11,1.16622517277604
3,12,1.19629944682193
3,13,1.2042060997222
3,14,1.18453466430267
3,15,1.14307284487269
3,16,1.08721783568797
3,17,1.02668533480987
3,18,0.972683760603973
3,19,0.933370213314362
3,20,0.908052946504991
3,21,0.894425525910487
3,22,0.88958329815891
3,23,0.890104166346306
4,0,0.888910381219574
4,1,0.891017036687688
4,2,0.892647987260432
4,3,0.892086194972645
4,4,0.892685781418228
4,5,0.903663661622582
4,6,0.932620265532163
4,7,0.976283198635068
4,8,1.0276119058403
4,9,1.08026471975688
4,10,1.12898913125974
4,11,1.16862484388632
4,12,1.19399982040745
4,13,1.19995009985676
4,14,1.18353218252874
4,15,1.14645894316045
4,16,1.09161805455839
4,17,1.02873824386978
4,18,0.97195784476263
4,19,0.931527733497059
4,20,0.906304896691516
4,21,0.893098036506308
4,22,0.888498654849727
4,23,0.888910381219574
5,0,0.894524774611796
5,1,0.894765254297076
5,2,0.892648140487605
5,3,0.890432475052468
5,4,0.892295930914204
5,5,0.904634320142159
5,6,0.932614234639206
5,7,0.973832513211942
5,8,1.02325444260761
5,9,1.07584428907671
5,10,1.12656883242876
5,11,1.17013046354262
5,12,1.19913016096305
5,13,1.2051949097174
5,14,1.18451016116266
5,15,1.14283340174484
5,16,1.08728817733213
5,17,1.02686698653911
5,18,0.971765888358871
5,19,0.929994313547324
5,20,0.903214036533188
5,21,0.891710298761862
5,22,0.891421219715611
5,23,0.894524774611796
6,0,0.944720901164806
6,1,0.944729030701484
6,2,0.944282768828733
6,3,0.943313955451611
6,4,0.943876605955323
6,5,0.950478193621747
6,6,0.96668717082645
6,7,0.990052756052888
6,8,1.01605288668728
6,9,1.04143955859472
6,10,1.0649428147617
6,11,1.08522433815514
6,12,1.09905160241451
6,13,1.10230097769395
6,14,1.09282300758824
6,15,1.07261973848427
6,16,1.04440889396386
6,17,1.01315099990223
6,18,0.985251763054765
6,19,0.965359818320137
6,20,0.95300020255496
6,21,0.946756755867775
6,22,0.944754358188625
6,23,0.944720901164806
7,0,0.975499433519863
7,1,0.973310608420701
7,2,0.970052180215752
7,3,0.969163666132477
7,4,0.971965138158522
7,5,0.977326366829626
7,6,0.984263270419702
7,7,0.993373334354834
7,8,1.0057749304725
7,9,1.02085082944867
7,10,1.03529276451178
7,11,1.04581726649867
7,12,1.05117620013701
7,13,1.05109390395487
7,14,1.04560588672736
7,15,1.03538764574516
7,16,1.02130544231853
7,17,1.00550635810178
7,18,0.990963258545044
7,19,0.980113078912184
7,20,0.973811532063865
7,21,0.972504044712917
7,22,0.974343426278333
7,23,0.975499433519863
