wday,hour,N
1,0,0.986236221165971
1,1,0.985881721450715
1,2,0.986567026571924
1,3,0.988034173218116
1,4,0.990014382561689
1,5,0.99222637190169
1,6,0.994488013678478
1,7,0.997175920568912
1,8,1.00085212921784
1,9,1.00554974862786
1,10,1.01048174767076
1,11,1.01480664733001
1,12,1.01781084411145
1,13,1.01884426779048
1,14,1.0176717641314
1,15,1.01492746923695
1,16,1.01132609059277
1,17,1.00724651598346
1,18,1.00285102779411
1,19,0.99835055968858
1,20,0.994106377988403
1,21,0.990500895889424
1,22,0.987813861663022
1,23,0.986236221165971
2,0,0.988467387341259
2,1,0.987281632638929
2,2,0.986072781219122
2,3,0.986051299481003
2,4,0.987567104508834
2,5,0.989975227934713
2,6,0.992740906320927
2,7,0.996256159684455
2,8,1.00122089345184
2,9,1.00747701983343
2,10,1.01353606015328
2,11,1.01792814153499
2,12,1.02024001741047
2,13,1.02056253078048
2,14,1.01902434477083
2,15,1.01582692390078
2,16,1.01120710661954
2,17,1.00570638706479
2,18,1.00006279606999
2,19,0.995002340446999
2,20,0.991207016784259
2,21,0.98929254286249
2,22,0.98882599184533
2,23,0.988467387341259
3,0,0.989235290359725
3,1,0.989926337381547
3,2,0.990358325476251
3,3,0.990786949882523
3,4,0.991584340055981
3,5,0.993257235644304
3,6,0.996177506360274
3,7,0.999920371318304
3,8,1.00379115359181
3,9,1.00751818276721
3,10,1.01148587952381
3,11,1.01596842639641
3,12,1.01991631593821
3,13,1.02165258652687
3,14,1.02010965342887
3,15,1.0155059458945
3,16,1.00831604641169
3,17,1.00010985923398
3,18,0.993163244790819
3,19,0.989063625556422
3,20,0.987384249588499
3,21,0.987340826300224
3,22,0.98819235721206
3,23,0.989235290359725
4,0,0.988906586887394
4,1,0.987716626875212
4,2,0.986988653809268
4,3,0.987274051779745
4,4,0.988800588400026
4,5,0.991421896624073
4,6,0.994964434854768
4,7,0.999219219896869
4,8,1.00396355636399
4,9,1.00889126852224
4,10,1.01356680527345
4,11,1.01749908786504
4,12,1.01984443765703
4,13,1.01959538130125
4,14,1.01644980486269
4,15,1.01158690298258
4,16,1.00632834928426
4,17,1.00148380487368
4,18,0.997532399135053
4,19,0.994747494875022
4,20,0.992826402735602
4,21,0.991370853488947
4,22,0.990114804764421
4,23,0.988906586887394
5,0,0.986002359117858
5,1,0.984666250235546
5,2,0.984346537762174
5,3,0.985246465216229
5,4,0.987341514987443
5,5,0.990343853662906
5,6,0.994010490968856
5,7,0.998431442010454
5,8,1.00380337659696
5,9,1.00977632411741
5,10,1.01515284114949
5,11,1.01877256407594
5,12,1.02034856194751
5,13,1.02001072761153
5,14,1.01794153021176
5,15,1.01442831215615
5,16,1.00980054235581
5,17,1.00472389746054
5,18,1.00008064722726
5,19,0.996442825582098
5,20,0.993479672251741
5,21,0.99072256643497
5,22,0.988124337741517
5,23,0.986002359117858
6,0,0.993677096391885
6,1,0.992731659349879
6,2,0.992272686177215
6,3,0.992440342603593
6,4,0.99333285052558
6,5,0.99499994036033
6,6,0.997423670213361
6,7,1.00022253899347
6,8,1.00289154202547
6,9,1.00509868264366
6,10,1.00678032328706
6,11,1.00789677734141
6,12,1.00841523802025
6,13,1.00830637133932
6,14,1.00757204004539
6,15,1.00627948398819
6,16,1.0045175850504
6,17,1.00253111513318
6,18,1.00066528891014
6,19,0.99913608998824
6,20,0.997782946327711
6,21,0.996390073080077
6,22,0.994958561812306
6,23,0.993677096391885
7,0,0.996384168238548
7,1,0.995966359178954
7,2,0.995666887896944
7,3,0.995633665675223
7,4,0.995959395918357
7,5,0.996672955921414
7,6,0.997783860953326
7,7,0.999213176961319
7,8,1.00085045107529
7,9,1.00253900296184
7,10,1.00405054757159
7,11,1.00516408955596
7,12,1.0057654433239
7,13,1.00579177850582
7,14,1.00524887536317
7,15,1.00428573269534
7,16,1.00306695804208
7,17,1.00172896810521
7,18,1.00038998345213
7,19,0.999159458468093
7,20,0.998122503510016
7,21,0.997353750302327
7,22,0.996817818084606
7,23,0.996384168238548
