wday,hour,N
1,0,0.523135661928084
1,1,0.389746807697604
1,2,0.335675506221585
1,3,0.411543700014993
1,4,0.609253569511672
1,5,0.852821078705467
1,6,1.06963465661529
1,7,1.22711442376431
1,8,1.3070056774458
1,9,1.31557170244846
1,10,1.29705700654476
1,11,1.29365990512824
1,12,1.30538137765686
1,13,1.31216631009358
1,14,1.30465712601517
1,15,1.29618883648688
1,16,1.30044839865142
1,17,1.30199686819255
1,18,1.26661674809007
1,19,1.17207941686844
1,20,1.031543194929
1,21,0.864432529222626
1,22,0.689133835839081
1,23,0.523135661928084
2,0,0.540834422055862
2,1,0.435483237602952
2,2,0.396818755760978
2,3,0.465281563877345
2,4,0.638068762761574
2,5,0.862383437874909
2,6,1.08410222186817
2,7,1.25726262609066
2,8,1.33943035570058
2,9,1.32964077226446
2,10,1.29120278964664
2,11,1.28450043049492
2,12,1.30278025881121
2,13,1.30740757304669
2,14,1.28142650141879
2,15,1.25375509974509
2,16,1.25486070541516
2,17,1.266071071691
2,18,1.23703060354688
2,19,1.13638610043702
2,20,0.988964759813282
2,21,0.828874712940764
2,22,0.676598815079196
2,23,0.540834422055862
3,0,0.52495872131304
3,1,0.406762005147746
3,2,0.364907694276294
3,3,0.442071060325207
3,4,0.631237222796258
3,5,0.867944262876978
3,6,1.08893493102312
3,7,1.25559939824409
3,8,1.3384229537195
3,9,1.33949493849407
3,10,1.30987763944781
3,11,1.29869453041195
3,12,1.30621545899374
3,13,1.30948333182517
3,14,1.29676342694298
3,15,1.28015517843951
3,16,1.27262685996894
3,17,1.26235870920264
3,18,1.22154823095208
3,19,1.13163661764683
3,20,1.00142128305872
3,21,0.84478510836849
3,22,0.679141715211808
3,23,0.52495872131304
4,0,0.531883971311007
4,1,0.424398083887915
4,2,0.390241320297401
4,3,0.467289024002181
4,4,0.647698670488303
4,5,0.870773074891667
4,6,1.07752892870618
4,7,1.23504825491402
4,8,1.31988745958718
4,9,1.33338769879232
4,10,1.31529238942512
4,11,1.3041692396064
4,12,1.30301409867385
4,13,1.29790965719699
4,14,1.28296481253337
4,15,1.26933847140223
4,16,1.26808141776624
4,17,1.26402980623827
4,18,1.22511905530064
4,19,1.13088295991787
4,20,0.995028937878038
4,21,0.837330218124503
4,22,0.676818477747312
4,23,0.531883971311007
5,0,0.540952295185296
5,1,0.434915357005164
5,2,0.398190445712983
5,3,0.470613480706505
5,4,0.648197678686332
5,5,0.876292606248791
5,6,1.09966814727508
5,7,1.2756424956685
5,8,1.36646496304647
5,9,1.36851563814647
5,10,1.33107052545298
5,11,1.30267499951847
5,12,1.2899358243465
5,13,1.27950001098289
5,14,1.26432250461335
5,15,1.25084425618305
5,16,1.24549919745878
5,17,1.2348989272307
5,18,1.19287625458787
5,19,1.10282381562039
5,20,0.976246254550557
5,21,0.829654652313849
5,22,0.679247374273736
5,23,0.540952295185296
6,0,0.518892965346831
6,1,0.440277283215881
6,2,0.42893744878853
6,3,0.521045467714773
6,4,0.707145618356181
6,5,0.925031730833622
6,6,1.11561212024711
6,7,1.25366533993284
6,8,1.32605593943018
6,9,1.33833299901766
6,10,1.32498829740687
6,11,1.31872622471321
6,12,1.31828389897114
6,13,1.30627454789554
6,14,1.27725321493971
6,15,1.2510260938634
6,16,1.24715998850202
6,17,1.24547631117341
6,18,1.20017396847287
6,19,1.08462812108132
6,20,0.928603871884373
6,21,0.770945163693582
6,22,0.632570419172125
6,23,0.518892965346831
7,0,0.569346477084421
7,1,0.408963827221117
7,2,0.320693061993027
7,3,0.363912610976835
7,4,0.538224648135656
7,5,0.774123713431129
7,6,1.00278416032857
7,7,1.18072547552248
7,8,1.27386843823328
7,9,1.28355524777343
7,10,1.26601759257136
7,11,1.27476227811347
7,12,1.30415783620116
7,13,1.32049005481408
7,14,1.30913807167347
7,15,1.29588394281122
7,16,1.30781814087969
7,17,1.32809993020303
7,18,1.31156149087539
7,19,1.22813092164245
7,20,1.09251862203331
7,21,0.927125870710183
7,22,0.74875110968681
7,23,0.569346477084421
