wday,hour,N
1,0,0.999988073024851
1,1,0.999990228417027
1,2,0.999993179632563
1,3,0.999996644890226
1,4,1.0000003377639
1,5,1.00000396645747
1,6,1.0000072410015
1,7,1.00000988332166
1,8,1.00001162271815
1,9,1.00001238285091
1,10,1.00001238863093
1,11,1.00001186235718
1,12,1.00001079978302
1,13,1.00000908912599
1,14,1.00000669871534
1,15,1.0000037662696
1,16,1.00000045520745
1,17,0.999996979760554
1,18,0.999993586971626
1,19,0.999990552808834
1,20,0.999988234872909
1,21,0.999986992744189
1,22,0.999986959649277
1,23,0.999988073024851
2,0,1.00000036910406
2,1,1.00000044882029
2,2,1.00000050556895
2,3,1.00000053264566
2,4,1.00000052298043
2,5,1.00000046908058
2,6,1.000000365134
2,7,1.00000021486422
2,8,1.00000002551867
2,9,0.999999816881845
2,10,0.999999628165547
2,11,0.999999496581269
2,12,0.999999430182835
2,13,0.999999423086254
2,14,0.999999463910052
2,15,0.999999529924107
2,16,0.999999598995296
2,17,0.999999672542689
2,18,0.999999767171728
2,19,0.999999891184698
2,20,1.00000002827132
2,21,1.00000015832098
2,22,1.00000027196044
2,23,1.00000036910406
3,0,1.00000760615443
3,1,1.00000765387111
3,2,1.00000711840887
3,3,1.00000592729454
3,4,1.00000415551336
3,5,1.00000204852788
3,6,0.999999844142024
3,7,0.999997684165797
3,8,0.999995677165612
3,9,0.999993939362309
3,10,0.999992598893014
3,11,0.999991778473785
3,12,0.999991549627537
3,13,0.999991959088538
3,14,0.999992992378883
3,15,0.999994506974162
3,16,0.999996346666037
3,17,0.999998383604234
3,18,1.00000050821915
3,19,1.00000259645245
3,20,1.00000448169172
3,21,1.00000599412598
3,22,1.00000704304415
3,23,1.00000760615443
4,0,0.999822396078039
4,1,0.99966470145992
4,2,0.999541814215412
4,3,0.99946317407592
4,4,0.999431393541573
4,5,0.999441192115596
4,6,0.999486809570421
4,7,0.999562261522963
4,8,0.999661506429296
4,9,0.999779748595437
4,10,0.999914123516094
4,11,1.00006109449904
4,12,1.00021046724764
4,13,1.00034888327068
4,14,1.00046469093167
4,15,1.00054985886587
4,16,1.00059705902494
4,17,1.00060184008112
4,18,1.00056160848853
4,19,1.00047562736132
4,20,1.00034841153011
4,21,1.00018591269493
4,22,1.00000302880544
4,23,0.999822396078039
5,0,0.999999793636604
5,1,0.999998994485376
5,2,0.999998174105397
5,3,0.999997474496797
5,4,0.999997003919591
5,5,0.999996831626671
5,6,0.999997007279088
5,7,0.999997483066414
5,8,0.99999817720961
5,9,0.9999990029011
5,10,0.999999865591816
5,11,1.00000067405048
5,12,1.00000136868327
5,13,1.00000190509831
5,14,1.00000225764662
5,15,1.00000243978834
5,16,1.00000246999774
5,17,1.00000236779047
5,18,1.0000021533524
5,19,1.00000184521041
5,20,1.0000014570871
5,21,1.00000100032769
5,22,1.00000045901212
5,23,0.999999793636604
6,0,0.999980627268836
6,1,0.999981493150995
6,2,0.999984119056148
6,3,0.999987675346062
6,4,0.999991582490015
6,5,0.99999555010785
6,6,0.999999351814327
6,7,1.00000302919149
6,8,1.00000671394808
6,9,1.00001035605469
6,10,1.00001362364286
6,11,1.00001617623396
6,12,1.00001779751024
6,13,1.00001833061841
6,14,1.00001766057533
6,15,1.00001575943477
6,16,1.00001261761176
6,17,1.00000831156675
6,18,1.00000297343904
6,19,0.999996901301681
6,20,0.999990867875723
6,21,0.99998572096596
6,22,0.999982133526202
6,23,0.999980627268836
7,0,0.998566699909799
7,1,0.998444290606836
7,2,0.998452817994228
7,3,0.998589021995468
7,4,0.998835450540318
7,5,0.999158244122199
7,6,0.999524927836436
7,7,0.999915888856615
7,8,1.00031589160969
7,9,1.00070405477008
7,10,1.00105073913721
7,11,1.00132706934531
7,12,1.00151621916496
7,13,1.00160712969915
7,14,1.00159225773009
7,15,1.00147135820549
7,16,1.00124583660759
7,17,1.00092560287093
7,18,1.00052606128009
7,19,1.00007028373553
7,20,0.99960313503688
7,21,0.999172816125706
7,22,0.998817502909596
7,23,0.998566699909799
