time,N
1,1.00002536011027
2,1.00002379985844
3,1.00002224001682
4,1.0000206808512
5,1.00001912262735
6,1.00001756561105
7,1.00001601006809
8,1.00001445626425
9,1.00001290446529
10,1.00001135493702
11,1.00000980794521
12,1.00000826375563
13,1.00000672263407
14,1.00000518484632
15,1.00000365065814
16,1.00000212033533
17,1.00000059414366
18,0.999999072348919
19,0.999997555216879
20,0.999996043013326
21,0.99999453600404
22,0.999993034454801
23,0.999991538631391
24,0.999990048799591
25,0.999988565225181
26,0.999987088173943
27,0.999985617911656
28,0.999984154704103
29,0.999982698817063
30,0.999981250516319
31,0.99997981006765
32,0.999978377736837
33,0.999976953789663
34,0.999975538491906
35,0.999974132109349
36,0.999972734907772
37,0.999971347152956
38,0.999969969110682
39,0.99996860104673
40,0.999967243226883
41,0.99996589591692
42,0.999964559380364
43,0.999963233840207
44,0.999961919484379
45,0.999960616499656
46,0.999959325072814
47,0.999958045390626
48,0.99995677763987
49,0.999955522007319
50,0.999954278679749
51,0.999953047843936
52,0.999951829686655
53,0.999950624394681
54,0.999949432154789
55,0.999948253153755
56,0.999947087578354
57,0.99994593561536
58,0.99994479745155
59,0.999943673273699
60,0.999942563268582
61,0.999941467622973
62,0.99994038652365
63,0.999939320157386
64,0.999938268710957
65,0.999937232371139
66,0.999936211324706
67,0.999935205758433
68,0.999934215859097
69,0.999933241813473
70,0.999932283808335
71,0.999931342030458
72,0.99993041666662
73,0.999929507903593
74,0.999928615928155
75,0.999927740927079
76,0.999926883087142
77,0.999926042595118
78,0.999925219637783
79,0.999924414401912
80,0.999923627074281
81,0.999922857841664
82,0.999922106890868
83,0.999921374439048
84,0.999920660790664
85,0.999919966265776
86,0.999919291184447
87,0.999918635866736
88,0.999918000632705
89,0.999917385802414
90,0.999916791695926
91,0.9999162186333
92,0.999915666934598
93,0.999915136919881
94,0.99991462890921
95,0.999914143222645
96,0.999913680180249
97,0.999913240102081
98,0.999912823308203
99,0.999912430118676
100,0.99991206085356
101,0.999911715832918
102,0.999911395376809
103,0.999911099805296
104,0.999910829438438
105,0.999910584596297
106,0.999910365598934
107,0.999910172766411
108,0.999910006418787
109,0.999909866876123
110,0.999909754458482
111,0.999909669485924
112,0.99990961227851
113,0.999909583156301
114,0.999909582439358
115,0.999909610447741
116,0.999909667501513
117,0.999909753920734
118,0.999909870025465
119,0.999910016135766
120,0.9999101925717
121,0.999910399653327
122,0.999910637700708
123,0.999910906997776
124,0.999911207408474
125,0.999911538525786
126,0.999911899938176
127,0.999912291234114
128,0.999912712002064
129,0.999913161830493
130,0.999913640307868
131,0.999914147022656
132,0.999914681563323
133,0.999915243518336
134,0.99991583247616
135,0.999916448025264
136,0.999917089754113
137,0.999917757251174
138,0.999918450104914
139,0.999919167903799
140,0.999919910236296
141,0.999920676690871
142,0.999921466855992
143,0.999922280320123
144,0.999923116671733
145,0.999923975499287
146,0.999924856391253
147,0.999925758936097
148,0.999926682722285
149,0.999927627338284
150,0.99992859237256
151,0.999929577413582
152,0.999930582049813
153,0.999931605869722
154,0.999932648461775
155,0.999933709414438
156,0.999934788316179
157,0.999935884755463
158,0.999936998320758
159,0.999938128600529
160,0.999939275183244
161,0.999940437657369
162,0.99994161561137
163,0.999942808633984
164,0.999944016357636
165,0.999945238506372
166,0.999946474815773
167,0.999947725021422
168,0.9999489888589
169,0.999950266063788
170,0.999951556371668
171,0.999952859518123
172,0.999954175238733
173,0.999955503269081
174,0.999956843344748
175,0.999958195201317
176,0.999959558574368
177,0.999960933199483
178,0.999962318812244
179,0.999963715148234
180,0.999965121943033
181,0.999966538932223
