wday,hour,N
1,0,0.932397836978552
1,1,0.939759956637244
1,2,0.953641452018859
1,3,0.97047842537158
1,4,0.987960713224209
1,5,1.00522760070201
1,6,1.02137706655856
1,7,1.03482415300097
1,8,1.04376952513577
1,9,1.04779611037143
1,10,1.04862971216148
1,11,1.04804437095973
1,12,1.04673329148831
1,13,1.04487124563128
1,14,1.04214071296656
1,15,1.0371984936601
1,16,1.02865181632993
1,17,1.01603302377308
1,18,0.999472068344324
1,19,0.979867503383262
1,20,0.960300153651522
1,21,0.944198386541366
1,22,0.934228544131324
1,23,0.932397836978552
2,0,0.93040352377547
2,1,0.939025790912602
2,2,0.954492981650383
2,3,0.971599906601552
2,4,0.987968281935221
2,5,1.00448802375276
2,6,1.02163522657957
2,7,1.0365516525531
2,8,1.0452737084398
2,9,1.04706494966125
2,10,1.04619281596906
2,11,1.04678846802813
2,12,1.04848234544884
2,13,1.04876287297658
2,14,1.04579601622203
2,15,1.03919626049205
2,16,1.02879597899125
2,17,1.01484015721803
2,18,0.9978404207539
2,19,0.978749680695229
2,20,0.959777446410766
2,21,0.943383383924985
2,22,0.932486583231973
2,23,0.93040352377547
3,0,0.931806391208889
3,1,0.939714076323801
3,2,0.954476869829211
3,3,0.971311544605543
3,4,0.987752896553307
3,5,1.00401559980953
3,6,1.02011716152226
3,7,1.03413647319458
3,8,1.04350958794899
3,9,1.04753846281773
3,10,1.04841825470794
3,11,1.04838170911224
3,12,1.0479835809866
3,13,1.04697547087189
3,14,1.04462223628279
3,15,1.03917836977715
3,16,1.02894779669177
3,17,1.01428806463377
3,18,0.996881623589817
3,19,0.978417852133932
3,20,0.960542540072752
3,21,0.944944840541119
3,22,0.934232205575515
3,23,0.931806391208889
4,0,0.931134346075602
4,1,0.938742334592358
4,2,0.953137107801004
4,3,0.970257623174879
4,4,0.987791598172871
4,5,1.00544850059265
4,6,1.02270220717753
4,7,1.03707811020197
4,8,1.04546888858034
4,9,1.0474464731587
4,10,1.04673668943112
4,11,1.04693751014032
4,12,1.0477937820575
4,13,1.04721687182636
4,14,1.04375124951326
4,15,1.0372927313979
4,16,1.02788457235086
4,17,1.01530590831147
4,18,0.999166319310955
4,19,0.979912574127757
4,20,0.960407789259194
4,21,0.943924278116523
4,22,0.933328188553278
4,23,0.931134346075602
5,0,0.93222102029878
5,1,0.939846105900671
5,2,0.953822342243609
5,3,0.970146453692077
5,4,0.986804612468151
5,5,1.00408300160917
5,6,1.02187580651962
5,7,1.0371667885612
5,8,1.04598303761365
5,9,1.04765782248414
5,10,1.04665056389234
5,11,1.0472440981084
5,12,1.04881691975435
5,13,1.04841576035242
5,14,1.04420654000114
5,15,1.03673231845642
5,16,1.02675832184059
5,17,1.01415281739221
5,18,0.998206339879398
5,19,0.979146656935619
5,20,0.959925235270476
5,21,0.943944828540137
5,22,0.933971587886646
5,23,0.93222102029878
6,0,0.930435068689033
6,1,0.9387508157391
6,2,0.954146366291127
6,3,0.971555379747625
6,4,0.988390951309433
6,5,1.00493266455011
6,6,1.02123147429652
6,7,1.03516550202246
6,8,1.04389484678919
6,9,1.04681985046109
6,10,1.04681440677677
6,11,1.04673879708285
6,12,1.04697221877546
6,13,1.0467091541468
6,14,1.04488430151097
6,15,1.03990287274267
6,16,1.03024859159248
6,17,1.01609294146905
6,18,0.998696476147232
6,19,0.979530292209142
6,20,0.960618911193145
6,21,0.94412466544566
6,22,0.932908382323069
6,23,0.930435068689033
7,0,0.931880307838948
7,1,0.939465357828294
7,2,0.953816865293394
7,3,0.970489290357599
7,4,0.987213222875602
7,5,1.00423508738377
7,6,1.02148994682478
7,7,1.03638638235737
7,8,1.04549915135945
7,9,1.04807167333764
7,10,1.04748516095554
7,11,1.04709949042662
7,12,1.04727833137299
7,13,1.04695539844082
7,14,1.04486932909283
7,15,1.03936813677701
7,16,1.02892361132539
7,17,1.01401823614397
7,18,0.996431676789686
7,19,0.977925867486653
7,20,0.960149547074641
7,21,0.944776405919912
7,22,0.934291214898129
7,23,0.931880307838948
