wday,hour,N
1,0,0.877306841512447
1,1,0.895479558762349
1,2,0.926692756263919
1,3,0.959214222009451
1,4,0.987833134918621
1,5,1.01487808722437
1,6,1.04209522988252
1,7,1.0656214830616
1,8,1.0797213505526
1,9,1.08331331426611
1,10,1.08253255686055
1,11,1.08332108939659
1,12,1.08515667985853
1,13,1.08443880926564
1,14,1.07825124521076
1,15,1.06515251323206
1,16,1.04411716968032
1,17,1.01679738719339
1,18,0.986572257901438
1,19,0.956277078650513
1,20,0.927100096742858
1,21,0.900162157847508
1,22,0.880658138193392
1,23,0.877306841512447
2,0,0.87872299786345
2,1,0.896044918376563
2,2,0.926187962073792
2,3,0.958677020804357
2,4,0.988357235564427
2,5,1.01622451452469
2,6,1.04293830210873
2,7,1.06535807519453
2,8,1.07908347051774
2,9,1.08338454020471
2,10,1.08322253606623
2,11,1.08343536114868
2,12,1.0839933423137
2,13,1.08254601922316
2,14,1.07679761165943
2,15,1.06459698086581
2,16,1.04409790325145
2,17,1.01678706871828
2,18,0.986300871027075
2,19,0.95575088268563
2,20,0.926635937117389
2,21,0.900358933813983
2,22,0.881774517012754
2,23,0.87872299786345
3,0,0.877754681996818
3,1,0.895520908403
3,2,0.926148047332622
3,3,0.959012776833686
3,4,0.988895984164697
3,5,1.01682639041639
3,6,1.04348876917032
3,7,1.06569579352435
3,8,1.07897827120246
3,9,1.08272048114564
3,10,1.08228167753492
3,11,1.08284770915702
3,12,1.0841454512956
3,13,1.08330046132154
3,14,1.07773322002258
3,15,1.06551628145469
3,16,1.04506262728419
3,17,1.01778820917541
3,18,0.987045974859087
3,19,0.95581884546816
3,20,0.925932476018523
3,21,0.899182912272115
3,22,0.880547367949364
3,23,0.877754681996818
4,0,0.87812105787469
4,1,0.895408115089428
4,2,0.925477230791658
4,3,0.958015014287184
4,4,0.987890986148909
4,5,1.01596665710088
4,6,1.04278984350602
4,7,1.06528529627658
4,8,1.07917764583509
4,9,1.08375524200682
4,10,1.08383215981394
4,11,1.08410486804067
4,12,1.08456090958126
4,13,1.08294275223644
4,14,1.07705713270373
4,15,1.06487455972217
4,16,1.04464738321053
4,17,1.01766462826156
4,18,0.987174101740789
4,19,0.956094216163695
4,20,0.926301954327215
4,21,0.899658333777871
4,22,0.881078853628196
4,23,0.87812105787469
5,0,0.877401885595632
5,1,0.895275898382494
5,2,0.926338307623777
5,3,0.958842196037101
5,4,0.987564969068578
5,5,1.0148268349478
5,6,1.04234130497969
5,7,1.06607587576912
5,8,1.08008193283109
5,9,1.08329623554475
5,10,1.08223098144272
5,11,1.08316609528425
5,12,1.08536165561198
5,13,1.08473617226803
5,14,1.07816197330526
5,15,1.06455477367091
5,16,1.04329166378655
5,17,1.01612212637917
5,18,0.98632560493709
5,19,0.956594592693245
5,20,0.927859838432182
5,21,0.900979810517057
5,22,0.881167385295899
5,23,0.877401885595632
6,0,0.877867065720808
6,1,0.895400308839696
6,2,0.926026003745022
6,3,0.95875701657065
6,4,0.988343693322705
6,5,1.01616950975145
6,6,1.0431983152531
6,7,1.06597828426653
6,8,1.0795913235358
6,9,1.08324670561109
6,10,1.08255350897622
6,11,1.08295600167963
6,12,1.08421751104707
6,13,1.08339402284657
6,14,1.07780759987723
6,15,1.06537325440564
6,16,1.04437820486681
6,17,1.01656861049953
6,18,0.985921437107845
6,19,0.955685769163726
6,20,0.926909950467517
6,21,0.90047479748705
6,22,0.881314039237492
6,23,0.877867065720808
7,0,0.877366299286966
7,1,0.894981563618949
7,2,0.925936784525754
7,3,0.958567572202223
7,4,0.98757385798793
7,5,1.01501339735886
7,6,1.04239902888455
7,7,1.06590093758655
7,8,1.07990870524385
7,9,1.0834143345674
7,10,1.08254647115359
7,11,1.08324270210298
7,12,1.08504784506792
7,13,1.0844616494499
7,14,1.07852789449057
7,15,1.0654705591546
7,16,1.04394825095831
7,17,1.01594456499518
7,18,0.985587294639326
7,19,0.956088810873669
7,20,0.927925424219591
7,21,0.901352085819605
7,22,0.881427666524764
7,23,0.877366299286966
