time,N
1,0.910647105940575
2,0.909591522807863
3,0.908601137050904
4,0.907674923181605
5,0.906811855711868
6,0.906010909153601
7,0.905271058018707
8,0.904591276819091
9,0.90397054006666
10,0.903407822273317
11,0.902902097950968
12,0.902452341611517
13,0.90205752776687
14,0.901716630928932
15,0.901428625609608
16,0.901192486320802
17,0.90100718757442
18,0.900871703882367
19,0.900785009756548
20,0.900746079708868
21,0.900753888251231
22,0.900807409895543
23,0.900905619153709
24,0.901047490537634
25,0.901231998559224
26,0.901458117730381
27,0.901724822563013
28,0.902031087569024
29,0.902375887260319
30,0.902758196148802
31,0.90317698874638
32,0.903631239564956
33,0.904119923116437
34,0.904642013912727
35,0.90519648646573
36,0.905782315287353
37,0.9063984748895
38,0.907043939784075
39,0.907717684482985
40,0.908418683498135
41,0.909145911341428
42,0.909898353867828
43,0.91067520056288
44,0.911475817047136
45,0.912299574748794
46,0.913145845096051
47,0.914013999517106
48,0.914903409440156
49,0.915813446293399
50,0.916743481505034
51,0.917692886503258
52,0.91866103271627
53,0.919647291572267
54,0.920651034499447
55,0.921671632926007
56,0.922708458280148
57,0.923760881990064
58,0.924828275483956
59,0.925910010190021
60,0.927005457536456
61,0.928113988951461
62,0.929234975863232
63,0.930367789699967
64,0.931511801889865
65,0.932666383861124
66,0.933830907041941
67,0.935004742860514
68,0.936187262745042
69,0.937377838123722
70,0.938575840424752
71,0.939780641076331
72,0.940991611506655
73,0.942208123143924
74,0.943429547416334
75,0.944655255752085
76,0.945884619579373
77,0.947117010326397
78,0.948351799421355
79,0.949588358292444
80,0.950826058367863
81,0.95206427107581
82,0.953302368003588
83,0.954539879207769
84,0.955776790582733
85,0.95701316948497
86,0.958249083270974
87,0.959484599297236
88,0.960719784920249
89,0.961954707496505
90,0.963189434382497
91,0.964424032934716
92,0.965658570509656
93,0.966893114463807
94,0.968127732153663
95,0.969362490935716
96,0.970597458166458
97,0.971832701202382
98,0.973068287399979
99,0.974304284115741
100,0.975540758706163
101,0.976777778527734
102,0.978015410936948
103,0.979253723290298
104,0.980492782944274
105,0.98173265725537
106,0.982973413580078
107,0.984215119274891
108,0.985457841696299
109,0.986701648200796
110,0.987946606144874
111,0.989192782885026
112,0.990440245777743
113,0.991689062179517
114,0.992939299446842
115,0.994191024936209
116,0.995444306004111
117,0.996699210007039
118,0.997955804301487
119,0.999214156243946
120,1.00047433319091
121,1.00173640249887
122,1.00300043152431
123,1.00426646280636
124,1.00553425038199
125,1.00680336215782
126,1.00807336293827
127,1.00934381752777
128,1.01061429073075
129,1.01188434735165
130,1.01315355219489
131,1.0144214700649
132,1.01568766576611
133,1.01695170410295
134,1.01821314987984
135,1.01947156790123
136,1.02072652297154
137,1.02197757989519
138,1.02322430347662
139,1.02446625852026
140,1.02570300983053
141,1.02693412221187
142,1.02815916046871
143,1.02937768940547
144,1.03058927382659
145,1.03179347853648
146,1.0329898683396
