wday,hour,N
1,0,0.596130553253649
1,1,0.601087814093647
1,2,0.600338296025385
1,3,0.593364687274653
1,4,0.59514397928573
1,5,0.638566206481928
1,6,0.750067331531231
1,7,0.914384687530263
1,8,1.10188151629868
1,9,1.2902376788692
1,10,1.46849635552272
1,11,1.62486601454794
1,12,1.7331631774178
1,13,1.76044168625465
1,14,1.69002216852804
1,15,1.5394252970196
1,16,1.33157159051986
1,17,1.10209295473703
1,18,0.894810985489085
1,19,0.742524103020671
1,20,0.64592933124745
1,21,0.59953722648675
1,22,0.589785805310392
1,23,0.596130553253649
2,0,0.594824507810062
2,1,0.599556454294889
2,2,0.599551420808586
2,3,0.593245291277851
2,4,0.595130146537343
2,5,0.638260718561062
2,6,0.749277588632428
2,7,0.913143609684567
2,8,1.10045328106145
2,9,1.28902601886397
2,10,1.46790240832646
2,11,1.62524122450974
2,12,1.73453236719209
2,13,1.76237211014136
2,14,1.69180339661754
2,15,1.54044813731624
2,16,1.33141585739275
2,17,1.10099311320955
2,18,0.893955912481145
2,19,0.743410283576509
2,20,0.6484859211305
2,21,0.601899630845618
2,22,0.590246091918218
2,23,0.594824507810062
3,0,0.59522956661374
3,1,0.600409554358957
3,2,0.600091276509576
3,3,0.59367669469975
3,4,0.595893269446296
3,5,0.639186348691425
3,6,0.749692850790197
3,7,0.912726865551588
3,8,1.09952558802786
3,9,1.28820691219154
3,10,1.46757590099048
3,11,1.62550150102613
3,12,1.7351173062999
3,13,1.76263446825799
3,14,1.69117900651402
3,15,1.53943812906397
3,16,1.33154782365823
3,17,1.10293188662465
3,18,0.896285775074163
3,19,0.743673142139048
3,20,0.64622605889574
3,21,0.59907943404475
3,22,0.588941073916265
3,23,0.59522956661374
4,0,0.594216217554865
4,1,0.599086539397433
4,2,0.598996599757307
4,3,0.593162686053328
4,4,0.59609028474429
4,5,0.639960803281075
4,6,0.750713301956446
4,7,0.913846871260304
4,8,1.10091206983715
4,9,1.29005615134928
4,10,1.46967312525426
4,11,1.62724975744758
4,12,1.73606763095529
4,13,1.76273774597183
4,14,1.69063107845463
4,15,1.53835171863465
4,16,1.32993756756534
4,17,1.10102055397453
4,18,0.894701523444244
4,19,0.743149392309792
4,20,0.646728711299734
4,21,0.599700664048757
4,22,0.588792787893023
4,23,0.594216217554865
5,0,0.594597789995302
5,1,0.599106082054635
5,2,0.598524526619716
5,3,0.592210859428916
5,4,0.594770130335585
5,5,0.638434886809769
5,6,0.749195099047553
5,7,0.912614573522929
5,8,1.10030909190631
5,9,1.2902335821624
5,10,1.47019052006051
5,11,1.62718851685071
5,12,1.73520414365198
5,13,1.76209744643397
5,14,1.69161806618062
5,15,1.54091634683183
5,16,1.33249839736613
5,17,1.10223934498741
5,18,0.89462792930459
5,19,0.742782241761309
5,20,0.646699129818756
5,21,0.600053606853721
5,22,0.589289898020044
5,23,0.594597789995302
6,0,0.796310880567783
6,1,0.797278904361875
6,2,0.796216453244533
6,3,0.794080244842178
6,4,0.797894136403028
6,5,0.821696236237284
6,6,0.876780108487257
6,7,0.956895295572765
6,8,1.04972720199362
6,9,1.14505124469845
6,10,1.23589185146158
6,11,1.31481802559241
6,12,1.36856234811514
6,13,1.3811247555853
6,14,1.34470151350194
6,15,1.26871251432359
6,16,1.16521206887986
6,17,1.05166775885163
6,18,0.949034300446931
6,19,0.873047530019571
6,20,0.824263711183619
6,21,0.800287478287031
6,22,0.794434556774844
6,23,0.796310880567783
7,0,0.896347205795155
7,1,0.896923661548444
7,2,0.897397212339529
7,3,0.897284221422652
7,4,0.899638562346366
7,5,0.911603842353419
7,6,0.938996329034283
7,7,0.978930106601462
7,8,1.02550517791129
7,9,1.07348932639897
7,10,1.11869010338449
7,11,1.15679657043599
7,12,1.18184645624122
7,13,1.18711165263525
7,14,1.16937266679336
7,15,1.13277773402764
7,16,1.08266230900369
7,17,1.02737843474166
7,18,0.977221653847154
7,19,0.939844241358272
7,20,0.915201793634404
7,21,0.901801107288683
7,22,0.896832425061471
7,23,0.896347205795155
