wday,hour,N
1,0,0.871361156342133
1,1,0.873181639867272
1,2,0.875109131066417
1,3,0.875763318946235
1,4,0.87857262141955
1,5,0.892524852414343
1,6,0.925113281077301
1,7,0.973735263869939
1,8,1.03226914488491
1,9,1.09403599768978
1,10,1.15149858855035
1,11,1.19723059154475
1,12,1.22527283428691
1,13,1.23038084566389
1,14,1.20975925774399
1,15,1.1657394307228
1,16,1.10195502035476
1,17,1.02967439412205
1,18,0.965086840634983
1,19,0.919783198158613
1,20,0.891890691889041
1,21,0.877145581853216
1,22,0.871555160554632
1,23,0.871361156342133
2,0,0.877372525269258
2,1,0.879255495851516
2,2,0.878234696210869
2,3,0.87373596629507
2,4,0.871352122497357
2,5,0.883805654134023
2,6,0.921117680420138
2,7,0.975970910697781
2,8,1.03510597243134
2,9,1.09038815654964
2,10,1.14163536264296
2,11,1.1884256520169
2,12,1.22299949043243
2,13,1.23412833271497
2,14,1.2154470934194
2,15,1.17083454011623
2,16,1.10597676553705
2,17,1.03257512628822
2,18,0.966207711283497
2,19,0.918450526427806
2,20,0.889181508594054
2,21,0.876056496599477
2,22,0.874369688300774
2,23,0.877372525269258
3,0,0.875075142299788
3,1,0.874774819040397
3,2,0.873081991643669
3,3,0.871266991938004
3,4,0.873865004996353
3,5,0.889185729379948
3,6,0.923845095530818
3,7,0.97380468087022
3,8,1.03134577369202
3,9,1.09016389655582
3,10,1.14615239926823
3,11,1.19486180015871
3,12,1.22761849657699
3,13,1.23377171370119
3,14,1.20869762900288
3,15,1.16043693959594
3,16,1.09862350820766
3,17,1.03287349928653
3,18,0.972789647964145
3,19,0.925971470819073
3,20,0.894256761605411
3,21,0.87822002587139
3,22,0.874241839695034
3,23,0.875075142299788
4,0,0.872305309954676
4,1,0.876290688473326
4,2,0.878335685432263
4,3,0.87626518135232
4,4,0.874766903306834
4,5,0.886462750272188
4,6,0.921589930940396
4,7,0.974568525138648
4,8,1.03437089690851
4,9,1.09302471929141
4,10,1.14730195153849
4,11,1.19391098356186
4,12,1.22581426863378
4,13,1.2342126710124
4,14,1.21431389434679
4,15,1.16975104489872
4,16,1.10572108211788
4,17,1.03326770452647
4,18,0.967202897621302
4,19,0.91861397651948
4,20,0.88769337890614
4,21,0.872572594163532
4,22,0.869337651127904
4,23,0.872305309954677
5,0,0.875335536694563
5,1,0.874552964664745
5,2,0.872154393358255
5,3,0.869821473044027
5,4,0.872391733940812
5,5,0.888351235173801
5,6,0.924341674573319
5,7,0.975546992093679
5,8,1.03320465679466
5,9,1.09075311719229
5,10,1.14504853874679
5,11,1.19268560149159
5,12,1.22584751444879
5,13,1.23464278045155
5,14,1.21387613054543
5,15,1.16822744390425
5,16,1.10403545873925
5,17,1.03246796647017
5,18,0.967804579447994
5,19,0.920694356654997
5,20,0.891193684989656
5,21,0.877315468448343
5,22,0.874371161436475
5,23,0.875335536694563
6,0,0.935556808572511
6,1,0.937936045372336
6,2,0.939061702492131
6,3,0.938700683648113
6,4,0.939188761887575
6,5,0.945831593193887
6,6,0.962958544244023
6,7,0.988510233373317
6,8,1.01821525819557
6,9,1.04833933678427
6,10,1.07598418031626
6,11,1.09829714110729
6,12,1.1122169254118
6,13,1.11459292963109
6,14,1.10392815917322
6,15,1.08219451867849
6,16,1.05196762935854
6,17,1.0177635635002
6,18,0.985349250425601
6,19,0.959469787865088
6,20,0.941870950333533
6,21,0.933605329642565
6,22,0.932903858220086
6,23,0.935556808572511
7,0,0.968731007421519
7,1,0.968486824698448
7,2,0.967461560242641
7,3,0.967024040268486
7,4,0.968409602386595
7,5,0.972699257351896
7,6,0.980711005561882
7,7,0.991839223772366
7,8,1.00498280096866
7,9,1.01900571425259
7,10,1.03271859750435
7,11,1.04484901346244
7,12,1.05350124128327
7,13,1.05648921454726
7,14,1.05274234945961
7,15,1.04353306525733
7,16,1.03043397183879
7,17,1.01507772163621
7,18,0.999135871289403
7,19,0.98444704362012
7,20,0.973328571203035
7,21,0.968011836395621
7,22,0.967649458155954
7,23,0.968731007421519
