wday,hour,N
1,0,0.937602136778995
1,1,0.925899484762209
1,2,0.921884902843994
1,3,0.918887875830157
1,4,0.916704213709513
1,5,0.922605477996204
1,6,0.942429028255769
1,7,0.971656637024171
1,8,1.00217666746539
1,9,1.02627275473485
1,10,1.03684680807387
1,11,1.02890314563031
1,12,1.01372038958191
1,13,1.01028176181177
1,14,1.02849861417588
1,15,1.05915838137392
1,16,1.0906654808786
1,17,1.11171523110018
1,18,1.11119651472261
1,19,1.08386404683597
1,20,1.0413366471669
1,21,0.997925241140062
1,22,0.962166421327779
1,23,0.937602136778995
2,0,0.951204466748099
2,1,0.954449013179688
2,2,0.965496769466862
2,3,0.976518576727788
2,4,0.983771486226085
2,5,0.988236637616095
2,6,0.991071479701559
2,7,0.992947519560612
2,8,0.994357237192072
2,9,0.995187401127015
2,10,0.994386190021932
2,11,0.991382062924361
2,12,0.990058920825891
2,13,0.996405282774773
2,14,1.01316574523911
2,15,1.03625496731684
2,16,1.06045682936353
2,17,1.07740753055898
2,18,1.07671803078157
2,19,1.05346610036881
2,20,1.01855218119766
2,21,0.985397025308137
2,22,0.961904079024437
2,23,0.951204466748099
3,0,0.926827452686302
3,1,0.915988132357482
3,2,0.915875639550958
3,3,0.923692438060719
3,4,0.937502619590965
3,5,0.95636640826761
3,6,0.978741822591471
3,7,0.999406619097793
3,8,1.01192217677427
3,9,1.01363119201709
3,10,1.00773939427237
3,11,0.998400832934501
3,12,0.99329545391258
3,13,1.00175064186947
3,14,1.02758932314543
3,15,1.06306987316246
3,16,1.0987611511149
3,17,1.12251951090928
3,18,1.1204589414988
3,19,1.08627216951267
3,20,1.03553610441607
3,21,0.987203464730682
3,22,0.95062118483983
3,23,0.926827452686302
4,0,0.948751805288014
4,1,0.929665314684202
4,2,0.918538610171833
4,3,0.918669218759925
4,4,0.929615829522879
4,5,0.946614641929088
4,6,0.965061156935589
4,7,0.982589614931967
4,8,0.997631010170774
4,9,1.0097252930286
4,10,1.02013008468889
4,11,1.03015139333961
4,12,1.04030606432346
4,13,1.0507300694738
4,14,1.06081928774214
4,15,1.06842248514133
4,16,1.07128661304862
4,17,1.06823968242093
4,18,1.05880763019442
4,19,1.0429943307518
4,20,1.02214501106071
4,21,0.997880788001211
4,22,0.97247225910219
4,23,0.948751805288014
5,0,0.941146437325498
5,1,0.912560511416318
5,2,0.895649860169052
5,3,0.898486388202397
5,4,0.920776520975651
5,5,0.95255531082411
5,6,0.983906097262059
5,7,1.00819702239453
5,8,1.02003135845719
5,9,1.01960482146687
5,10,1.01577963818291
5,11,1.01717685534707
5,12,1.0245815618867
5,13,1.03504723476411
5,14,1.04643875746865
5,15,1.05837078950351
5,16,1.07039145632508
5,17,1.07871411337193
5,18,1.0774029914622
5,19,1.06281701122523
5,20,1.03801892736687
5,21,1.0072303484665
5,22,0.973969548810075
5,23,0.941146437325498
6,0,0.990504613819437
6,1,0.990087395049971
6,2,0.990282581715546
6,3,0.991066935514042
6,4,0.992437390749347
6,5,0.994414203378046
6,6,0.996987952644019
6,7,0.999975886273901
6,8,1.00313450058989
6,9,1.00619060664913
6,10,1.00882509712242
6,11,1.01073450260742
6,12,1.0117709147152
6,13,1.011861026335
6,14,1.0109999489842
6,15,1.00932530984983
6,16,1.00699639993921
6,17,1.00421573858035
6,18,1.00121373591223
6,19,0.998222832393428
6,20,0.995479971649793
6,21,0.993216609260892
6,22,0.991551232447266
6,23,0.990504613819437
7,0,0.999982062046791
7,1,0.999978144873086
7,2,0.999976480227781
7,3,0.99997681332092
7,4,0.999978813685309
7,5,0.999982063362911
7,6,0.999986151955837
7,7,0.999990738641747
7,8,0.999995509318414
7,9,1.00000030186354
7,10,1.00000518968607
7,11,1.00001023765572
7,12,1.00001528192167
7,13,1.00002004837885
7,14,1.00002407004059
7,15,1.00002647685642
7,16,1.00002641085728
7,17,1.00002374452242
7,18,1.0000188216773
7,19,1.00001208284711
7,20,1.00000422412148
7,21,0.99999599461614
7,22,0.999988275475826
7,23,0.999982062046791
