wday,hour,N
1,0,0.469587489418481
1,1,0.326563623973023
1,2,0.266682704038585
1,3,0.347904576829729
1,4,0.564654537992577
1,5,0.837905264049297
1,6,1.09034570802826
1,7,1.2771640429775
1,8,1.36546214122175
1,9,1.35928568538677
1,10,1.31992568158985
1,11,1.30619011812686
1,12,1.31806012476317
1,13,1.32755662408868
1,14,1.32157815188827
1,15,1.3185838545792
1,16,1.33736704466354
1,17,1.35440748123132
1,18,1.31890632365419
1,19,1.19999487795366
1,20,1.02544240254842
1,21,0.83266678630681
1,22,0.644177265271592
1,23,0.469587489418481
2,0,0.478224355405337
2,1,0.346569510305757
2,2,0.299545261919615
2,3,0.383307594903041
2,4,0.590637573985876
2,5,0.852609246734331
2,6,1.10057009980693
2,7,1.28663200357689
2,8,1.37082695797022
2,9,1.35528520504813
2,10,1.30737802839615
2,11,1.29170127499408
2,12,1.3062393092329
2,13,1.31731779772156
2,14,1.30835477601094
2,15,1.29902117022821
2,16,1.31010505311639
2,17,1.32231456120298
2,18,1.29051647742998
2,19,1.18574971789244
2,20,1.02681211645574
2,21,0.840830163821312
2,22,0.651227388435842
2,23,0.478224355405337
3,0,0.475020680734721
3,1,0.339781746896799
3,2,0.288486727716132
3,3,0.372140776422814
3,4,0.584188111366701
3,5,0.851526460495142
3,6,1.10185378585408
3,7,1.28808870292404
3,8,1.37259907291979
3,9,1.35864780526483
3,10,1.31287148942457
3,11,1.29899668707344
3,12,1.3143452952938
3,13,1.32468364665056
3,14,1.31360295565563
3,15,1.30248213177103
3,16,1.31377342789852
3,17,1.32709331128674
3,18,1.2944404792785
3,19,1.18550098407108
3,20,1.02216357888196
3,21,0.835205124335504
3,22,0.64748633704889
3,23,0.475020680734721
4,0,0.47204004424221
4,1,0.338710956834109
4,2,0.29084509736133
4,3,0.37804590714993
4,4,0.592174816850581
4,5,0.858337424061119
4,6,1.10324483412291
4,7,1.28340013092228
4,8,1.3662869501537
4,9,1.35681231667457
4,10,1.31787339072058
4,11,1.30926575835334
4,12,1.32653694084171
4,13,1.33471399592696
4,14,1.31773960184957
4,15,1.29961812642526
4,16,1.30557891289129
4,17,1.3164495808122
4,18,1.28442904762208
4,19,1.1787397147984
4,20,1.01894549118422
4,21,0.833313973096367
4,22,0.644856942863061
4,23,0.47204004424221
5,0,0.47808634866268
5,1,0.350449128283207
5,2,0.308148269025956
5,3,0.396234327973431
5,4,0.606290590471215
5,5,0.868086556301956
5,6,1.11216809533441
5,7,1.29269299378065
5,8,1.3727053382113
5,9,1.35592304516805
5,10,1.30909569331259
5,11,1.29577361627897
5,12,1.31103926086256
5,13,1.31745227015491
5,14,1.29809534231474
5,15,1.27950963977914
5,16,1.28955789309014
5,17,1.30785182045255
5,18,1.28289210623004
5,19,1.18123753824674
5,20,1.02288355984005
5,21,0.837118471151541
5,22,0.648621746410499
5,23,0.47808634866268
6,0,0.453428908395192
6,1,0.356642520067468
6,2,0.340735972721504
6,3,0.440231581038259
6,4,0.646177680435766
6,5,0.899362117168734
6,6,1.1402361949003
6,7,1.32303440054598
6,8,1.40747311534836
6,9,1.39468875085963
6,10,1.35001130874144
6,11,1.33575950838237
6,12,1.34648314611808
6,13,1.34454284476996
6,14,1.3128752815493
6,15,1.27798243277638
6,16,1.26791138151454
6,17,1.26490045096874
6,18,1.2216520116121
6,19,1.10838940952156
6,20,0.94715205548194
6,21,0.768878147947276
6,22,0.598021870739922
6,23,0.453428908395192
7,0,0.500742988055912
7,1,0.31735534121804
7,2,0.224618974821104
7,3,0.283948275304961
7,4,0.489388469285428
7,5,0.757098954091792
7,6,1.00579764350376
7,7,1.19279644359995
7,8,1.28939329479718
7,9,1.30104352562925
7,10,1.28612553638986
7,11,1.29980990513097
7,12,1.33563695177938
7,13,1.35788164669374
7,14,1.35083904905823
7,15,1.34116585318073
7,16,1.35693643492678
7,17,1.38069700870592
7,18,1.36563541719001
7,19,1.27902706357348
7,20,1.13007849763725
7,21,0.9357419573331
7,22,0.717497780037248
7,23,0.500742988055913
