time,N
1,1.00338560380753
2,1.00346706460696
3,1.00355186002067
4,1.00363985723059
5,1.00373092341866
6,1.0038249257668
7,1.00392173145694
8,1.00402120767103
9,1.004123221591
10,1.00422764039877
11,1.00433433127628
12,1.00444316140547
13,1.00455399796826
14,1.00466670814659
15,1.00478115912239
16,1.00489721807759
17,1.00501475219413
18,1.00513362865394
19,1.00525371463895
20,1.0053748773311
21,1.00549698391231
22,1.00561990156453
23,1.00574349746967
24,1.00586763880968
25,1.00599219276649
26,1.00611702652204
27,1.00624200725824
28,1.00636700215704
29,1.00649187840037
30,1.00661650317017
31,1.00674074364836
32,1.00686446701687
33,1.00698754045765
34,1.00710983115262
35,1.00723120628372
36,1.00735153303287
37,1.00747067858201
38,1.00758851011308
39,1.00770489480801
40,1.00781969984873
41,1.00793279241717
42,1.00804404120181
43,1.00815334193679
44,1.00826061374998
45,1.00836577654062
46,1.00846875020794
47,1.00856945465118
48,1.00866780976957
49,1.00876373546235
50,1.00885715162875
51,1.008947978168
52,1.00903613497935
53,1.00912154196202
54,1.00920411901525
55,1.00928378603827
56,1.00936046293033
57,1.00943406959065
58,1.00950452591847
59,1.00957175181302
60,1.00963566717355
61,1.00969619189928
62,1.00975324588944
63,1.00980674904328
64,1.00985662126003
65,1.00990278243892
66,1.00994515247919
67,1.00998365128007
68,1.01001819874079
69,1.0100487147606
70,1.01007511923873
71,1.01009733207441
72,1.01011527316687
73,1.01012886241536
74,1.0101380197191
75,1.01014266497733
76,1.01014271808929
77,1.01013809895421
78,1.01012872747132
79,1.01011452353986
80,1.01009540705907
81,1.01007129792818
82,1.01004211607936
83,1.01000781425923
84,1.00996843960526
85,1.00992405612339
86,1.00987472781955
87,1.00982051869969
88,1.00976149276973
89,1.00969771403562
90,1.00962924650328
91,1.00955615417867
92,1.00947850106771
93,1.00939635117634
94,1.0093097685105
95,1.00921881707612
96,1.00912356087914
97,1.0090240639255
98,1.00892039022114
99,1.00881260377199
100,1.00870076858398
101,1.00858494866306
102,1.00846520801516
103,1.00834161064622
104,1.00821422056217
105,1.00808310176895
106,1.0079483182725
107,1.00780993407875
108,1.00766801319365
109,1.00752261962312
110,1.0073738173731
111,1.00722167044954
112,1.00706624285836
113,1.00690759860551
114,1.00674580169692
115,1.00658091613852
116,1.00641300593626
117,1.00624213509607
118,1.00606836762388
119,1.00589176752564
120,1.00571239880728
121,1.00553032547474
122,1.00534561153395
123,1.00515832375607
124,1.00496856105785
125,1.00477644309518
126,1.00458208986958
127,1.00438562138257
128,1.00418715763567
129,1.00398681863041
130,1.00378472436831
131,1.00358099485091
132,1.00337575007971
133,1.00316911005625
134,1.00296119478206
135,1.00275212425864
136,1.00254201848754
137,1.00233099747026
138,1.00211918120835
139,1.00190668970331
140,1.00169364295668
141,1.00148016096998
142,1.00126636374474
143,1.00105237128247
144,1.0008383035847
145,1.00062428065296
146,1.00041042248877
147,1.00019684909366
148,0.999983680469139
149,0.999771036616745
150,0.999559037537998
151,0.999347803234422
152,0.999137453707541
153,0.998928108958879
154,0.998719888989961
155,0.998512913802311
156,0.998307303397453
157,0.99810317777691
158,0.997900656942208
159,0.997699860894871
160,0.997500909636422
161,0.997303923168386
162,0.997109021492286
163,0.996916324416205
164,0.99672592033779
165,0.996537831787093
166,0.996352073000261
167,0.996168658213445
168,0.995987601662791
169,0.995808917584451
170,0.995632620214571
171,0.995458723789301
172,0.99528724254479
173,0.995118190717186
174,0.994951582542638
175,0.994787432257295
176,0.994625754097306
177,0.994466562298819
178,0.994309871097983
179,0.994155694730947
180,0.99400404743386
181,0.99385494344287
182,0.993708396994126
183,0.993564422323778
184,0.993423033667973
185,0.99328424526286
186,0.993148071344589
187,0.993014526149308
188,0.992883623913165
189,0.99275537887231
190,0.992629805262892
191,0.992506917321058
192,0.992386729282958
193,0.992269255384741
194,0.992154509862555
195,0.992042506952549
196,0.991933260890872
197,0.991826785913673
198,0.9917230962571
199,0.991622206157302
200,0.991524129850428
201,0.991428881572627
202,0.991336475560047
203,0.991246926048837
204,0.991160246980019
205,0.991076449950803
206,0.990995545440703
207,0.990917543922348
208,0.990842455868368
209,0.990770291751391
210,0.990701062044048
211,0.990634777218969
212,0.990571447748781
213,0.990511084106116
214,0.990453696763602
215,0.990399296193869
216,0.990347892869547
217,0.990299497263265
218,0.990254119847652
219,0.990211771095338
220,0.990172461478952
221,0.990136201471125
222,0.990103001544485
223,0.990072872171662
224,0.990045823825285
225,0.990021866977985
226,0.990001012102389
227,0.989983269671129
228,0.989968650156833
229,0.989957164032131
230,0.989948821769653
231,0.989943633842027
232,0.989941610721884
233,0.989942762881853
234,0.989947100794563
235,0.989954634932644
236,0.989965375768725
237,0.989979333775437
238,0.989996519425407
239,0.990016943191267
240,0.990040615545645
241,0.99006754696117
242,0.990097747910474
243,0.990131228866184
244,0.990168000141853
245,0.990208062506396
246,0.990251401934543
247,0.990298003128403
248,0.990347850790087
249,0.990400929621704
250,0.990457224325367
251,0.990516719603183
252,0.990579400157264
253,0.990645250689721
254,0.990714255902664
255,0.990786400498201
256,0.990861669178446
257,0.990940046645506
258,0.991021517601493
259,0.991106066748517
260,0.991193678788689
261,0.991284338424118
262,0.991378030356915
263,0.99147473928919
264,0.991574449923054
265,0.991677146960617
266,0.991782815103989
267,0.99189143905528
268,0.992003003516601
269,0.992117493190061
270,0.992234892777773
271,0.992355186981845
272,0.992478360504388
273,0.992604398047511
274,0.992733284313327
275,0.992865004003945
276,0.992999541821474
277,0.993136882468026
278,0.993277010645711
279,0.993419911056639
280,0.99356556840292
281,0.993713967386665
282,0.993865092709984
283,0.994018929074987
284,0.994175461183784
