wday,hour,N
1,0,0.460704915526768
1,1,0.31716330376739
1,2,0.261860687821482
1,3,0.35122641937947
1,4,0.576480500500565
1,5,0.85345407153741
1,6,1.10112702535855
1,7,1.27959771913021
1,8,1.36379516567646
1,9,1.36082687681857
1,10,1.3276547922319
1,11,1.31848743624482
1,12,1.33160819733553
1,13,1.33872694849187
1,14,1.32691718932873
1,15,1.31581432863655
1,16,1.32566593690207
1,17,1.3361720353306
1,18,1.30089041959054
1,19,1.19035663242559
1,20,1.02519695100284
1,21,0.834608790198409
1,22,0.640958741236906
1,23,0.460704915526767
2,0,0.471032394734035
2,1,0.337587943280012
2,2,0.288035237703564
2,3,0.375245939899218
2,4,0.591595345193413
2,5,0.85951859096371
2,6,1.10354260003074
2,7,1.28169990495401
2,8,1.3642541867721
2,9,1.35646832064725
2,10,1.31783580568919
2,11,1.30517065026114
2,12,1.31695918766241
2,13,1.32397189330642
2,14,1.31288169812362
2,15,1.30406816139621
2,16,1.31843565896013
2,17,1.33364999696493
2,18,1.29950086988125
2,19,1.18497381400707
2,20,1.01560869670485
2,21,0.826395447135911
2,22,0.640535260994786
2,23,0.471032394734035
3,0,0.466807958277833
3,1,0.339645908750051
3,2,0.298402839686311
3,3,0.380638588052199
3,4,0.578728511521895
3,5,0.83280996079899
3,6,1.0822451695084
3,7,1.27834182132982
3,8,1.37724254590754
3,9,1.37602507288295
3,10,1.33521007425854
3,11,1.31380638619527
3,12,1.31547487164697
3,13,1.31755511641049
3,14,1.30901829393531
3,15,1.3035678552317
3,16,1.31515584957918
3,17,1.32442132033038
3,18,1.29052568863093
3,19,1.18685329384021
3,20,1.02873116225296
3,21,0.839093986456616
3,22,0.642889766237627
3,23,0.466807958277833
4,0,0.470848408415069
4,1,0.334692349691792
4,2,0.284239390844756
4,3,0.369759236734347
4,4,0.584004378149526
4,5,0.853231361326812
4,6,1.10454448332175
4,7,1.29051882876181
4,8,1.37327922555675
4,9,1.35665803240886
4,10,1.30912050074156
4,11,1.29608319146881
4,12,1.3145965454907
4,13,1.32921793438894
4,14,1.32197618240234
4,15,1.31195874810235
4,16,1.3195986928895
4,17,1.32672550250895
4,18,1.29027916985988
4,19,1.18276027118492
4,20,1.02262350969907
4,21,0.836306586668444
4,22,0.646129060967986
4,23,0.470848408415069
5,0,0.466584321355511
5,1,0.342332995226038
5,2,0.30527452565859
5,3,0.397097587589793
5,4,0.607484713273109
5,5,0.865993868150556
5,6,1.10390345719258
5,7,1.28085999846639
5,8,1.36692017258418
5,9,1.36504009155016
5,10,1.32915463853036
5,11,1.31131420442122
5,12,1.31377666070446
5,13,1.31512585961736
5,14,1.30527143402983
5,15,1.29817980403171
5,16,1.30797117621507
5,17,1.31533934319704
5,18,1.27942767225178
5,19,1.17396312268129
5,20,1.01565632885234
5,21,0.828888996200946
5,22,0.637854706864169
5,23,0.466584321355511
6,0,0.453854917831241
6,1,0.35632036041442
6,2,0.342357374605916
6,3,0.449357142235255
6,4,0.665294093114802
6,5,0.921011698001537
6,6,1.14953233494263
6,7,1.3138788262383
6,8,1.38804803044799
6,9,1.37872102422595
6,10,1.34322319166659
6,11,1.33552645738874
6,12,1.3483726339827
6,13,1.34543345630269
6,14,1.31112502193049
6,15,1.27374139993838
6,16,1.2630155755279
6,17,1.26117962018358
6,18,1.21983814196827
6,19,1.10829920046891
6,20,0.948264151674494
6,21,0.770448460716438
6,22,0.599301968361533
6,23,0.453854917831242
7,0,0.493099617622775
7,1,0.301020116934275
7,2,0.201528171448407
7,3,0.263503853707515
7,4,0.481002299423126
7,5,0.761573153194792
7,6,1.01627502841628
7,7,1.20276575959931
7,8,1.29547039986442
7,9,1.30286706483219
7,10,1.28619090625046
7,11,1.30279853256927
7,12,1.34320306303845
7,13,1.36618894868127
7,14,1.3542356435007
7,15,1.33992262923672
7,16,1.35753524138648
7,17,1.38785324272456
7,18,1.37715398065213
7,19,1.28837920170725
7,20,1.13406083351672
7,21,0.935606495372819
7,22,0.714666198697298
7,23,0.493099617622775
