wday,hour,N
1,0,0.782275585287898
1,1,0.623248085933054
1,2,0.524658730328372
1,3,0.476705570658884
1,4,0.483829361490663
1,5,0.566936918256895
1,6,0.735538252972238
1,7,0.930237718607488
1,8,1.06847473774453
1,9,1.1150471081654
1,10,1.10819538801566
1,11,1.0889351574956
1,12,1.07014748642343
1,13,1.05138147608179
1,14,1.04584030487505
1,15,1.09553298813038
1,16,1.23866042612585
1,17,1.4269883689184
1,18,1.55654954629384
1,19,1.55391368141415
1,20,1.43616379693511
1,21,1.2371487458008
1,22,1.00131497875662
1,23,0.782275585287898
2,0,0.789465848981863
2,1,0.626676943451172
2,2,0.526306817272639
2,3,0.478922216711961
2,4,0.488990480463983
2,5,0.577049493030364
2,6,0.751481711129673
2,7,0.947642179179464
2,8,1.07641085325702
2,9,1.1033893110818
2,10,1.07903715264081
2,11,1.0558076891808
2,12,1.0440163856085
2,13,1.03399152162455
2,14,1.0333416665131
2,15,1.08617162635286
2,16,1.23354447840103
2,17,1.42774022799265
2,18,1.56379088447044
2,19,1.56705342723116
2,20,1.45286087042469
2,21,1.25334269782624
2,22,1.01349966819136
2,23,0.789465848981863
3,0,0.789992224434696
3,1,0.62833988841394
3,2,0.529228963688724
3,3,0.483056442524238
3,4,0.494086430754384
3,5,0.582614874938554
3,6,0.75681408201673
3,7,0.952018888268073
3,8,1.07916442246667
3,9,1.10446842738245
3,10,1.07987610344027
3,11,1.05890551799719
3,12,1.04900071629174
3,13,1.03576508439801
3,14,1.02589938273503
3,15,1.07062926771301
3,16,1.21838883923102
3,17,1.41998507478924
3,18,1.56327349944906
3,19,1.56871255150672
3,20,1.4535627692988
3,21,1.25299855240368
3,22,1.01322577142307
3,23,0.789992224434696
4,0,0.797785665270764
4,1,0.632386308497809
4,2,0.5270067085489
4,3,0.477643655561128
4,4,0.490175112400766
4,5,0.581902716124852
4,6,0.758259365502421
4,7,0.954703222941778
4,8,1.08327291380482
4,9,1.11038816359396
4,10,1.08679726021664
4,11,1.0650372776023
4,12,1.05424169422582
4,13,1.04295773758294
4,14,1.03774555384596
4,15,1.08320564271963
4,16,1.22125080829133
4,17,1.40686614982719
4,18,1.53898420782124
4,19,1.54531492573459
4,20,1.43903530890885
4,21,1.24930231433123
4,22,1.01795162137431
4,23,0.797785665270764
5,0,0.815356624460949
5,1,0.650218689183319
5,2,0.534267052284833
5,3,0.478429588317699
5,4,0.493016466059437
5,5,0.587623721490865
5,6,0.761241618045243
5,7,0.95373626233592
5,8,1.08522139101652
5,9,1.12389733457138
5,10,1.11253063081358
5,11,1.09572859053456
5,12,1.08177700692507
5,13,1.06175301742228
5,14,1.04482412140978
5,15,1.07831695459367
5,16,1.20661104236678
5,17,1.38396863591902
5,18,1.50654471221158
5,19,1.50229631094562
5,20,1.39344663969109
5,21,1.21891480140384
5,22,1.014922163536
5,23,0.815356624460949
6,0,0.803035580159565
6,1,0.65714613273141
6,2,0.554968792264501
6,3,0.493078145970018
6,4,0.477738726974367
6,5,0.526417664299775
6,6,0.649909818720943
6,7,0.818182129197966
6,8,0.987185125826046
6,9,1.12348542800012
6,10,1.21012668193417
6,11,1.23493277840278
6,12,1.21243444998056
6,13,1.1699130967028
6,14,1.13715050733368
6,15,1.14900730371135
6,16,1.23534424529643
6,17,1.36046432576134
6,18,1.44639796364558
6,19,1.43713725840527
6,20,1.34187492994397
6,21,1.18201563671888
6,22,0.989017697858918
6,23,0.803035580159565
7,0,0.764685830112353
7,1,0.624479499665952
7,2,0.535803546108051
7,3,0.480610970700267
7,4,0.458495158746993
7,5,0.489443633518617
7,6,0.588984883032914
7,7,0.74133903147612
7,8,0.919751843692239
7,9,1.0920464469263
7,10,1.21765781835227
7,11,1.26217006954485
7,12,1.24573225400078
7,13,1.21445640564074
7,14,1.20527402015698
7,15,1.23552898302651
7,16,1.31644446596998
7,17,1.41676257063374
7,18,1.47783379830902
7,19,1.45603132638913
7,20,1.35225509739008
7,21,1.17666742834605
7,22,0.962859088147714
7,23,0.764685830112353
