wday,hour,N
1,0,0.709538371268709
1,1,0.713103497833259
1,2,0.713297746618444
1,3,0.708903477546674
1,4,0.710204905381536
1,5,0.740783597933304
1,6,0.81970287174259
1,7,0.936598417713288
1,8,1.07095426327661
1,9,1.20696456831464
1,10,1.33614011871324
1,11,1.44934165118849
1,12,1.52726901433601
1,13,1.54585261155823
1,14,1.49333356253384
1,15,1.3838311072199
1,16,1.23534140786511
1,17,1.07304960979587
1,18,0.92677126727813
1,19,0.818785155181277
1,20,0.749468100552815
1,21,0.714988826616068
1,22,0.706237478263269
1,23,0.709538371268709
2,0,0.710790589932162
2,1,0.713432846184345
2,2,0.712664519591715
2,3,0.708210748943896
2,4,0.710369805553561
2,5,0.741663613171167
2,6,0.820277558042524
2,7,0.936320893410428
2,8,1.07021101041792
2,9,1.20647369014849
2,10,1.33601790762428
2,11,1.44913937476478
2,12,1.52690273885944
2,13,1.54604222027472
2,14,1.49489286366219
2,15,1.38617346569014
2,16,1.23647380051713
2,17,1.07169096443767
2,18,0.923718351620857
2,19,0.816157055206231
2,20,0.748467437390884
2,21,0.715535779520358
2,22,0.707582175102959
2,23,0.710790589932162
3,0,0.709612945949741
3,1,0.713125244449003
3,2,0.713633689100182
3,3,0.709846196545327
3,4,0.711846122817203
3,5,0.742868027448203
3,6,0.821685444544237
3,7,0.938010056744743
3,8,1.07152817944597
3,9,1.20658461065528
3,10,1.33476051924397
3,11,1.44702023316779
3,12,1.52448574875175
3,13,1.54365789795165
3,14,1.49275975547657
3,15,1.38465652683866
3,16,1.23607783578201
3,17,1.07260616347839
3,18,0.925527280728987
3,19,0.818023783870966
3,20,0.749695618675909
3,21,0.715681685408331
3,22,0.70669348697539
3,23,0.709612945949741
4,0,0.70976884173224
4,1,0.713492620064427
4,2,0.713598065874585
4,3,0.708810951124763
4,4,0.709637307773037
4,5,0.74020238644368
4,6,0.819950731090887
4,7,0.937889881166264
4,8,1.07253585467441
4,9,1.20777724041602
4,10,1.33584657871696
4,11,1.44834175516481
4,12,1.52612020123254
4,13,1.54499318612202
4,14,1.49302608769512
4,15,1.38404726735707
4,16,1.23577035342326
4,17,1.07336349994549
4,18,0.926796584811266
4,19,0.818502625410608
4,20,0.749004244744358
4,21,0.714604551882442
4,22,0.706150341401498
4,23,0.70976884173224
5,0,0.708792768847249
5,1,0.712224970673417
5,2,0.713000280936458
5,3,0.710253652993376
5,4,0.713680985690925
5,5,0.745187740822276
5,6,0.82255881807426
5,7,0.936715910087157
5,8,1.06929831417855
5,9,1.20532216324131
5,10,1.33505221863317
5,11,1.44813688989766
5,12,1.52574407780674
5,13,1.54506734179848
5,14,1.49460552780489
5,15,1.3866168693483
5,16,1.23719613711608
5,17,1.07225899608517
5,18,0.924048587603739
5,19,0.816363531094524
5,20,0.748407965838702
5,21,0.71476256328843
5,22,0.705910919291881
5,23,0.708792768847249
6,0,0.853250432826369
6,1,0.853895865846204
6,2,0.85326668732983
6,3,0.852709236984601
6,4,0.857000761020795
6,5,0.874884994155934
6,6,0.913425831506163
6,7,0.969050915712008
6,8,1.03449982460157
6,9,1.10308228275134
6,10,1.16899749654035
6,11,1.22606250299798
6,12,1.26445161326488
6,13,1.27264051305405
6,14,1.24534391451701
6,15,1.19038218786969
6,16,1.11740845670075
6,17,1.03819761822315
6,18,0.965890451605072
6,19,0.910658313759708
6,20,0.874065373772008
6,21,0.855899979665608
6,22,0.851684312468558
6,23,0.853250432826369
7,0,0.927580490296515
7,1,0.926117189036628
7,2,0.923917828032329
7,3,0.923592806535442
7,4,0.927784482667749
7,5,0.939172162363594
7,6,0.959732786833678
7,7,0.987501556043348
7,8,1.01915019631386
7,9,1.05175999615202
7,10,1.08304919798246
7,11,1.11049142642805
7,12,1.12918248810081
7,13,1.13310487175545
7,14,1.11957861160011
7,15,1.0929372109417
7,16,1.05839222535547
7,17,1.02109629367954
7,18,0.986163239122149
7,19,0.957904638963842
7,20,0.938326227546154
7,21,0.928815901403883
7,22,0.927067682548709
7,23,0.927580490296515
