wday,hour,N
1,0,0.765495450293179
1,1,0.69205192256757
1,2,0.665184904212574
1,3,0.664717728562579
1,4,0.689780414510188
1,5,0.761823538594893
1,6,0.893402312479776
1,7,1.0403387284968
1,8,1.13934086717515
1,9,1.16364002548799
1,10,1.14310917926138
1,11,1.11087974981593
1,12,1.08726561085222
1,13,1.08641787406633
1,14,1.1142615545102
1,15,1.15955049950847
1,16,1.20879829993013
1,17,1.2476106185469
1,18,1.26100933705349
1,19,1.23597764429444
1,20,1.16516852331831
1,21,1.04379702484972
1,22,0.894882741318628
1,23,0.765495450293179
2,0,0.777961944929254
2,1,0.708741062682324
2,2,0.686088538426503
2,3,0.695462921516937
2,4,0.733478128175142
2,5,0.809644851154399
2,6,0.927363372031896
2,7,1.05182195372816
2,8,1.13538028256756
2,9,1.15772080439455
2,10,1.14089691547861
2,11,1.10986512909722
2,12,1.08369163864982
2,13,1.07857689118479
2,14,1.10147849173619
2,15,1.14000810300707
2,16,1.1796234422083
2,17,1.20906108553579
2,18,1.21917258558966
2,19,1.20042992815389
2,20,1.14211185710586
2,21,1.03490302568878
2,22,0.898555102028053
2,23,0.777961944929254
3,0,0.788495602934291
3,1,0.726424068194795
3,2,0.705194730228339
3,3,0.713161221733265
3,4,0.748987629668789
3,5,0.823258009753219
3,6,0.939731576321773
3,7,1.06026226021565
3,8,1.13270400741493
3,9,1.13898421545116
3,10,1.11386680303096
3,11,1.09328434309494
3,12,1.08635490170157
3,13,1.08942405491361
3,14,1.10112997649167
3,15,1.12508355165436
3,16,1.16408018012959
3,17,1.20415621735682
3,18,1.22054215242724
3,19,1.19468287798103
3,20,1.1264174160306
3,21,1.01979711853494
3,22,0.895481481802159
3,23,0.788495602934291
4,0,0.812663394282857
4,1,0.754286081128802
4,2,0.730111702224098
4,3,0.722604945736003
4,4,0.734346825872104
4,5,0.7911749439778
4,6,0.909222197307659
4,7,1.04306767804672
4,8,1.12659033938884
4,9,1.13556789353858
4,10,1.11075443052759
4,11,1.09410699993464
4,12,1.09274716816914
4,13,1.09721829907243
4,14,1.10346150585667
4,15,1.11895150693146
4,16,1.15099887617319
4,17,1.18812318456373
4,18,1.20672613662905
4,19,1.18834715620041
4,20,1.12988555659817
4,21,1.03203572812052
4,22,0.91434405543669
4,23,0.812663394282857
5,0,0.799396866881125
5,1,0.750251875367844
5,2,0.732409505166636
5,3,0.737888588149456
5,4,0.766827760995208
5,5,0.828753008134879
5,6,0.928524274476237
5,7,1.04196566284566
5,8,1.13500480814417
5,9,1.1854192756639
5,10,1.18936973154854
5,11,1.14813998004458
5,12,1.09114167542846
5,13,1.06106837988872
5,14,1.07934669045328
5,15,1.1226331996098
5,16,1.16297281505268
5,17,1.1843336751475
5,18,1.17837936014881
5,19,1.13992452142633
5,20,1.07247909781587
5,21,0.981646924682291
5,22,0.882725456046897
5,23,0.799396866881125
6,0,0.891788474311459
6,1,0.829970163635672
6,2,0.791362973073841
6,3,0.774181157236559
6,4,0.780056679174522
6,5,0.814572732097933
6,6,0.879789133225887
6,7,0.956818321046834
6,8,1.0197035397505
6,9,1.05526286969207
6,10,1.07012672007101
6,11,1.07225970399568
6,12,1.06668735417926
6,13,1.05705999903339
6,14,1.05129979518979
6,15,1.06630501376421
6,16,1.11710879081891
6,17,1.18392288441999
6,18,1.22450756187221
6,19,1.21010740692408
6,20,1.15183175202658
6,21,1.06786994117755
6,22,0.97561855897061
6,23,0.891788474311459
7,0,0.883285580890894
7,1,0.841906739155259
7,2,0.83281535223297
7,3,0.821052863366445
7,4,0.799490700809343
7,5,0.793174680432648
7,6,0.823434692728005
7,7,0.880778540306236
7,8,0.945060116713481
7,9,0.999794809894512
7,10,1.03418999923806
7,11,1.04073437979786
7,12,1.034087322276
7,13,1.03941338541354
7,14,1.07099948547403
7,15,1.12018560760942
7,16,1.17528450689876
7,17,1.22300697011649
7,18,1.24903217466747
7,19,1.24093296711621
7,20,1.19177889392833
7,21,1.0971092293583
7,22,0.97916542068486
7,23,0.883285580890894
