wday,hour,N
1,0,0.983471480971087
1,1,0.983054466608191
1,2,0.984302639941964
1,3,0.987231172891863
1,4,0.991567175956811
1,5,0.996704730358204
1,6,1.00197749483623
1,7,1.00648482829069
1,8,1.00925792229492
1,9,1.01012502278258
1,10,1.01014993670493
1,11,1.01039001845183
1,12,1.01100729698059
1,13,1.01173665132276
1,14,1.01227881810685
1,15,1.01226845135744
1,16,1.01133407598057
1,17,1.00912969720175
1,18,1.00532612910313
1,19,0.999962920823194
1,20,0.994139502000554
1,21,0.989110553040731
1,22,0.985517533022046
1,23,0.983471480971087
2,0,0.985118000524307
2,1,0.984096658197561
2,2,0.983812850726316
2,3,0.985337085699954
2,4,0.988907729094194
2,5,0.993801103720894
2,6,0.999235623304794
2,7,1.00440553183365
2,8,1.00850281610105
2,9,1.01108817062737
2,10,1.01229379998563
2,11,1.01235469616322
2,12,1.01193172638493
2,13,1.01188555702712
2,14,1.01254406524348
2,15,1.01311524763002
2,16,1.01268453587364
2,17,1.01055181909296
2,18,1.00615601391949
2,19,0.999603550945545
2,20,0.992914335487592
2,21,0.988342078376671
2,22,0.986199003515313
2,23,0.985118000524307
3,0,0.984371916296049
3,1,0.983850725211585
3,2,0.985010957988244
3,3,0.987127761861622
3,4,0.990066513967547
3,5,0.994374959239953
3,6,1.00033988366767
3,7,1.00657512795194
3,8,1.0111294914504
3,9,1.01304407036797
3,10,1.01289892610679
3,11,1.01144025685539
3,12,1.0096823141831
3,13,1.00876290288843
3,14,1.00912662607474
3,15,1.00976279366248
3,16,1.00953563448326
3,17,1.00798555921706
3,18,1.0050893661277
3,19,1.00097178938991
3,20,0.996162187296221
3,21,0.991270179833798
3,22,0.987048139582109
3,23,0.984371916296049
4,0,0.983892857900529
4,1,0.982832613668974
4,2,0.983129633065646
4,3,0.984706010456455
4,4,0.987719246903127
4,5,0.9925989983491
4,6,0.999435118174251
4,7,1.0063311938338
4,8,1.01072925188207
4,9,1.01180777490266
4,10,1.01143782691877
4,11,1.01150111344116
4,12,1.01212439764992
4,13,1.01259928223326
4,14,1.01249195553556
4,15,1.01195521934706
4,16,1.01116042861984
4,17,1.00963593753926
4,18,1.00649580145892
4,19,1.00138537282155
4,20,0.995498171471848
4,21,0.99026344756256
4,22,0.986375488363164
4,23,0.983892857900529
5,0,0.985082718059384
5,1,0.98368245165165
5,2,0.982620275801011
5,3,0.983290658188666
5,4,0.986448686320749
5,5,0.992110257021861
5,6,0.999942975100146
5,7,1.00789591503939
5,8,1.01334582922391
5,9,1.0151757474395
5,10,1.01460435919018
5,11,1.01302289572151
5,12,1.01159724102358
5,13,1.01138056914247
5,14,1.0125732333784
5,15,1.0135886117169
5,16,1.01272010948442
5,17,1.00948221368311
5,18,1.00417759470825
5,19,0.99750926142373
5,20,0.991294030443437
5,21,0.987440478539195
5,22,0.985931169639159
5,23,0.985082718059384
6,0,0.983196619282187
6,1,0.982222105099421
6,2,0.983041248784012
6,3,0.985592873408023
6,4,0.989680318274445
6,5,0.994950289209816
6,6,1.00093763738238
6,7,1.00660013171875
6,8,1.0107064749085
6,9,1.01271834399575
6,10,1.01317183848275
6,11,1.01270136381743
6,12,1.01198804251194
6,13,1.01173200947951
6,14,1.012103273625
6,15,1.01215988312713
6,16,1.01089170110158
6,17,1.00812362080456
6,18,1.00421928769325
6,19,0.999574311813066
6,20,0.994650421913992
6,21,0.98992379180154
6,22,0.985917792482784
6,23,0.983196619282187
7,0,0.984844726851832
7,1,0.982804550469094
7,2,0.981896223129211
7,3,0.983742402464735
7,4,0.988594196545716
7,5,0.995117057997446
7,6,1.00190514899063
7,7,1.00764796599554
7,8,1.01108475125014
7,9,1.01195098261428
7,10,1.01152625158463
7,11,1.01110655442628
7,12,1.01106329818234
7,13,1.01132635487004
7,14,1.01172154510443
7,15,1.01186218811042
7,16,1.01132175502498
7,17,1.00952154123426
7,18,1.0057852749804
7,19,1.00004336494553
7,20,0.993976046574216
7,21,0.989484763134632
7,22,0.986828328667391
7,23,0.984844726851832
