wday,hour,N
1,0,0.596979791424602
1,1,0.601401210104799
1,2,0.600536618334407
1,3,0.593411398280413
1,4,0.594779169983561
1,5,0.637577049511749
1,6,0.748361605668568
1,7,0.912317897720196
1,8,1.10036043386928
1,9,1.29010958990105
1,10,1.46960221884586
1,11,1.62611890152375
1,12,1.7338180574423
1,13,1.76069745651047
1,14,1.69045776663578
1,15,1.53980941048994
1,16,1.33084250930424
1,17,1.09986669735519
1,18,0.892353440031254
1,19,0.74192702175661
1,20,0.647693427554613
1,21,0.602235048235005
1,22,0.591763488091761
1,23,0.596979791424602
2,0,0.596686845206297
2,1,0.600768632317957
2,2,0.599896654761177
2,3,0.593215351055853
2,4,0.595278927111831
2,5,0.638456899515433
2,6,0.748848577979754
2,7,0.911913959452948
2,8,1.09909426164522
2,9,1.28837050698446
2,10,1.46788240157568
2,11,1.62494336277748
2,12,1.73336471022123
2,13,1.76061808842481
2,14,1.69022694237281
2,15,1.539458459354
2,16,1.33098718617298
2,17,1.10095433469959
2,18,0.894177454764316
2,19,0.743833182080009
2,20,0.649196466503312
2,21,0.60312406399678
2,22,0.592015885819773
2,23,0.596686845206297
3,0,0.596126471327593
3,1,0.600412580729009
3,2,0.599272195547375
3,3,0.592048373114242
3,4,0.593679259357501
3,5,0.637132561673457
3,6,0.748903267892778
3,7,0.913647069431083
3,8,1.10159722034398
3,9,1.29033689869444
3,10,1.46886430032725
3,11,1.62534596893029
3,12,1.73354548346732
3,13,1.76045939300161
3,14,1.68949771916806
3,15,1.53857819953922
3,16,1.33101629510286
3,17,1.10236381218153
3,18,0.896055803232099
3,19,0.74453336451551
3,20,0.648234938796931
3,21,0.601450892152857
3,22,0.590771460145404
3,23,0.596126471327593
4,0,0.59508482221865
4,1,0.599651689619105
4,2,0.598843762857679
4,3,0.591440309757554
4,4,0.592432070089296
4,5,0.63555194902787
4,6,0.747888545437699
4,7,0.9135088920674
4,8,1.10166053419104
4,9,1.28977805814345
4,10,1.46800923909653
4,11,1.6255668416064
4,12,1.735552970947
4,13,1.76349292796427
4,14,1.6920637607592
4,15,1.54000891065606
4,16,1.3316025108138
4,17,1.10261921506115
4,18,0.896242227617062
4,19,0.744682611221572
4,20,0.648234284467439
4,21,0.601072522290718
4,22,0.589926521870409
4,23,0.59508482221865
5,0,0.594726610151183
5,1,0.599318569625905
5,2,0.59914247473317
5,3,0.592936954324388
5,4,0.595175954287547
5,5,0.638525100794042
5,6,0.7493373495503
5,7,0.912971414081341
5,8,1.100644625859
5,9,1.29016117275142
5,10,1.46955704842689
5,11,1.62608611474111
5,12,1.73380086271265
5,13,1.76055653364208
5,14,1.6901014521201
5,15,1.53959300343729
5,16,1.33154582151859
5,17,1.10184857129949
5,18,0.895006647608244
5,19,0.744038750107739
5,20,0.648508369537161
5,21,0.601633870904579
5,22,0.590056117634606
5,23,0.594726610151183
6,0,0.795548928915914
6,1,0.796548569986684
6,2,0.796077840334641
6,3,0.794210964760366
6,4,0.797753002088313
6,5,0.82129056268831
6,6,0.876582463666404
6,7,0.957138492852989
6,8,1.05016295917067
6,9,1.14517497651051
6,10,1.23529147941247
6,11,1.31325546966386
6,12,1.36638241716468
6,13,1.37944591886648
6,14,1.34473237224086
6,15,1.27031592600794
6,16,1.16687722795401
6,17,1.05228746112403
6,18,0.949050877612211
6,19,0.873787034527273
6,20,0.825965723907827
6,21,0.801831063879461
6,22,0.794739337748186
6,23,0.795548928915914
7,0,0.897128298901164
7,1,0.897356167036245
7,2,0.89691209189448
7,3,0.896692263396044
7,4,0.899895498138904
7,5,0.91238269116768
7,6,0.938954937859586
7,7,0.977653229831222
7,8,1.02415926389232
7,9,1.07360125110338
7,10,1.12025315691238
7,11,1.15833580885575
7,12,1.18223161279499
7,13,1.18641901569405
7,14,1.16846025901646
7,15,1.1323832990759
7,16,1.08325830534936
7,17,1.02880670039222
7,18,0.978458277371641
7,19,0.939564553256283
7,20,0.913416867295596
7,21,0.90005501247209
7,22,0.896493139391085
7,23,0.897128298901164
