wday,hour,N
1,0,0.468183513535387
1,1,0.198731054023224
1,2,0.0216818790446281
1,3,0.102922865123788
1,4,0.452479715599788
1,5,0.900186236528155
1,6,1.28035690585949
1,7,1.50854517532551
1,8,1.52997171443408
1,9,1.37538420893391
1,10,1.20805326846978
1,11,1.17985701779531
1,12,1.26166412870329
1,13,1.33834994664779
1,14,1.34703953812017
1,15,1.33554027579293
1,16,1.35897594257779
1,17,1.39550748887231
1,18,1.3736720228426
1,19,1.2506588031487
1,20,1.06845564562041
1,21,0.881431277635137
1,22,0.694167861830424
1,23,0.468183513535387
2,0,0.46056148949733
2,1,0.202910526001106
2,2,0.0363796116940283
2,3,0.118119303986947
2,4,0.457105449873009
2,5,0.891008357871725
2,6,1.26131829942848
2,7,1.48429747844577
2,8,1.50364486408915
2,9,1.34965071243928
2,10,1.18678132176645
2,11,1.16737435498195
2,12,1.25578240448851
2,13,1.32710364536642
2,14,1.31928277102595
2,15,1.30321120043146
2,16,1.35664679457244
2,17,1.44256317676687
2,18,1.44992540637226
2,19,1.31206409635374
2,20,1.09347793813995
2,21,0.878282567705242
2,22,0.681946739204599
2,23,0.46056148949733
3,0,0.478879898927222
3,1,0.243649306765115
3,2,0.0970343030038917
3,3,0.170853101022534
3,4,0.471187433616713
3,5,0.858754447065385
3,6,1.19885260591095
3,7,1.42772673734089
3,8,1.50710218262883
3,9,1.44771534276933
3,10,1.33623137847549
3,11,1.25736643034979
3,12,1.22848691974154
3,13,1.2348573257601
3,14,1.2640237476461
3,15,1.30873161565766
3,16,1.36062796161201
3,17,1.39098018562891
3,18,1.35792697284418
3,19,1.23874463286361
3,20,1.06638931288771
3,21,0.881913512969734
3,22,0.693084745585082
3,23,0.478879898927222
4,0,0.489016445697728
4,1,0.224762667242696
4,2,0.0470051890623882
4,3,0.0982045354141927
4,4,0.393828992202851
4,5,0.802530470854308
4,6,1.18983961445982
4,7,1.44958456840013
4,8,1.48729081734892
4,9,1.3200867029244
4,10,1.13806968571429
4,11,1.11974451371886
4,12,1.23338526608393
4,13,1.34736336176025
4,14,1.38634705599683
4,15,1.3943536628781
4,16,1.42431723356246
4,17,1.45812644515468
4,18,1.43186072122743
4,19,1.30720133366277
4,20,1.12167087089357
4,21,0.924068790053878
4,22,0.722324609987792
4,23,0.489016445697728
5,0,0.512206357531929
5,1,0.242766405105662
5,2,0.0633225197591088
5,3,0.126960791402591
5,4,0.441747397913103
5,5,0.848090257197114
5,6,1.19160093020356
5,7,1.39926870363143
5,8,1.42757079791129
5,9,1.30486027827768
5,10,1.17085374306755
5,11,1.1560264829918
5,12,1.24138349010342
5,13,1.33686337650873
5,14,1.38636609233969
5,15,1.40592896045425
5,16,1.41799902900739
5,17,1.41394214554646
5,18,1.36508430379722
5,19,1.2549008235673
5,20,1.10277598121768
5,21,0.933067199493644
5,22,0.744207575439474
5,23,0.512206357531929
6,0,0.485143971215408
6,1,0.205163203806021
6,2,0.00487187613631878
6,3,0.0977377593691452
6,4,0.496587377814046
6,5,0.982284886930077
6,6,1.3484819396704
6,7,1.53268873537586
6,8,1.52356889842088
6,9,1.37834831834592
6,10,1.26044656646764
6,11,1.31570520978406
6,12,1.47781986390538
6,13,1.57979527830733
6,14,1.53124688256918
6,15,1.40374904407864
6,16,1.28347133064885
6,17,1.18917798506663
6,18,1.09615572291157
6,19,0.988706615635498
6,20,0.87915031848317
6,21,0.782492018207286
6,22,0.672062225635285
6,23,0.485143971215408
7,0,0.483188395047507
7,1,0.229249662515967
7,2,0.0769640996090444
7,3,0.167113251303926
7,4,0.488489358339263
7,5,0.854169051607603
7,6,1.09455032097934
7,7,1.19172752800892
7,8,1.18091314832919
7,9,1.12027963474855
7,10,1.10350533510722
7,11,1.21007503330995
7,12,1.38249654208893
7,13,1.49834705149535
7,14,1.49811039555746
7,15,1.45502907956061
7,16,1.45089917171166
7,17,1.47262055572763
7,18,1.44589769320495
7,19,1.32322567731926
7,20,1.13709816971026
7,21,0.932428306244341
7,22,0.720434143425555
7,23,0.483188395047507
