wday,hour,N
1,0,1.00004937615291
1,1,1.00004028047123
1,2,1.00002771936468
1,3,1.00001274247235
1,4,0.999996440853083
1,5,0.999979953451285
1,6,0.999964430271124
1,7,0.999951068277793
1,8,0.999941077412437
1,9,0.999935466646657
1,10,0.99993493342385
1,11,0.999939996822298
1,12,0.999949972222042
1,13,0.999963600554368
1,14,0.999979548017397
1,15,0.999996331507067
1,16,1.00001248124039
1,17,1.0000269008396
1,18,1.00003873506082
1,19,1.00004735907944
1,20,1.00005279932378
1,21,1.00005517734639
1,22,1.00005423303612
1,23,1.00004937615291
2,0,0.999953947266098
2,1,1.00057114962607
2,2,1.00116013453149
2,3,1.00167499081807
2,4,1.0020663713862
2,5,1.00228095683401
2,6,1.00227613937577
2,7,1.00207048843086
2,8,1.00170386727597
2,9,1.00121771876116
2,10,1.0006559009776
2,11,1.0000632811151
2,12,0.999491090326403
2,13,0.998993473344656
2,14,0.998604911005738
2,15,0.998318609805352
2,16,0.998123801725303
2,17,0.998023932157014
2,18,0.998031616502595
2,19,0.998159691721076
2,20,0.998421192458086
2,21,0.998827308599464
2,22,0.999355478689831
2,23,0.999953947266098
3,0,1.00000128053609
3,1,1.00000152161497
3,2,1.00000158525241
3,3,1.00000149090033
3,4,1.00000127267721
3,5,1.00000098165772
3,6,1.00000066549123
3,7,1.00000034737497
3,8,1.00000004193569
3,9,0.999999759602537
3,10,0.999999504311613
3,11,0.999999278191848
3,12,0.999999073455992
3,13,0.999998877670735
3,14,0.999998691800283
3,15,0.999998544964478
3,16,0.999998471051244
3,17,0.999998518163462
3,18,0.999998743540819
3,19,0.999999170581653
3,20,0.999999724899803
3,21,1.0000003151235
3,22,1.00000085866533
3,23,1.00000128053609
4,0,1.00000236509585
4,1,1.00000186852135
4,2,1.00000130931007
4,3,1.00000074691013
4,4,1.00000020612207
4,5,0.999999671690246
4,6,0.999999129093752
4,7,0.999998580408698
4,8,0.9999980340221
4,9,0.999997530789542
4,10,0.999997161883911
4,11,0.999997015421155
4,12,0.999997120865369
4,13,0.999997479595268
4,14,0.999998073991151
4,15,0.999998846954894
4,16,0.99999973495948
4,17,1.00000065753026
4,18,1.00000152325924
4,19,1.00000224117838
4,20,1.00000272210932
4,21,1.0000028824404
4,22,1.00000273275154
4,23,1.00000236509585
5,0,0.999994700946326
5,1,0.999996536988562
5,2,0.999998752533815
5,3,1.00000109914641
5,4,1.00000337231367
5,5,1.00000541830257
5,6,1.00000709078796
5,7,1.00000826906909
5,8,1.00000884223047
5,9,1.00000875199615
5,10,1.0000080216675
5,11,1.00000668764937
5,12,1.0000048346802
5,13,1.00000257090321
5,14,1.00000006237739
5,15,0.99999759631339
5,16,0.99999546382252
5,17,0.99999382402039
5,18,0.999992750818651
5,19,0.999992271451502
5,20,0.999992282967806
5,21,0.999992666345786
5,22,0.999993431720934
5,23,0.999994700946326
6,0,1.00034795963055
6,1,1.00015132800261
6,2,0.99994354329601
6,3,0.999736914600099
6,4,0.999541855102333
6,5,0.999366586128343
6,6,0.999220658354796
6,7,0.999121744323339
6,8,0.999090179146057
6,9,0.999136643948648
6,10,0.99925685178389
6,11,0.999443920252995
6,12,0.999680580214932
6,13,0.999944596457041
6,14,1.00021160496856
6,15,1.0004528416216
6,16,1.00064047636056
6,17,1.00076397858505
6,18,1.00082398013704
6,19,1.00082279635184
6,20,1.00076705006846
6,21,1.00066415032209
6,22,1.00052180071262
6,23,1.00034795963055
7,0,1.00066815361678
7,1,1.00074436567892
7,2,1.00076658611733
7,3,1.00073113938189
7,4,1.00063949427114
7,5,1.00049906699135
7,6,1.00031830951924
7,7,1.00010961586704
7,8,0.999886787874534
7,9,0.999665872916498
7,10,0.999466396814219
7,11,0.999307378405249
7,12,0.99920143389663
7,13,0.999158088738866
7,14,0.999180757310694
7,15,0.999260078518605
7,16,0.999385304420776
7,17,0.999548265624014
7,18,0.99974245301776
7,19,0.999958101276655
7,20,1.00017599879888
7,21,1.00037559478783
7,22,1.00054260253832
7,23,1.00066815361678
