wday,hour,N
1,0,1.0000016190823
1,1,1.00000199560531
1,2,1.00000220616122
1,3,1.00000224057556
1,4,1.00000210280439
1,5,1.00000181314023
1,6,1.00000139592246
1,7,1.00000089304324
1,8,1.0000003522785
1,9,0.999999808307443
1,10,0.99999927549993
1,11,0.999998768007533
1,12,0.999998312122906
1,13,0.999997939937021
1,14,0.999997684969401
1,15,0.999997583660462
1,16,0.999997670483987
1,17,0.999997952776079
1,18,0.999998420347535
1,19,0.999999045662828
1,20,0.999999752128995
1,21,1.00000045555985
1,22,1.00000109284053
1,23,1.0000016190823
2,0,0.999712184044325
2,1,0.999497355341358
2,2,0.999417423851209
2,3,0.999516424114678
2,4,0.999762954077757
2,5,1.00003839905442
2,6,1.00022795598478
2,7,1.00026533502907
2,8,1.00010236472638
2,9,0.999766073545048
2,10,0.999400023597568
2,11,0.999149740841751
2,12,0.999096736805094
2,13,0.999291618294974
2,14,0.999723423944961
2,15,1.00025247830857
2,16,1.00072747242253
2,17,1.00105026859589
2,18,1.00115707060076
2,19,1.00102192069879
2,20,1.00072605919806
2,21,1.00036817822042
2,22,1.00001635465728
2,23,0.999712184044325
3,0,1.00000020121428
3,1,0.999999863150446
3,2,0.999999492579354
3,3,0.999999151375093
3,4,0.999998890642092
3,5,0.999998749033923
3,6,0.999998757632638
3,7,0.99999890903331
3,8,0.999999182120363
3,9,0.999999535912018
3,10,0.999999898654698
3,11,1.0000002016689
3,12,1.00000042171044
3,13,1.00000055728077
3,14,1.00000061981138
3,15,1.00000064756821
3,16,1.00000067928781
3,17,1.00000071989743
3,18,1.00000075251177
3,19,1.00000075975958
3,20,1.00000072391759
3,21,1.00000062741768
3,22,1.00000045660595
3,23,1.00000020121428
4,0,0.999396913295581
4,1,0.999303879870379
4,2,0.999276723672631
4,3,0.999312264133324
4,4,0.999404664220356
4,5,0.999545015751098
4,6,0.99972247246131
4,7,0.999916300446106
4,8,1.00010246497829
4,9,1.00026512126485
4,10,1.00040112426012
4,11,1.00050869345941
4,12,1.00058820920963
4,13,1.00064106425792
4,14,1.00066572684417
4,15,1.00065451921562
4,16,1.00059951343544
4,17,1.00049886964497
4,18,1.00035467896518
4,19,1.00017227249825
4,20,0.999966112866618
4,21,0.999752611550531
4,22,0.999553870402642
4,23,0.999396913295581
5,0,0.999998498521571
5,1,0.999998319551773
5,2,0.999998293242675
5,3,0.999998446818015
5,4,0.999998779130058
5,5,0.999999256230666
5,6,0.999999836493464
5,7,1.00000044555092
5,8,1.00000099796353
5,9,1.00000142689741
5,10,1.00000169437511
5,11,1.00000177188653
5,12,1.00000168639504
5,13,1.00000149127655
5,14,1.0000012333835
5,15,1.00000094554702
5,16,1.00000065699173
5,17,1.00000037554108
5,18,1.00000009520905
5,19,0.999999807470307
5,20,0.999999497157285
5,21,0.999999150291628
5,22,0.999998795553506
5,23,0.999998498521571
6,0,1.00038849402814
6,1,1.00049029250799
6,2,1.00055027944492
6,3,1.00055657516539
6,4,1.00050511916611
6,5,1.00040089072643
6,6,1.00025156809809
6,7,1.00007711444821
6,8,0.999901710824019
6,9,0.999746368752091
6,10,0.999627180355768
6,11,0.999557386386683
6,12,0.999530943604446
6,13,0.999532639951549
6,14,0.999551620654792
6,15,0.999586286918176
6,16,0.999636215359332
6,17,0.999701097934981
6,18,0.999780701615629
6,19,0.99987539367588
6,20,0.999987264601227
6,21,1.00011808160465
6,22,1.00025828014734
6,23,1.00038849402814
7,0,1.00000028410748
7,1,1.00000006461731
7,2,0.999999824904205
7,3,0.9999995925673
7,4,0.999999392906794
7,5,0.999999248565056
7,6,0.999999177708262
7,7,0.999999174283579
7,8,0.999999223890493
7,9,0.999999316434672
7,10,0.999999448509475
7,11,0.999999617049044
7,12,0.999999817125211
7,13,1.00000004286831
7,14,1.00000027973084
7,15,1.00000049497939
7,16,1.00000065554077
7,17,1.00000075101259
7,18,1.00000078562011
7,19,1.00000076515764
7,20,1.00000069923159
7,21,1.00000059764225
7,22,1.00000046144014
7,23,1.00000028410748
