wday,hour,N
1,0,0.999939737179899
1,1,0.999965258397353
1,2,0.999994227119994
1,3,1.00002249602626
1,4,1.00004688269821
1,5,1.00006532024784
1,6,1.0000762367528
1,7,1.00008048225661
1,8,1.00007974040157
1,9,1.00007519268917
1,10,1.00006724099233
1,11,1.00005622890532
1,12,1.0000425697994
1,13,1.00002671054611
1,14,1.00000913484844
1,15,0.999990403215094
1,16,0.999971112049758
1,17,0.999952162607427
1,18,0.999934653272767
1,19,0.999920135308487
1,20,0.999911453254619
1,21,0.99991156521961
1,22,0.999921319031028
1,23,0.999939737179899
2,0,1.00078529552954
2,1,1.00062956056173
2,2,1.00040788201904
2,3,1.00015984387115
2,4,0.999917938824765
2,5,0.99970646134132
2,6,0.999545365678714
2,7,0.999432875026961
2,8,0.999359691167031
2,9,0.999318504246504
2,10,0.999305098137983
2,11,0.999316519139422
2,12,0.999357725843306
2,13,0.999437422053702
2,14,0.999559797715831
2,15,0.99971952849481
2,16,0.999909705058592
2,17,1.0001189194297
2,18,1.00033285909879
2,19,1.00053499192625
2,20,1.00070254013657
2,21,1.0008118826513
2,22,1.00084429651746
2,23,1.00078529552954
3,0,1.00000004090695
3,1,0.999999896737233
3,2,0.999999745743427
3,3,0.999999619053491
3,4,0.999999532434357
3,5,0.999999483893999
3,6,0.999999470855869
3,7,0.999999493008155
3,8,0.999999550787207
3,9,0.999999642280776
3,10,0.999999761935055
3,11,0.999999903537343
3,12,1.00000005812993
3,13,1.00000021542237
3,14,1.00000036126174
3,15,1.00000047341251
3,16,1.00000053042467
3,17,1.00000053181107
3,18,1.00000049060923
3,19,1.00000042026025
3,20,1.00000033471779
3,21,1.00000024713871
3,22,1.00000015473092
3,23,1.00000004090695
4,0,0.999998842427361
4,1,0.999998481747056
4,2,0.999998202385694
4,3,0.999998072862479
4,4,0.999998129911881
4,5,0.999998373521881
4,6,0.999998793276207
4,7,0.999999331993462
4,8,0.999999916503418
4,9,1.00000048974617
4,10,1.00000101965813
4,11,1.00000147473903
4,12,1.0000018108861
4,13,1.00000197815631
4,14,1.00000195410067
4,15,1.00000177400261
4,16,1.00000148057666
4,17,1.00000111841505
4,18,1.00000073330823
4,19,1.00000035791778
4,20,0.999999987081878
4,21,0.999999609493073
4,22,0.99999922486153
4,23,0.999998842427361
5,0,1.00000742129762
5,1,1.00000731225163
5,2,1.00000670365839
5,3,1.00000560033076
5,4,1.00000405030075
5,5,1.00000215156619
5,6,1.00000001304529
5,7,0.999997789189031
5,8,0.999995650229475
5,9,0.999993763530642
5,10,0.999992291986426
5,11,0.999991392653122
5,12,0.999991179280438
5,13,0.999991744242043
5,14,0.999993062171029
5,15,0.999994861065489
5,16,0.999996851069812
5,17,0.999998895801964
5,18,1.00000095786055
5,19,1.00000296705384
5,20,1.0000047541216
5,21,1.00000613732206
5,22,1.00000702867422
5,23,1.00000742129762
6,0,1.00000595025819
6,1,1.00000402202153
6,2,1.00000172110281
6,3,0.999999240363371
6,4,0.999996816120332
6,5,0.999994734930307
6,6,0.999993247798664
6,7,0.999992391136731
6,8,0.999992126143
6,9,0.999992377310384
6,10,0.999993012354239
6,11,0.999993909033436
6,12,0.999995063657254
6,13,0.9999965287831
6,14,0.999998310995309
6,15,1.00000031974269
6,16,1.00000244567521
6,17,1.00000450309271
6,18,1.00000625707077
6,19,1.00000750558693
6,20,1.00000814362298
6,21,1.00000808793686
6,22,1.00000733500499
6,23,1.00000595025819
7,0,1.00014541382707
7,1,1.00013110819434
7,2,1.00010533717204
7,3,1.00006893510462
7,4,1.00002438327024
7,5,0.999976066975454
7,6,0.999928496565136
7,7,0.999886288568761
7,8,0.999854072365499
7,9,0.999835033486712
7,10,0.999830119442201
7,11,0.999839711501549
7,12,0.999861222947824
7,13,0.999890654869277
7,14,0.999924512025095
7,15,0.999960373649839
7,16,0.999996057414997
7,17,1.00003058001059
7,18,1.00006373105588
7,19,1.00009468448877
7,20,1.0001208061502
7,21,1.00013918813546
7,22,1.00014780895137
7,23,1.00014541382707
