wday,hour,N
1,0,1.000011075213
1,1,1.00001261978549
1,2,1.00001313421766
1,3,1.00001252597935
1,4,1.0000108357865
1,5,1.00000825840154
1,6,1.00000500800474
1,7,1.00000135941595
1,8,0.999997608494213
1,9,0.999994048610609
1,10,0.999990969247124
1,11,0.999988639945399
1,12,0.999987174543893
1,13,0.999986612426815
1,14,0.999986959441778
1,15,0.999988152069128
1,16,0.999990111964514
1,17,0.99999268998581
1,18,0.999995691329594
1,19,0.999998935059121
1,20,1.000002282315
1,21,1.00000559603879
1,22,1.00000863651098
1,23,1.000011075213
2,0,0.99999778607231
2,1,0.999998994593603
2,2,1.00000037666506
2,3,1.00000180153414
2,4,1.00000313490233
2,5,1.00000423837158
2,6,1.00000498106929
2,7,1.00000527551098
2,8,1.00000505083064
2,9,1.00000432827128
2,10,1.0000032718213
2,11,1.00000205255735
2,12,1.00000080033127
2,13,0.999999625111739
2,14,0.99999860034593
2,15,0.999997723149407
2,16,0.999996983315433
2,17,0.999996397249245
2,18,0.999995998523456
2,19,0.999995819357961
2,20,0.999995887258445
2,21,0.999996228334214
2,22,0.999996858750732
2,23,0.99999778607231
3,0,0.999998901976197
3,1,0.999998723909957
3,2,0.999998645486677
3,3,0.999998696535453
3,4,0.999998879940226
3,5,0.999999167433504
3,6,0.999999528507171
3,7,0.999999929825254
3,8,1.0000003370377
3,9,1.00000071393406
3,10,1.00000102142177
3,11,1.00000122425772
3,12,1.00000131973884
3,13,1.00000132068284
3,14,1.00000124054813
3,15,1.00000109393624
3,16,1.00000089520178
3,17,1.00000065415568
3,18,1.00000037767927
3,19,1.00000007438027
3,20,0.999999757972862
3,21,0.999999443346906
3,22,0.99999915011529
3,23,0.999998901976197
4,0,0.999998760578196
4,1,0.999997892648265
4,2,0.99999720831896
4,3,0.999996756557121
4,4,0.999996547554295
4,5,0.999996546673709
4,6,0.999996720838299
4,7,0.999997059671805
4,8,0.9999975608283
4,9,0.999998230282158
4,10,0.999999086891929
4,11,1.00000013793124
4,12,1.00000128986788
4,13,1.00000240117242
4,14,1.00000334208022
4,15,1.00000400811816
4,16,1.00000430405811
4,17,1.00000420512308
4,18,1.00000373201378
4,19,1.00000293135535
4,20,1.00000192216588
4,21,1.0000008343214
4,22,0.999999760371253
4,23,0.999998760578196
5,0,0.999990767969604
5,1,1.0000024510417
5,2,1.00001364106961
5,3,1.00002316096556
5,4,1.00003035863133
5,5,1.00003518891179
5,6,1.00003765390125
5,7,1.00003783090157
5,8,1.00003582348879
5,9,1.00003174298958
5,10,1.00002571270339
5,11,1.0000178746322
5,12,1.00000851112852
5,13,0.999997972949951
5,14,0.999986850900662
5,15,0.99997623829762
5,16,0.999967273231809
5,17,0.999960878717064
5,18,0.99995783871232
5,19,0.999958640607727
5,20,0.999962925363903
5,21,0.999970174398819
5,22,0.99997972051562
5,23,0.999990767969604
6,0,1.00000100949474
6,1,1.00000027136454
6,2,0.999999502710142
6,3,0.99999869357747
6,4,0.99999787708815
6,5,0.999997136163839
6,6,0.999996555302625
6,7,0.999996212300984
6,8,0.999996181868192
6,9,0.999996493265715
6,10,0.999997105314536
6,11,0.999997968691885
6,12,0.999999017521673
6,13,1.00000017789312
6,14,1.00000135297436
6,15,1.00000239796992
6,16,1.00000316910532
6,17,1.00000360468351
6,18,1.00000369598656
6,19,1.00000346098637
6,20,1.00000299188958
6,21,1.00000239185504
6,22,1.000001722497
6,23,1.00000100949474
7,0,1.00000062704944
7,1,1.00000047929779
7,2,1.00000027894578
7,3,1.00000005775831
7,4,0.999999839316553
7,5,0.999999637740546
7,6,0.999999466379699
7,7,0.999999337220443
7,8,0.999999261686541
7,9,0.999999245871467
7,10,0.999999287607469
7,11,0.999999382771039
7,12,0.999999517350308
7,13,0.999999672641513
7,14,0.999999833741493
7,15,0.999999993777837
7,16,1.00000014716259
7,17,1.00000029148419
7,18,1.00000042637708
7,19,1.00000054821867
7,20,1.0000006439194
7,21,1.00000069870488
7,22,1.00000069792753
7,23,1.00000062704944
