wday,hour,N
1,0,0.193664437150814
1,1,0.109109262977154
1,2,0.0353812355881124
1,3,0.0220092195294648
1,4,0.130586447834373
1,5,0.43665383147814
1,6,0.97187409923493
1,7,1.51803315711451
1,8,1.77367749303506
1,9,1.65499166878365
1,10,1.41563444705784
1,11,1.31019255452562
1,12,1.37007472426017
1,13,1.52030724987892
1,14,1.69256002552465
1,15,1.83380902061327
1,16,1.89316951258086
1,17,1.82222129264055
1,18,1.57418482240658
1,19,1.15276593033529
1,20,0.706815678897185
1,21,0.403151339048157
1,22,0.265468112353885
1,23,0.193664437150814
2,0,0.200283194392138
2,1,0.116398867092333
2,2,0.0418315658415907
2,3,0.0162530700987608
2,4,0.105720412888988
2,5,0.406794753462437
2,6,0.966419143636027
2,7,1.54438019028053
2,8,1.80466714393588
2,9,1.65302019415289
2,10,1.370048841094
2,11,1.23777094687618
2,12,1.29329485086701
2,13,1.45698029318047
2,14,1.65528020844239
2,15,1.82893324185003
2,16,1.92065127345994
2,17,1.8751737003923
2,18,1.63860239763669
2,19,1.2112457765115
2,20,0.749274965178244
2,21,0.428540876236384
2,22,0.278150898101167
2,23,0.200283194392138
3,0,0.202835719291715
3,1,0.116548534247947
3,2,0.0439863694504898
3,3,0.016536471241744
3,4,0.0978548707490967
3,5,0.388903705775625
3,6,0.940951443783491
3,7,1.51556707785946
3,8,1.77762718250795
3,9,1.63309878071323
3,10,1.36179582155806
3,11,1.24438175035399
3,12,1.31287059911116
3,13,1.48077030659583
3,14,1.67188563126661
3,15,1.83314506687715
3,16,1.91436169402773
3,17,1.86503352920597
3,18,1.63450606600313
3,19,1.22266270625081
3,20,0.774769194266578
3,21,0.4546298733632
3,22,0.29244188620732
3,23,0.202835719291715
4,0,0.207117936905671
4,1,0.113803150181876
4,2,0.0404406389323751
4,3,0.0164667048195602
4,4,0.101056916828045
4,5,0.387768562577716
4,6,0.923130760806308
4,7,1.47980005301454
4,8,1.7390423741316
4,9,1.61120082259648
4,10,1.36183626869848
4,11,1.25729063011367
4,12,1.32743943411149
4,13,1.48946387313563
4,14,1.6712045867873
4,15,1.82431134875587
4,16,1.90312953328617
4,17,1.85848920219844
4,18,1.63900142655758
4,19,1.24199641176451
4,20,0.805053975845497
4,21,0.483894091539663
4,22,0.309943359505853
4,23,0.207117936905671
5,0,0.234636748893434
5,1,0.133460108531891
5,2,0.054285250651553
5,3,0.0255372327414875
5,4,0.0977798555508879
5,5,0.347171633829836
5,6,0.811452778406836
5,7,1.30540811216473
5,8,1.5693900849439
5,9,1.5282768367219
5,10,1.39308194877753
5,11,1.37462476559126
5,12,1.48670685887855
5,13,1.64926351134153
5,14,1.79561871535593
5,15,1.88838590697184
5,16,1.89447098407813
5,17,1.787805999977
5,18,1.54688858272095
5,19,1.18273288323531
5,20,0.799669706174068
5,21,0.513441366844392
5,22,0.345273378723606
5,23,0.234636748893434
6,0,0.317458253143596
6,1,0.202088649380602
6,2,0.109866177791951
6,3,0.0758714865561719
6,4,0.117906067363213
6,5,0.233794890954866
6,6,0.422196917928062
6,7,0.692664622122212
6,8,1.05765550113913
6,9,1.47670842322653
6,10,1.82733248760949
6,11,1.99687677544347
6,12,2.00687560970725
6,13,1.94269703898759
6,14,1.86485515959466
6,15,1.78091899629421
6,16,1.68980156280853
6,17,1.56729042533397
6,18,1.37428123526867
6,19,1.0990388350564
6,20,0.809270984134917
6,21,0.583241519415338
6,22,0.433850127595562
6,23,0.317458253143596
7,0,0.297488337663277
7,1,0.185742991567908
7,2,0.119144211499111
7,3,0.106221872056152
7,4,0.13997003294437
7,5,0.195421719030374
7,6,0.261106794312618
7,7,0.406677947014078
7,8,0.728204294836029
7,9,1.21465735495143
7,10,1.6889634752754
7,11,1.98094912904351
7,12,2.08867424120281
7,13,2.09029258787174
7,14,2.04301642566648
7,15,1.95910761340665
7,16,1.84389880980218
7,17,1.68796884725645
7,18,1.47239491153562
7,19,1.19497872108079
7,20,0.902086551712541
7,21,0.646878177735472
7,22,0.448666614871745
7,23,0.297488337663277
