wday,hour,N
1,0,0.594859334020345
1,1,0.599766990990128
1,2,0.59962199033775
1,3,0.593391099696465
1,4,0.595597462065087
1,5,0.638749025347281
1,6,0.74906459424746
1,7,0.9119648666843
1,8,1.09880153441337
1,9,1.28776465008755
1,10,1.46766579802473
1,11,1.62633988671458
1,12,1.73660920171337
1,13,1.76424296023206
1,14,1.69218370347469
1,15,1.53947884988976
1,16,1.33068917052681
1,17,1.10161805583261
1,18,0.89531108660352
1,19,0.743866694646716
1,20,0.647546035600191
1,21,0.600507846502018
1,22,0.589499828328869
1,23,0.594859334020345
2,0,0.595229918309129
2,1,0.600069510256784
2,2,0.599868158038771
2,3,0.593490413743245
2,4,0.595528018360203
2,5,0.638754996185023
2,6,0.749565909823349
2,7,0.912990264906245
2,8,1.09979694377343
2,9,1.28792177325384
2,10,1.46643172313592
2,11,1.62350019652083
2,12,1.73259985656828
2,13,1.76029561865449
2,14,1.68977329961156
2,15,1.53916324397401
2,16,1.3320206445438
2,17,1.10381296340079
2,18,0.897681934660654
2,19,0.745878651042155
2,20,0.64895876113831
2,21,0.60139055953825
2,22,0.590046722251809
2,23,0.595229918309129
3,0,0.596040566948958
3,1,0.601250764536642
3,2,0.600794538304867
3,3,0.593817042158011
3,4,0.595202113968921
3,5,0.638029164420973
3,6,0.748941511915936
3,7,0.912896387514346
3,8,1.10047884574409
3,9,1.28944383553479
3,10,1.46868219482131
3,11,1.62619023621826
3,12,1.73525267694129
3,13,1.76224274075019
3,14,1.69038687864282
3,15,1.5383433228023
3,16,1.33021391533336
3,17,1.10151763309776
3,18,0.895128423327333
3,19,0.74316366868451
3,20,0.646446295103915
3,21,0.599754174952156
3,22,0.589742501328305
3,23,0.596040566948958
4,0,0.595355606274573
4,1,0.600469823690016
4,2,0.600952787119341
4,3,0.59497722122283
4,4,0.596829316548865
4,5,0.639424123745208
4,6,0.74936488080834
4,7,0.912129113099186
4,8,1.0990096286999
4,9,1.28802822737413
4,10,1.46765889550479
4,11,1.62546428086603
4,12,1.73462898542361
4,13,1.76158508210727
4,14,1.68960324273799
4,15,1.53735319051944
4,16,1.32897162319306
4,17,1.10033189661115
4,18,0.894867996169972
4,19,0.744777792793033
4,20,0.64957538957797
4,21,0.602577814300076
4,22,0.590707475338646
4,23,0.595355606274573
5,0,0.596050498115736
5,1,0.60028072949307
5,2,0.59951635983613
5,3,0.592237049945558
5,4,0.59319640640652
5,5,0.635962427530344
5,6,0.747527924091353
5,7,0.912228395680244
5,8,1.09970347077601
5,9,1.28759906578801
5,10,1.46599392154414
5,11,1.62400611926203
5,12,1.73463091718338
5,13,1.76328051978356
5,14,1.69244596749151
5,15,1.54053187403967
5,16,1.33152326689502
5,17,1.10170740816997
5,18,0.895296806129524
5,19,0.745003543746458
5,20,0.650078151123473
5,21,0.603440288586493
5,22,0.591708390266067
5,23,0.596050498115736
6,0,0.797037453710612
6,1,0.798066889062913
6,2,0.797089344477051
6,3,0.794751676280707
6,4,0.797989317363696
6,5,0.821007956053972
6,6,0.875328557457089
6,7,0.955183007720637
6,8,1.04881444657387
6,9,1.14576184625489
6,10,1.23758207299337
6,11,1.3155462854823
6,12,1.36727810463751
6,13,1.37870615946108
6,14,1.34296067786111
6,15,1.26829608768589
6,16,1.16544455645087
6,17,1.05180326137572
6,18,0.94906380830219
6,19,0.87343414169162
6,20,0.825142271111933
6,21,0.801344927792102
6,22,0.795329696488254
6,23,0.797037453710612
7,0,0.894604742492561
7,1,0.894950582259193
7,2,0.896249204811254
7,3,0.897773979429152
7,4,0.901921309926264
7,5,0.914698156268449
7,6,0.941071137288982
7,7,0.979060008324049
7,8,1.02426660007122
7,9,1.07211695626267
7,10,1.11776840917224
7,11,1.15622232604317
7,12,1.18142501994696
7,13,1.18684062103514
7,14,1.16933080218926
7,15,1.13288837318838
7,16,1.08269396801513
7,17,1.0272981612376
7,18,0.977422688312323
7,19,0.940843169888331
7,20,0.916756476780369
7,21,0.902811113490013
7,22,0.896381451074722
7,23,0.894604742492561
