wday,hour,N
1,0,0.966948887003053
1,1,0.965658509481878
1,2,0.966807139624011
1,3,0.971312491602717
1,4,0.979363398213004
1,5,0.990306028770839
1,6,1.00311970245115
1,7,1.01499361519286
1,8,1.02253291015527
1,9,1.02463847278123
1,10,1.02377055753165
1,11,1.02249577004204
1,12,1.02179371905539
1,13,1.02188531439495
1,14,1.02267761937917
1,15,1.02342933558363
1,16,1.02325544416955
1,17,1.02054924454413
1,18,1.01323996794731
1,19,1.0007759180652
1,20,0.986997341367239
1,21,0.976353920231728
1,22,0.97014580540895
1,23,0.966948887003053
2,0,0.96755175541108
2,1,0.966034164632094
2,2,0.966585577751524
2,3,0.970860361643142
2,4,0.97922112397152
2,5,0.990537062990905
2,6,1.0033633150448
2,7,1.01496312035893
2,8,1.02218823424262
2,9,1.02414806051247
2,10,1.0234520571029
2,11,1.02275325216798
2,12,1.02265961136904
2,13,1.02280454817158
2,14,1.02292610414336
2,15,1.02299432042912
2,16,1.02286340168934
2,17,1.02070135385425
2,18,1.01359025295002
2,19,1.0005265273958
2,20,0.986065406218579
2,21,0.975527116320171
2,22,0.970131516217703
2,23,0.96755175541108
3,0,0.966939037457616
3,1,0.966114446374148
3,2,0.967573031159575
3,3,0.971922326138921
3,4,0.979410755111098
3,5,0.989871572364148
3,6,1.00268198517529
3,7,1.0147967069715
3,8,1.02237245792994
3,9,1.02421544177144
3,10,1.0232398723082
3,11,1.02242202085487
3,12,1.02242458762008
3,13,1.02280743887698
3,14,1.02319572708457
3,15,1.02336575800377
3,16,1.02299993772532
3,17,1.02046783137003
3,18,1.01329369817289
3,19,1.00066921597275
3,20,0.986623008664579
3,21,0.975863739566178
3,22,0.969790365868503
3,23,0.966939037457616
4,0,0.967005618057842
4,1,0.966140221707513
4,2,0.967611936694827
4,3,0.971795208111382
4,4,0.978947473142972
4,5,0.989190895538692
4,6,1.00214298465027
4,7,1.01463951885894
4,8,1.02259496263117
4,9,1.024667096005
4,10,1.02376734310485
4,11,1.02288120163317
4,12,1.0226765353771
4,13,1.02271683506206
4,14,1.02269554202477
4,15,1.02259287707581
4,16,1.02229159293786
4,17,1.02012158972347
4,18,1.01341263568781
4,19,1.0011795038109
4,20,0.987331923313385
4,21,0.976480338419343
4,22,0.970110548373039
4,23,0.967005618057842
5,0,0.966894282759953
5,1,0.965816063085551
5,2,0.967102879763069
5,3,0.97143870786474
5,4,0.97904826398045
5,5,0.989625313626209
5,6,1.00243364780257
5,7,1.01449654713432
5,8,1.02210132804803
5,9,1.02411066958
5,10,1.023380274955
5,11,1.02281277246413
5,12,1.02295559549515
5,13,1.02323429971898
5,14,1.0232703900762
5,15,1.02311078133794
5,16,1.02271692501639
5,17,1.02043404985919
5,18,1.01356639936347
5,19,1.00113299558972
5,20,0.987135421514486
5,21,0.976282984306403
5,22,0.970005123898078
5,23,0.966894282759953
6,0,0.966762764818845
6,1,0.965558989953757
6,2,0.966825286691068
6,3,0.971257436807889
6,4,0.979049886700644
6,5,0.989817486375099
6,6,1.00275267981043
6,7,1.01486491454749
6,8,1.02244786964659
6,9,1.02438268746887
6,10,1.0235622595194
6,11,1.02292339975697
6,12,1.02301108934587
6,13,1.02323099465956
6,14,1.02319022884822
6,15,1.02293306878962
6,16,1.02242455376504
6,17,1.02006866833204
6,18,1.01326393779853
6,19,1.00105824076168
6,20,0.987292114182716
6,21,0.976489588943779
6,22,0.97006908765705
6,23,0.966762764818845
7,0,0.967036902395331
7,1,0.965904142518551
7,2,0.966957864213159
7,3,0.971156547322275
7,4,0.978820802720684
7,5,0.989533797715451
7,6,1.00245295755572
7,7,1.01458324514556
7,8,1.02222441202695
7,9,1.02426021118716
7,10,1.02358076236198
7,11,1.02311063001901
7,12,1.02331095370997
7,13,1.0234701913277
7,14,1.02320362261226
7,15,1.02282704317058
7,16,1.02256928929505
7,17,1.02062288428674
7,18,1.01386854672952
7,19,1.00110291679162
7,20,0.986696778131956
7,21,0.975808837273511
7,22,0.969859759093937
7,23,0.967036902395331
