wday,hour,N
1,0,0.454651136307386
1,1,0.190944858183767
1,2,0.0144812983714898
1,3,0.0968912295598468
1,4,0.449714003003827
1,5,0.899406461097741
1,6,1.27777898802105
1,7,1.50428968376742
1,8,1.53017570822693
1,9,1.38523636678824
1,10,1.2209948718778
1,11,1.17906240512412
1,12,1.23917541953514
1,13,1.30415677184097
1,14,1.32181392154781
1,15,1.33528385532967
1,16,1.39243080550662
1,17,1.45653044010376
1,18,1.43632646854551
1,19,1.28079649744823
1,20,1.05726751994227
1,21,0.850016631880792
1,22,0.667923521682215
1,23,0.454651136307385
2,0,0.450276394313427
2,1,0.226852210205986
2,2,0.0973580316410995
2,3,0.167256898762449
2,4,0.44538571267272
2,5,0.82887140229119
2,6,1.20883533590462
2,7,1.47761394849508
2,8,1.52984169777012
2,9,1.37269019182781
2,10,1.18776296450559
2,11,1.14704215071769
2,12,1.22693545490339
2,13,1.31090615679637
2,14,1.33373713230222
2,15,1.33903279344367
2,16,1.37772262156132
2,17,1.42659771142456
2,18,1.41464538249121
2,19,1.29738783106554
2,20,1.10896809962014
2,21,0.896054914270536
2,22,0.677948568699857
2,23,0.450276394313427
3,0,0.467294520261812
3,1,0.242075533817674
3,2,0.110664473954331
3,3,0.181347841834355
3,4,0.456819564090538
3,5,0.817697453370703
3,6,1.14777020205948
3,7,1.38662136906193
3,8,1.4939063484308
3,9,1.46980515323683
3,10,1.37728077032439
3,11,1.28110908860581
3,12,1.21757292643398
3,13,1.20925109235836
3,14,1.25972929680413
3,15,1.33294024424868
3,16,1.38907306912271
3,17,1.40284173834859
3,18,1.35833944082811
3,19,1.24814440459945
3,20,1.08879286831957
3,21,0.90052023722854
3,22,0.693107842397415
3,23,0.467294520261813
4,0,0.473134387045205
4,1,0.193215984006577
4,2,0.00750901946299902
4,3,0.0742761951767808
4,4,0.405604519634454
4,5,0.844586536762613
4,6,1.23493482207461
4,7,1.4765076476755
4,8,1.49045428596942
4,9,1.30428082220203
4,10,1.11031602601557
4,11,1.08866619259884
4,12,1.20977086154925
4,13,1.34439557186728
4,14,1.41306795152945
4,15,1.44195786439791
4,16,1.46649539404977
4,17,1.47512220162779
4,18,1.42598371694531
4,19,1.2955245168373
4,20,1.11428014478425
4,21,0.920452146540483
4,22,0.716328804201407
4,23,0.473134387045205
5,0,0.477283877894561
5,1,0.235967515126259
5,2,0.0822598037468974
5,3,0.155733996180098
5,4,0.464306653295964
5,5,0.863685363349407
5,6,1.21199175685192
5,7,1.42829981365968
5,8,1.45426039253445
5,9,1.31477532584456
5,10,1.16375247908284
5,11,1.14542864631457
5,12,1.23910468816735
5,13,1.34565856626185
5,14,1.40290643662703
5,15,1.42713953538097
5,16,1.44153956399962
5,17,1.43451852821238
5,18,1.37207321071298
5,19,1.2365979078849
5,20,1.05872989570072
5,21,0.875816228506747
5,22,0.690885936769682
5,23,0.477283877894561
6,0,0.507792455310588
6,1,0.227897818484135
6,2,0.0225349787231667
6,3,0.10369880911256
6,4,0.488263083457565
6,5,0.967521077478173
6,6,1.34220480335654
6,7,1.53617689496407
6,8,1.51757861619502
6,9,1.34297485377013
6,10,1.20592049462068
6,11,1.27979413165137
6,12,1.48415489625008
6,13,1.61808652310051
6,14,1.57151658448971
6,15,1.42643513871222
6,16,1.28288001866654
6,17,1.16955451222599
6,18,1.06914554660767
6,19,0.969475761818956
6,20,0.875347096415216
6,21,0.792574196298418
6,22,0.690679252980103
6,23,0.507792455310588
7,0,0.486890253700276
7,1,0.249096798018369
7,2,0.102419838473186
7,3,0.17278484505321
7,4,0.45888172335396
7,5,0.812302694015883
7,6,1.09259640657221
7,7,1.24968420332888
7,8,1.26581757224668
7,9,1.17803693345293
7,10,1.10825665920237
7,11,1.16680605744295
7,12,1.31402726800716
7,13,1.43904277180244
7,14,1.48006849926542
7,15,1.47919293961821
7,16,1.48630442461572
7,17,1.48991642165013
7,18,1.4389673226866
7,19,1.30326038839438
7,20,1.11451513509189
7,21,0.913759201033608
7,22,0.710481389273254
7,23,0.486890253700276
