wday,hour,N
1,0,0.760968359176971
1,1,0.689758213765111
1,2,0.667605647838995
1,3,0.66797212356771
1,4,0.688631472182713
1,5,0.755465178792822
1,6,0.885103574890376
1,7,1.03364902571189
1,8,1.13678456003704
1,9,1.16754287455222
1,10,1.15688139756839
1,11,1.13828493124082
1,12,1.12573825951627
1,13,1.12391311384223
1,14,1.13514502287023
1,15,1.15699059587488
1,16,1.18597823679504
1,17,1.21367881630471
1,18,1.22846325713359
1,19,1.21711594644912
1,20,1.16201092967453
1,21,1.04690142350747
1,22,0.894448679529902
1,23,0.760968359176971
2,0,0.783864662045994
2,1,0.732340321347924
2,2,0.719723689287178
2,3,0.73922132196461
2,4,0.784718791088572
2,5,0.850886681774537
2,6,0.931449432375489
2,7,1.01459243333952
2,8,1.08661418724811
2,9,1.13613499056784
2,10,1.15537691697971
2,11,1.13992952330618
2,12,1.10966530032159
2,13,1.09594241638873
2,14,1.11489792958901
2,15,1.15060071641959
2,16,1.18361216975165
2,17,1.20066039879353
2,18,1.19245473427038
2,19,1.15245488400344
2,20,1.08184129450051
2,21,0.98391330972546
2,22,0.875239232864469
2,23,0.783864662045994
3,0,0.788256109228774
3,1,0.7384458618727
3,2,0.72191250321322
3,3,0.737291985787162
3,4,0.782031881796524
3,5,0.85220587087692
3,6,0.941214900005216
3,7,1.02793234493388
3,8,1.08645301252191
3,9,1.1071778653031
3,10,1.10579026670076
3,11,1.09901239877345
3,12,1.0945445909302
3,13,1.09579209207306
3,14,1.10730123463632
3,15,1.13606676241909
3,16,1.1869986213369
3,17,1.23718701191393
3,18,1.24579051869184
3,19,1.18820901241768
3,20,1.08742099096561
3,21,0.974369587701909
3,22,0.870338466671069
3,23,0.788256109228774
4,0,0.772423538178616
4,1,0.719118102016307
4,2,0.709253868185559
4,3,0.727002050852924
4,4,0.766024026999236
4,5,0.83095279923915
4,6,0.923294529679387
4,7,1.02363861395737
4,8,1.10549080646273
4,9,1.15362636139116
4,10,1.17029957386398
4,11,1.16037269377766
4,12,1.13747862651187
4,13,1.11939459647794
4,14,1.11772684418048
4,15,1.13108705630919
4,16,1.15576115507659
4,17,1.18001940124185
4,18,1.18696354349242
4,19,1.16248002521056
4,20,1.10071340663333
4,21,0.99856317027694
4,22,0.875891671806142
4,23,0.772423538178616
5,0,0.775791986301838
5,1,0.737367403638721
5,2,0.736594210346471
5,3,0.756784170751784
5,4,0.793308506505021
5,5,0.855480439377251
5,6,0.948318331194749
5,7,1.04846201086447
5,8,1.12297855300248
5,9,1.15649743575655
5,10,1.16088521588159
5,11,1.1498577154926
5,12,1.13320987125938
5,13,1.11885808414029
5,14,1.11328251951245
5,15,1.11997570715661
5,16,1.14082226413739
5,17,1.16338810541281
5,18,1.16600724717372
5,19,1.13280940650721
5,20,1.06503854896567
5,21,0.967803380189534
5,22,0.860686900129587
5,23,0.775791986301838
6,0,0.881758579655098
6,1,0.826483140397261
6,2,0.797892647707597
6,3,0.792577821608294
6,4,0.808334281128943
6,5,0.844350635187131
6,6,0.897958763271009
6,7,0.955666638227699
6,8,1.00037898234
6,9,1.02457366447166
6,10,1.0355727865526
6,11,1.04174814437263
6,12,1.04966694793297
6,13,1.06501912641709
6,14,1.09077375969689
6,15,1.12420542661385
6,16,1.16133559200946
6,17,1.1919538472171
6,18,1.20183323865475
6,19,1.18068236699226
6,20,1.12972323133452
6,21,1.05275899194405
6,22,0.962992806612038
6,23,0.881758579655098
7,0,0.88943187508668
7,1,0.823523023021301
7,2,0.788084238887925
7,3,0.776177521474366
7,4,0.78294389484177
7,5,0.805927954773775
7,6,0.842121607920677
7,7,0.884674874650327
7,8,0.925458000383779
7,9,0.95968991082043
7,10,0.987782064598519
7,11,1.01120720706352
7,12,1.03631918347981
7,13,1.07176432709974
7,14,1.12049207469197
7,15,1.17347542359421
7,16,1.22028913340552
7,17,1.25178449082722
7,18,1.25963792756581
7,19,1.23711241767315
7,20,1.18199515061172
7,21,1.09372819919559
7,22,0.986947623245506
7,23,0.88943187508668
