wday,hour,N
1,0,0.791165832769526
1,1,0.775385537004754
1,2,0.784862267832605
1,3,0.820076952916417
1,4,0.876938027422441
1,5,0.946067644619217
1,6,1.01727432220197
1,7,1.07746146787261
1,8,1.11271049640321
1,9,1.12037887263566
1,10,1.11530351072002
1,11,1.11259325357822
1,12,1.11757532402846
1,13,1.13089029568331
1,14,1.14956703998883
1,15,1.16312093821354
1,16,1.16065875747831
1,17,1.13753532767563
1,18,1.09313929185811
1,19,1.02972017723341
1,20,0.957563607857389
1,21,0.88824009035581
1,22,0.830605130881037
1,23,0.791165832769526
2,0,0.768744877301004
2,1,0.753760390150426
2,2,0.754856722218701
2,3,0.773471268561708
2,4,0.811903133694725
2,5,0.873447648834158
2,6,0.957889743017625
2,7,1.04506064938629
2,8,1.10813470516702
2,9,1.13707246238956
2,10,1.14786390122134
2,11,1.15721419263842
2,12,1.16972616647645
2,13,1.18422595017322
2,14,1.19862214174849
2,15,1.20897381543012
2,16,1.21055079816331
2,17,1.19215523915918
2,18,1.13842774672014
2,19,1.0450491702068
2,20,0.939657725277838
2,21,0.854409351854164
2,22,0.8000373229083
2,23,0.768744877301005
3,0,0.793891549547447
3,1,0.768844784011879
3,2,0.753915049828409
3,3,0.760752317181962
3,4,0.797839643026731
3,5,0.86999879977814
3,6,0.976813084510605
3,7,1.08969407705395
3,8,1.17061949775961
3,9,1.20314933800313
3,10,1.20431135049064
3,11,1.19306592884252
3,12,1.18085819451299
3,13,1.17550948885047
3,14,1.1783313265435
3,15,1.17703041424036
3,16,1.15838929183458
3,17,1.11836169779498
3,18,1.05882169752297
3,19,0.985152898889367
3,20,0.91255046306794
3,21,0.85717460309628
3,22,0.821032954064115
3,23,0.793891549547447
4,0,0.816237444225998
4,1,0.778735812386735
4,2,0.757268909608399
4,3,0.762122808833698
4,4,0.798171404800773
4,5,0.864031545420853
4,6,0.954733543874148
4,7,1.04718887379399
4,8,1.11231029356061
4,9,1.13901565072546
4,10,1.14414048356888
4,11,1.14567704435092
4,12,1.15173170644954
4,13,1.1656600664899
4,14,1.18486598165328
4,15,1.19433340826334
4,16,1.17883050366752
4,17,1.1387969391269
4,18,1.0847814619
4,19,1.02592950231515
4,20,0.966865118471719
4,21,0.911298331170229
4,22,0.861035721115977
4,23,0.816237444225998
5,0,0.785346840659764
5,1,0.75839363983359
5,2,0.751485791660497
5,3,0.775675086275754
5,4,0.831988275702985
5,5,0.909862114272596
5,6,0.997160785003916
5,7,1.07656147278473
5,8,1.12916447139889
5,9,1.14964851811215
5,10,1.15374174381663
5,11,1.15739432574098
5,12,1.16393984048774
5,13,1.17069486147961
5,14,1.17485829083572
5,15,1.17345997461213
5,16,1.16328335489881
5,17,1.13849489093953
5,18,1.09157871802501
5,19,1.02101870029678
5,20,0.942637901808958
5,21,0.874696000369292
5,22,0.823567560324185
5,23,0.785346840659764
6,0,0.848131333396958
6,1,0.818453186386395
6,2,0.798906989762341
6,3,0.807463843375374
6,4,0.849176421219835
6,5,0.914162339267703
6,6,0.991185083154459
6,7,1.06608613859314
6,8,1.12383459944202
6,9,1.15800396916863
6,10,1.1755061669725
6,11,1.18365161076419
6,12,1.18380325050299
6,13,1.17449157184089
6,14,1.15483331952615
6,15,1.12521125025613
6,16,1.08641452098652
6,17,1.04210351091442
6,18,0.997789947247398
6,19,0.957967208691947
6,20,0.924110580957906
6,21,0.896954982918318
6,22,0.873626841256819
6,23,0.848131333396958
7,0,0.795160063448017
7,1,0.767875090015624
7,2,0.755903256427698
7,3,0.770346601212071
7,4,0.813490261632514
7,5,0.877426110431129
7,6,0.952869790273636
7,7,1.02601324618931
7,8,1.0816355687904
7,9,1.114101179498
7,10,1.13263420986262
7,11,1.1473062430478
7,12,1.16476755775271
7,13,1.18999009967908
7,14,1.22033534185879
7,15,1.23722668410043
7,16,1.22164039142414
7,17,1.17268484373208
7,18,1.10116721703315
7,19,1.01874449953581
7,20,0.938957339922459
7,21,0.87507664040017
7,22,0.829487700284352
7,23,0.795160063448017
