wday,hour,N
1,0,0.862153630866298
1,1,0.825478843052761
1,2,0.794140256807843
1,3,0.78791252617332
1,4,0.818495805249167
1,5,0.888255277568956
1,6,0.993524299943862
1,7,1.09979366152742
1,8,1.16234766229519
1,9,1.16740446294228
1,10,1.14914639448494
1,11,1.1418719795445
1,12,1.14803547766365
1,13,1.15492130838709
1,14,1.15228675164075
1,15,1.13527078541306
1,16,1.10046050979323
1,17,1.05339974667401
1,18,1.00540811568962
1,19,0.965180020762199
1,20,0.933581384055029
1,21,0.909842018471747
1,22,0.888935450126771
1,23,0.862153630866298
2,0,0.785286611622741
2,1,0.762814812672945
2,2,0.759330963996915
2,3,0.781183598238443
2,4,0.828572079882361
2,5,0.894586688741324
2,6,0.971429578452681
2,7,1.04854913956302
2,8,1.11450380570349
2,9,1.16189338390177
2,10,1.18958329976954
2,11,1.19799016930795
2,12,1.19556928695808
2,13,1.1945573780977
2,14,1.19877262241154
2,15,1.19433002183575
2,16,1.1664446993102
2,17,1.11578449074754
2,18,1.05298527280217
2,19,0.987403387524353
2,20,0.924236632892808
2,21,0.867852448252461
2,22,0.821053015691481
2,23,0.785286611622741
3,0,0.814005597460536
3,1,0.773077371532544
3,2,0.745040163295554
3,3,0.757103854565753
3,4,0.81739987714781
3,5,0.912002969479138
3,6,1.02431595980718
3,7,1.12966561102652
3,8,1.20083385841499
3,9,1.22636589103998
3,10,1.21924431059266
3,11,1.19437061641855
3,12,1.16519102978775
3,13,1.14440699990999
3,14,1.13646862140204
3,15,1.12853187980709
3,16,1.10658715176555
3,17,1.06838962443446
3,18,1.01928540411729
3,19,0.965463038339137
3,20,0.915170474257587
3,21,0.876431661792318
3,22,0.846642436145024
3,23,0.814005597460536
4,0,0.829155649445235
4,1,0.737220732253811
4,2,0.63989486716375
4,3,0.591358805991499
4,4,0.620227450232066
4,5,0.725558891426153
4,6,0.89616910209479
4,7,1.07277516158229
4,8,1.18017354463931
4,9,1.19118509868566
4,10,1.15309447086715
4,11,1.11636441885774
4,12,1.10582686465283
4,13,1.13400064302414
4,14,1.19864200404975
4,15,1.26670794144135
4,16,1.30285576915079
4,17,1.29009279222327
4,18,1.22327733471566
4,19,1.10973085254691
4,20,0.992057507129964
4,21,0.916349576047411
4,22,0.878124872333223
4,23,0.829155649445235
5,0,0.846842013455206
5,1,0.840624267783541
5,2,0.825504777607715
5,3,0.825620826797133
5,4,0.853787777915921
5,5,0.909731662560127
5,6,0.989105027510213
5,7,1.06884639949009
5,8,1.11969930766184
5,9,1.13104987933224
5,10,1.12119039344577
5,11,1.11034278001322
5,12,1.1143062444283
5,13,1.14666055106245
5,14,1.20305173155683
5,15,1.24154605915359
5,16,1.21933989347729
5,17,1.13852587520033
5,18,1.03016034643367
5,19,0.924147796727148
5,20,0.845690755091036
5,21,0.81737994505777
5,22,0.830003674783367
5,23,0.846842013455206
6,0,0.836945995653191
6,1,0.827190081579684
6,2,0.818269439824834
6,3,0.819180023925785
6,4,0.836451333626947
6,5,0.873761388862899
6,6,0.932130441906552
6,7,0.998595482758496
6,8,1.05550442036141
6,9,1.0955272356569
6,10,1.12734068630067
6,11,1.15982462131205
6,12,1.19253664961448
6,13,1.22057597883057
6,14,1.23692244411835
6,15,1.23016897326659
6,16,1.1897192789838
6,17,1.12082397758853
6,18,1.03895682771173
6,19,0.959098182476987
6,20,0.894318963634461
6,21,0.856518656874052
6,22,0.842692919477833
6,23,0.836945995653191
7,0,0.807500219332664
7,1,0.771090689066074
7,2,0.744997141646982
7,3,0.753950258440545
7,4,0.804835384637126
7,5,0.883906781255917
7,6,0.976343059103369
7,7,1.06773459304952
7,8,1.14389825163088
7,9,1.19565182924547
7,10,1.22156433260721
7,11,1.22191220242295
7,12,1.20523650366695
7,13,1.18399065851264
7,14,1.1659738919584
7,15,1.14917468989639
7,16,1.13005126405953
7,17,1.10163329063709
7,18,1.0547456525261
7,19,0.987312829155415
7,20,0.91778737734149
7,21,0.867156530373651
7,22,0.836052350100979
7,23,0.807500219332664
