wday,hour,N
1,0,0.999998732747972
1,1,0.9999987706642
1,2,0.999998908454186
1,3,0.999999137255626
1,4,0.999999437242105
1,5,0.999999775911547
1,6,1.00000012175093
1,7,1.00000045273272
1,8,1.00000075010949
1,9,1.00000099408763
1,10,1.0000011632469
1,11,1.00000123920483
1,12,1.00000122881557
1,13,1.00000115093497
1,14,1.00000101915193
1,15,1.00000083585515
1,16,1.00000060196576
1,17,1.00000031773913
1,18,0.999999983014974
1,19,0.999999611451155
1,20,0.999999256473996
1,21,0.999998976935526
1,22,0.99999880150574
1,23,0.999998732747972
2,0,0.99999955734481
2,1,0.999999846187722
2,2,1.00000017721566
2,3,1.0000005253988
2,4,1.00000086303317
2,5,1.00000115932319
2,6,1.00000138224027
2,7,1.00000149382001
2,8,1.0000014545254
2,9,1.00000125427224
2,10,1.00000092863152
2,11,1.00000051872186
2,12,1.00000007853019
2,13,0.999999668087609
2,14,0.999999332468443
2,15,0.999999085303406
2,16,0.999998934761328
2,17,0.999998871543573
2,18,0.999998875085648
2,19,0.999998928096867
2,20,0.999999023243937
2,21,0.999999155500928
2,22,0.999999329318602
2,23,0.99999955734481
3,0,0.999999873940354
3,1,0.99999989545005
3,2,0.99999990279248
3,3,0.999999912219165
3,4,0.999999934359319
3,5,0.999999973342177
3,6,1.00000003113378
3,7,1.00000009962166
3,8,1.00000016721796
3,9,1.00000022403241
3,10,1.00000026281146
3,11,1.00000027702548
3,12,1.00000026409274
3,13,1.00000022333274
3,14,1.00000015709478
3,15,1.0000000740573
3,16,0.999999983780599
3,17,0.999999896811486
3,18,0.999999824332249
3,19,0.999999776513044
3,20,0.999999760582118
3,21,0.999999782243337
3,22,0.999999829272961
3,23,0.999999873940354
4,0,0.999998795934778
4,1,0.999997923085936
4,2,0.999997263226747
4,3,0.999996844636375
4,4,0.999996679638673
4,5,0.999996762111479
4,6,0.999997076362655
4,7,0.999997558899028
4,8,0.999998130207789
4,9,0.999998746645922
4,10,0.99999942019446
4,11,1.00000016444478
4,12,1.0000009677773
4,13,1.00000180637492
4,14,1.00000262791917
4,15,1.00000332047946
4,16,1.00000376777929
4,17,1.00000389028055
4,18,1.00000363219018
4,19,1.00000298078052
4,20,1.00000204606543
4,21,1.00000095931938
4,22,0.999999839710392
4,23,0.999998795934778
5,0,1.00000140897669
5,1,1.00000177727697
5,2,1.00000200948609
5,3,1.0000021307274
5,4,1.00000214546642
5,5,1.00000203428603
5,6,1.00000177897122
5,7,1.00000137547814
5,8,1.00000082514018
5,9,1.00000015633912
5,10,0.999999439374094
5,11,0.999998747846128
5,12,0.999998152942657
5,13,0.99999772454105
5,14,0.99999750667843
5,15,0.999997489219845
5,16,0.999997654756127
5,17,0.999997980612082
5,18,0.999998440711255
5,19,0.999999005103974
5,20,0.999999632862145
5,21,1.00000028049521
5,22,1.00000089373206
5,23,1.00000140897669
6,0,1.00016216880415
6,1,1.00020756510324
6,2,1.00023662655479
6,3,1.00024887162201
6,4,1.00024371855032
6,5,1.00022046972279
6,6,1.00017918952221
6,7,1.00012424237005
6,8,1.0000614826733
6,9,0.999996472518009
6,10,0.99993431856633
6,11,0.999879491025655
6,12,0.999831716701983
6,13,0.999788483030676
6,14,0.999750937388266
6,15,0.999727931252088
6,16,0.999728666557289
6,17,0.999755142094092
6,18,0.999804707863074
6,19,0.999873043431252
6,20,0.999951246147971
6,21,1.00002974167161
6,22,1.0001015980247
6,23,1.00016216880415
7,0,1.00005411837379
7,1,1.00007786628413
7,2,1.00009737705148
7,3,1.00010830688525
7,4,1.00010832660543
7,5,1.00009743613359
7,6,1.00007625964304
7,7,1.0000481884453
7,8,1.00001755881099
7,9,0.999987686787774
7,10,0.999960305580673
7,11,0.99993694682284
7,12,0.999918622654728
7,13,0.999906096715381
7,14,0.999900006128723
7,15,0.999900725916111
7,16,0.999908488474507
7,17,0.999922251856454
7,18,0.999940152233358
7,19,0.999960587522399
7,20,0.999982747969732
7,21,1.00000597794821
7,22,1.00002984678233
7,23,1.00005411837379
