wday,hour,N
1,0,0.742591419976766
1,1,0.735981602871174
1,2,0.753099402245943
1,3,0.798818472362949
1,4,0.869457469108177
1,5,0.95144457111079
1,6,1.03072278245666
1,7,1.09360311194418
1,8,1.12673956875491
1,9,1.12969023615456
1,10,1.12201431314426
1,11,1.12332942949097
1,12,1.14005336758907
1,13,1.17226581903484
1,14,1.21295252769786
1,15,1.24030453781064
1,16,1.23219004410921
1,17,1.18438050927587
1,18,1.10420139162098
1,19,1.00265683587555
1,20,0.900778999257972
1,21,0.820582595845015
1,22,0.769549572284886
1,23,0.742591419976766
2,0,0.846161335666575
2,1,0.788910242983975
2,2,0.742334382917574
2,3,0.73608703409417
2,4,0.780632306341637
2,5,0.864249613565745
2,6,0.971520811059714
2,7,1.07325236353832
2,8,1.13585005722134
2,9,1.14901005608929
2,10,1.1385360623065
2,11,1.13088596775801
2,12,1.13304594791887
2,13,1.14270377959854
2,14,1.15539906759389
2,15,1.16228662314447
2,16,1.15449158646119
2,17,1.12921260677896
2,18,1.08756922204535
2,19,1.03323208754872
2,20,0.977022308295672
2,21,0.930299281256097
2,22,0.891145920148803
2,23,0.846161335666575
3,0,0.801295916944436
3,1,0.746558548819517
3,2,0.699966774836984
3,3,0.711317189961191
3,4,0.793226515252236
3,5,0.915327629914906
3,6,1.04542480495923
3,7,1.15448818128769
3,8,1.21487480502396
3,9,1.2161214041821
3,10,1.17439150093199
3,11,1.11003730674467
3,12,1.05848604922968
3,13,1.06215704032063
3,14,1.13156293192452
3,15,1.21021534281399
3,16,1.23731731956451
3,17,1.20006047079707
3,18,1.11660032976491
3,19,1.00915620984068
3,20,0.910152617898673
3,21,0.851732000068245
3,22,0.828233191973752
3,23,0.801295916944436
4,0,0.768188221284674
4,1,0.752691141824768
4,2,0.760503242051135
4,3,0.789609827780623
4,4,0.838197436330833
4,5,0.904685249783752
4,6,0.985503641298062
4,7,1.0658816835134
4,8,1.12733599539127
4,9,1.16227594648405
4,10,1.18000072980048
4,11,1.19048243037741
4,12,1.19749864597969
4,13,1.20185736177402
4,14,1.20180987525511
4,15,1.19028426504139
4,16,1.16024403319497
4,17,1.11285657544436
4,18,1.05458133357159
4,19,0.991180547591318
4,20,0.926157204589766
4,21,0.862773320147328
4,22,0.807213070205328
4,23,0.768188221284674
5,0,0.88885006014421
5,1,0.817969780427774
5,2,0.729526196962111
5,3,0.722093182690035
5,4,0.819383557762333
5,5,0.958562897370847
5,6,1.07945196346928
5,7,1.16370624316747
5,8,1.20759368043873
5,9,1.21152881410153
5,10,1.18233077188689
5,11,1.12954864660949
5,12,1.08003673541587
5,13,1.0687520520345
5,14,1.1064021883026
5,15,1.15273717880844
5,16,1.16363385557374
5,17,1.12453444003342
5,18,1.03996787122032
5,19,0.927004719527298
5,20,0.837877170917493
5,21,0.826890761959047
5,22,0.872767171032359
5,23,0.88885006014421
6,0,0.878766482820871
6,1,0.868328855754169
6,2,0.849338177798146
6,3,0.831545474371347
6,4,0.826478758626409
6,5,0.847720428298819
6,6,0.904538443175748
6,7,0.981418090052929
6,8,1.05437678419023
6,9,1.1082838215738
6,10,1.1417423210444
6,11,1.15552840917849
6,12,1.15829322205279
6,13,1.16239494256151
6,14,1.17236784065744
6,15,1.17629096002063
6,16,1.16093896112193
6,17,1.12201011198196
6,18,1.06096541503669
6,19,0.984907806674104
6,20,0.916893271563679
6,21,0.881375928296029
6,22,0.876729010327027
6,23,0.878766482820871
7,0,0.858535416322512
7,1,0.843357327630169
7,2,0.81846628389954
7,3,0.795243966458464
7,4,0.788732038492955
7,5,0.818203486882872
7,6,0.89679023984946
7,7,1.00194176563595
7,8,1.09889320935537
7,9,1.1642954158571
7,10,1.19251286922861
7,11,1.18246354835958
7,12,1.15712669797746
7,13,1.15082308131889
7,14,1.17640810430922
7,15,1.20157618485023
7,16,1.19095472324876
7,17,1.13962342596099
7,18,1.06231054621058
7,19,0.975961829711885
7,20,0.902959757610946
7,21,0.865229961364901
7,22,0.859054703141038
7,23,0.858535416322511
