wday,hour,N
1,0,0.59501684665555
1,1,0.599524493957659
1,2,0.599079184710806
1,3,0.593219623718875
1,4,0.596323652279298
1,5,0.639924713076174
1,6,0.749530633768299
1,7,0.911584226381491
1,8,1.09903548394344
1,9,1.29009467293162
1,10,1.47114661832131
1,11,1.62785147897103
1,12,1.73452983897259
1,13,1.76019031887454
1,14,1.68932559564071
1,15,1.53896821249618
1,16,1.33138811716197
1,17,1.10210842191008
1,18,0.895191279727047
1,19,0.743498874811727
1,20,0.647266691012396
1,21,0.600484867344579
1,22,0.589699306677084
1,23,0.595016846655551
2,0,0.596810937006223
2,1,0.601303562903851
2,2,0.600118222375183
2,3,0.593723920314144
2,4,0.596906757479118
2,5,0.641004902181221
2,6,0.751229705051714
2,7,0.913349324750589
2,8,1.0995242826292
2,9,1.28817438648088
2,10,1.46744267733276
2,11,1.62458514726161
2,12,1.7331706325299
2,13,1.76034191993872
2,14,1.68959746057964
2,15,1.53881778928082
2,16,1.33125930412551
2,17,1.10234452383842
2,18,0.895334147867338
2,19,0.742734043445778
2,20,0.645737437947049
2,21,0.5994533973923
2,22,0.590224580281809
2,23,0.596810937006223
3,0,0.596673615721833
3,1,0.600089885548902
3,2,0.597838953407763
3,3,0.590343903916323
3,4,0.592750657654711
3,5,0.637226280952275
3,6,0.749514479388032
3,7,0.914110186218508
3,8,1.10129474883815
3,9,1.28891320592554
3,10,1.46655663373937
3,11,1.62295035718663
3,12,1.73191979295227
3,13,1.76028519689017
3,14,1.691091722196
3,15,1.54149985664964
3,16,1.33409278012662
3,17,1.10455464423884
3,18,0.89701056338734
3,19,0.744494589997201
3,20,0.647732054592959
3,21,0.601214116547355
3,22,0.591168158201722
3,23,0.596673615721833
4,0,0.594404592190163
4,1,0.598769831537048
4,2,0.598838388958471
4,3,0.593445050497327
4,4,0.59675055852382
4,5,0.640634071687643
4,6,0.750837222940685
4,7,0.913234979270725
4,8,1.09994613628949
4,9,1.28926967523045
4,10,1.46910543339405
4,11,1.62647425651664
4,12,1.7348574265134
4,13,1.7613811438838
4,14,1.68962278074828
4,15,1.53774116265753
4,16,1.3293114298981
4,17,1.10025325568991
4,18,0.894438955656709
4,19,0.744347479932635
4,20,0.649302875655749
4,21,0.602354454815986
4,22,0.59027424532122
4,23,0.594404592190163
5,0,0.594229922691116
5,1,0.599613122561865
5,2,0.600341730248261
5,3,0.594702291444859
5,4,0.597023541554172
5,5,0.640180673322686
5,6,0.750695786153231
5,7,0.913759957549705
5,8,1.10031363329526
5,9,1.28835378443033
5,10,1.46683735673193
5,11,1.62385161963543
5,12,1.73308976701182
5,13,1.76148027822447
5,14,1.69205278666774
5,15,1.54168965567055
5,16,1.33274230295685
5,17,1.10158647884159
5,18,0.893633869746577
5,19,0.742474639527469
5,20,0.647260496140855
5,21,0.600649347824776
5,22,0.589207035077339
5,23,0.594229922691116
6,0,0.798167422189795
6,1,0.798644113254349
6,2,0.796523900636976
6,3,0.793268077712821
6,4,0.796284414603006
6,5,0.819855433524459
6,6,0.875408753649048
6,7,0.956253919242991
6,8,1.04944454429542
6,9,1.14459048141846
6,10,1.23527355518975
6,11,1.31457703574722
6,12,1.3689113506195
6,13,1.38155833374706
6,14,1.34446726145367
6,15,1.26780411198227
6,16,1.16441291670223
6,17,1.05160457464578
6,18,0.9495668600258
6,19,0.873580553232319
6,20,0.824673276377176
6,21,0.801047455333993
6,22,0.795914232226138
6,23,0.798167422189795
7,0,0.898194403311772
7,1,0.898713497272084
7,2,0.897998929389443
7,3,0.897144245346238
7,4,0.899670415685388
7,5,0.911904769212063
7,6,0.938956297995538
7,7,0.978241791436222
7,8,1.02450897735676
7,9,1.07280808063768
7,10,1.11866235817488
7,11,1.15742437389072
7,12,1.18276794610277
7,13,1.18759085685147
7,14,1.16876591712651
7,15,1.13151190313894
7,16,1.08220246251441
7,17,1.02841984881718
7,18,0.978524404641549
7,19,0.939239358548867
7,20,0.912541388332564
7,21,0.899342560534653
7,22,0.896670810370516
7,23,0.898194403311772
