wday,hour,N
1,0,0.596088213234694
1,1,0.60070955671632
1,2,0.599346574331814
1,3,0.592357897069358
1,4,0.594774094499243
1,5,0.638588039220225
1,6,0.749522487023723
1,7,0.912927270477547
1,8,1.10022925147144
1,9,1.28958717997851
1,10,1.46961607474579
1,11,1.62797853363149
1,12,1.73763005716405
1,13,1.7646183006261
1,14,1.69208824277008
1,15,1.53912848506633
1,16,1.33029659521313
1,17,1.10111281213617
1,18,0.894159349223721
1,19,0.741462512792737
1,20,0.644345401569726
1,21,0.598143387840173
1,22,0.58920146996294
1,23,0.596088213234695
2,0,0.595556969692142
2,1,0.599252653208513
2,2,0.598632218696673
2,3,0.592809618624096
2,4,0.596051696724803
2,5,0.640143631612838
2,6,0.750705681265431
2,7,0.913400509843469
2,8,1.10010558947119
2,9,1.28903393774282
2,10,1.46824028527744
2,11,1.62493818276978
2,12,1.73293736252423
2,13,1.75975498586936
2,14,1.6889988590995
2,15,1.53810138237646
2,16,1.32989444003412
2,17,1.10046668056306
2,18,0.89444763462704
2,19,0.744787958697093
2,20,0.650433923274534
2,21,0.603922645905889
2,22,0.591826182407379
2,23,0.595556969692142
3,0,0.59453592987351
3,1,0.600108382994556
3,2,0.6001934984351
3,3,0.593863790949408
3,4,0.595870883765527
3,5,0.639093097388768
3,6,0.75005836999811
3,7,0.914109628647968
3,8,1.10237925590626
3,9,1.2924158586217
3,10,1.47173547287234
3,11,1.62716652527005
3,12,1.73326734934986
3,13,1.75884089378042
3,14,1.68822290924928
3,15,1.53839696279826
3,16,1.3315701995198
3,17,1.10288417992687
3,18,0.895814229278669
3,19,0.742999434104146
3,20,0.645508311248627
3,21,0.598308141821693
3,22,0.588120764325572
3,23,0.59453592987351
4,0,0.593754483798188
4,1,0.600057960094031
4,2,0.601974023055869
4,3,0.595944688047739
4,4,0.596210792579143
4,5,0.637590483224201
4,6,0.748253151861075
4,7,0.912749711512553
4,8,1.10059697150438
4,9,1.28907238772343
4,10,1.46750601635623
4,11,1.62439490436047
4,12,1.73338678806682
4,13,1.76114943623688
4,14,1.69074853987571
4,15,1.53972764578215
4,16,1.3311105709212
4,17,1.10116079267296
4,18,0.894671526584781
4,19,0.744648033470416
4,20,0.649777946362847
4,21,0.602329599522277
4,22,0.589429062588464
4,23,0.593754483798188
5,0,0.596744942329794
5,1,0.601716107570674
5,2,0.600934976805948
5,3,0.593516317348759
5,4,0.594579192352192
5,5,0.637745313019219
5,6,0.74994115677156
5,7,0.914861318331095
5,8,1.10132054482309
5,9,1.28708586134879
5,10,1.46382371284892
5,11,1.62208969550473
5,12,1.7341219129404
5,13,1.76353493048819
5,14,1.6920049717818
5,15,1.53919632600811
5,16,1.33046157012732
5,17,1.10167292202811
5,18,0.895478570984466
5,19,0.743789665813441
5,20,0.647306819470117
5,21,0.600705328575149
5,22,0.590622900398336
5,23,0.596744942329794
6,0,0.796833540579457
6,1,0.797414171872631
6,2,0.795979464824669
6,3,0.794269727909049
6,4,0.799044032073579
6,5,0.822863665160654
6,6,0.875954029033636
6,7,0.953661029157723
6,8,1.04616088624226
6,9,1.14380958215786
6,10,1.2372497785644
6,11,1.31671867000959
6,12,1.36903750946221
6,13,1.37944874648481
6,14,1.34133023144979
6,15,1.26514076880088
6,16,1.16378361965007
6,17,1.05357585489129
6,18,0.953032724134655
6,19,0.876444093863321
6,20,0.825839900816842
6,21,0.800735606562742
6,22,0.794838825718424
6,23,0.796833540579457
7,0,0.897314702242662
7,1,0.897878000944661
7,2,0.898397282910619
7,3,0.898076606163201
7,4,0.899843318079669
7,5,0.910929279850635
7,6,0.937275685209825
7,7,0.976259803493797
7,8,1.02229217948256
7,9,1.07040870063607
7,10,1.11661916875595
7,11,1.15669853281345
7,12,1.1838912775472
7,13,1.19026064189196
7,14,1.17199688386282
7,15,1.13396019503049
7,16,1.08233810099966
7,17,1.02605738834303
7,18,0.975809129758158
7,19,0.93934675267675
7,20,0.915888804412869
7,21,0.903096113996131
7,22,0.898046748655177
7,23,0.897314702242662
