wday,hour,N
1,0,0.999992143415992
1,1,0.999994554747792
1,2,0.99999749765095
1,3,1.00000058276859
1,4,1.00000350265901
1,5,1.00000604458307
1,6,1.00000802298283
1,7,1.00000937487905
1,8,1.00001007998651
1,9,1.00001012287539
1,10,1.00000949557552
1,11,1.00000820699014
1,12,1.00000639492994
1,13,1.00000425840527
1,14,1.00000195252281
1,15,0.999999539529515
1,16,0.999997077433555
1,17,0.999994710895008
1,18,0.999992640464613
1,19,0.999991053895976
1,20,0.999990099451511
1,21,0.999989915279825
1,22,0.999990584661141
1,23,0.999992143415992
2,0,1.00012428844219
2,1,1.00010361934839
2,2,1.00007515764074
2,3,1.00004275262996
2,4,1.00000895177649
2,5,0.999974797464973
2,6,0.999941395875966
2,7,0.999910679310555
2,8,0.999884869797362
2,9,0.999866341555812
2,10,0.999857704254129
2,11,0.999861183302505
2,12,0.99987579160426
2,13,0.999899010046486
2,14,0.999928300200086
2,15,0.999961102914449
2,16,0.999994958382474
2,17,1.00002859199744
2,18,1.00006149291232
2,19,1.00009228084246
2,20,1.00011703790222
2,21,1.00013152502319
2,22,1.00013387833336
2,23,1.00012428844219
3,0,1.00002332605582
3,1,1.00000917474815
3,2,0.999994107114282
3,3,0.999979967407994
3,4,0.999968140060607
3,5,0.999959477900354
3,6,0.999954632770099
3,7,0.99995329756086
3,8,0.999954834238281
3,9,0.999958751340858
3,10,0.999964785113819
3,11,0.999972690702582
3,12,0.999982217792755
3,13,0.999993112461289
3,14,1.00000495757729
3,15,1.00001699379702
3,16,1.00002840190323
3,17,1.00003816757813
3,18,1.00004515087252
3,19,1.00004844866214
3,20,1.00004784508571
3,21,1.00004326385098
3,22,1.00003492934941
3,23,1.00002332605582
4,0,1.00002224310411
4,1,1.00000024089344
4,2,0.999977551845809
4,3,0.999957387538349
4,4,0.999941734934483
4,5,0.99993116521549
4,6,0.999926138941818
4,7,0.999926938976973
4,8,0.999933772456358
4,9,0.999946009283242
4,10,0.999961721747228
4,11,0.99997895019463
4,12,0.999996367760874
4,13,1.00001295051229
4,14,1.00002786656993
4,15,1.00004068289605
4,16,1.0000510294513
4,17,1.00005868473111
4,18,1.0000635228069
4,19,1.00006516743674
4,20,1.00006251775664
4,21,1.00005440241697
4,22,1.00004070942515
4,23,1.00002224310411
5,0,1.00066275409227
5,1,1.00045020834605
5,2,1.00020932947153
5,3,0.999986150397044
5,4,0.999803198382555
5,5,0.999655825664994
5,6,0.999537133173618
5,7,0.999436094741014
5,8,0.999340536500883
5,9,0.999255506831985
5,10,0.999212750825733
5,11,0.999242038318426
5,12,0.999339214255607
5,13,0.999483976692893
5,14,0.999660949388028
5,15,0.999865294214017
5,16,1.00009251248746
5,17,1.00032662592633
5,18,1.00054425020403
5,19,1.00072202509914
5,20,1.00083701479477
5,21,1.00086724368969
5,22,1.00080661240966
5,23,1.00066275409227
6,0,1.00015933690011
6,1,1.00025287507154
6,2,1.0003258106694
6,3,1.00037349815397
6,4,1.00039431066927
6,5,1.00039011127493
6,6,1.00036264107651
6,7,1.00031187094128
6,8,1.00023721569939
6,9,1.00014165209565
6,10,1.00003367880034
6,11,0.999921922527622
6,12,0.999812254539159
6,13,0.999709250155614
6,14,0.999620408749406
6,15,0.999559378392404
6,16,0.999539551964932
6,17,0.99956235531592
6,18,0.999621492763278
6,19,0.999709677802069
6,20,0.999817143961808
6,21,0.999933745322528
6,22,1.00005048025278
6,23,1.00015933690011
7,0,1.00000045955523
7,1,1.00000065673355
7,2,1.00000081078017
7,3,1.00000093883341
7,4,1.00000104294422
7,5,1.00000110772086
7,6,1.00000111608305
7,7,1.0000010469388
7,8,1.00000087807675
7,9,1.00000060380388
7,10,1.00000024403268
7,11,0.999999823464587
7,12,0.999999387340582
7,13,0.99999899068128
7,14,0.999998686112632
7,15,0.999998521112497
7,16,0.999998536958982
7,17,0.999998710393814
7,18,0.99999897653325
7,19,0.999999280663547
7,20,0.999999599321147
7,21,0.9999999145849
7,22,1.00000020777496
7,23,1.00000045955523
