wday,hour,N
1,0,0.844170180656754
1,1,0.825519467800313
1,2,0.831207615558088
1,3,0.836128857610585
1,4,0.837672466134239
1,5,0.859234342045758
1,6,0.918719529852239
1,7,0.995201511746709
1,8,1.05454243545966
1,9,1.07988435734868
1,10,1.08117420049292
1,11,1.0707411948552
1,12,1.06152220423793
1,13,1.06669578590739
1,14,1.09163687475473
1,15,1.12535248540883
1,16,1.15501828255224
1,17,1.17047975207887
1,18,1.16330780750301
1,19,1.12805254355649
1,20,1.06775110966019
1,21,0.987594968307456
1,22,0.904221845814959
1,23,0.844170180656754
2,0,0.909136361527855
2,1,0.865936181938228
2,2,0.837141160684659
2,3,0.821221748332177
2,4,0.821690483693124
2,5,0.847889089519553
2,6,0.905257709375095
2,7,0.975587430315453
2,8,1.03266414373132
2,9,1.06324087296485
2,10,1.07418249031146
2,11,1.07407884668628
2,12,1.0714795055754
2,13,1.07488542590663
2,14,1.08802482462426
2,15,1.10461773786911
2,16,1.11741399223333
2,17,1.12253464384553
2,18,1.11827536018726
2,19,1.10259411554064
2,20,1.07237323495479
2,21,1.02479351407187
2,22,0.965844764583278
2,23,0.909136361527855
3,0,0.910577773949187
3,1,0.865565278879299
3,2,0.840642085738929
3,3,0.836507911054596
3,4,0.852028186571682
3,5,0.883947718044401
3,6,0.928125943374569
3,7,0.976129051572802
3,8,1.01808049793851
3,9,1.04708954423927
3,10,1.06089577496848
3,11,1.05867894531361
3,12,1.04789296731479
3,13,1.03992019368574
3,14,1.04336223373366
3,15,1.06093852717831
3,16,1.09353675318606
3,17,1.12936065935022
3,18,1.14843699646415
3,19,1.13681624964716
3,20,1.09826852828361
3,21,1.039937570904
3,22,0.9726828346578
3,23,0.910577773949187
4,0,0.898461086404951
4,1,0.846573537986395
4,2,0.817326638811142
4,3,0.815301337301084
4,4,0.839247849883556
4,5,0.881175453987546
4,6,0.932795195590555
4,7,0.986250480994928
4,8,1.03384368233604
4,9,1.0683968248192
4,10,1.08353716199596
4,11,1.07492742616754
4,12,1.05384539607834
4,13,1.03897550025175
4,14,1.04259646158151
4,15,1.06345808648198
4,16,1.09784315561173
4,17,1.1331588227022
4,18,1.15109157062305
4,19,1.13875034408568
4,20,1.09911635662488
4,21,1.0382521131227
4,22,0.966614430152356
4,23,0.898461086404951
5,0,0.877196891512555
5,1,0.860423207660062
5,2,0.863366224720227
5,3,0.876504150144101
5,4,0.896099189855007
5,5,0.925100459911131
5,6,0.965531696422959
5,7,1.01215415003748
5,8,1.05721127837006
5,9,1.09336198290225
5,10,1.1139130322015
5,11,1.11350800193039
5,12,1.0969643821526
5,13,1.07394920647692
5,14,1.05381614771976
5,15,1.04519910493785
5,16,1.05521469421105
5,17,1.07439471756141
5,18,1.08257731643347
5,19,1.06561688289134
5,20,1.02718656130523
5,21,0.974406306502292
5,22,0.919107522627797
5,23,0.877196891512555
6,0,0.93756577508729
6,1,0.904401381558988
6,2,0.88448820436958
6,3,0.878703859064445
6,4,0.885244341912903
6,5,0.899205415461716
6,6,0.916560299507192
6,7,0.939158558148015
6,8,0.970769880775562
6,9,1.0078009824874
6,10,1.03524278905165
6,11,1.03982416812599
6,12,1.02987495215823
6,13,1.02398699593301
6,14,1.03450273354312
6,15,1.06052654697748
6,16,1.09861228721961
6,17,1.13504166425614
6,18,1.14947729639327
6,19,1.12953502407679
6,20,1.08602589823891
6,21,1.03363807100913
6,22,0.982247099556307
6,23,0.93756577508729
7,0,0.98644790576759
7,1,0.945803603616171
7,2,0.913102213992496
7,3,0.889060634955204
7,4,0.875294618328354
7,5,0.874459085358781
7,6,0.888156285472253
7,7,0.911774116240071
7,8,0.938570677488132
7,9,0.963636955616865
7,10,0.984908273257499
7,11,1.00105221171789
7,12,1.01460859845551
7,13,1.02995193445832
7,14,1.04953693612089
7,15,1.07176868842779
7,16,1.0944127043644
7,17,1.11372729879964
7,18,1.12499900016362
7,19,1.1240951754589
7,20,1.10860059523811
7,21,1.07674555258481
7,22,1.03283902834912
7,23,0.98644790576759
