wday,hour,N
1,0,0.894978048947404
1,1,0.910193692233831
1,2,0.936910578216021
1,3,0.964749740738839
1,4,0.989143755539341
1,5,1.0122439515777
1,6,1.03568320445918
1,7,1.05609901912714
1,8,1.06845834789321
1,9,1.07168987360884
1,10,1.07086566401881
1,11,1.07093675114779
1,12,1.07169604718505
1,13,1.07047957644931
1,14,1.06507525772412
1,15,1.05425039815391
1,16,1.03707976867188
1,17,1.01477878389741
1,18,0.989943451223308
1,19,0.964726997073505
1,20,0.939942775269682
1,21,0.916381010375183
1,22,0.89871525752113
1,23,0.894978048947404
2,0,0.895582637923399
2,1,0.910311106992382
2,2,0.935962821181809
2,3,0.963835214255189
2,4,0.989524940255297
2,5,1.01359900371779
2,6,1.03637832111478
2,7,1.05525749700319
2,8,1.06666595332727
2,9,1.07016001695995
2,10,1.07014430058413
2,11,1.07087596595844
2,12,1.07212902860115
2,13,1.07154107594022
2,14,1.0669735851027
2,15,1.05678513922814
2,16,1.03960788210576
2,17,1.01652643925274
2,18,0.990207460740536
2,19,0.963123132518754
2,20,0.937110407636667
2,21,0.914024698256124
2,22,0.898090733420177
2,23,0.895582637923399
3,0,0.895490923791107
3,1,0.911250574865923
3,2,0.937951026715287
3,3,0.965595326034329
3,4,0.989785076859332
3,5,1.01259440392392
3,6,1.03559565868295
3,7,1.05553591024957
3,8,1.06755008898038
3,9,1.07069193682512
3,10,1.07009196423958
3,11,1.07072114083294
3,12,1.07213202996275
3,13,1.07129750734803
3,14,1.06585649832613
3,15,1.0548780024532
3,16,1.03775100262884
3,17,1.01549095398323
3,18,0.99016254421596
3,19,0.963744013828443
3,20,0.937914630369363
3,21,0.914457123719548
3,22,0.897970737372967
3,23,0.895490923791107
4,0,0.895960298389601
4,1,0.911310398352247
4,2,0.937646834463723
4,3,0.965818586139464
4,4,0.991253083774309
4,5,1.0146709282926
4,6,1.03660398990954
4,7,1.05487815748296
4,8,1.06642114587942
4,9,1.07071237357053
4,10,1.07118786358472
4,11,1.07122340026177
4,12,1.07101339191174
4,13,1.06923405622802
4,14,1.06437679195201
4,15,1.0545650256796
4,16,1.03809321190933
4,17,1.01578263994627
4,18,0.990084662190537
4,19,0.963325503755859
4,20,0.937393304927052
4,21,0.914234590730843
4,22,0.898249462278257
4,23,0.895960298389601
5,0,0.895621421617105
5,1,0.910449467386389
5,2,0.936318907984536
5,3,0.964374951350085
5,4,0.990165179223101
5,5,1.01432678014974
5,6,1.03723802786702
5,7,1.05624193691351
5,8,1.06767892997072
5,9,1.07104423398078
5,10,1.07072466460214
5,11,1.07097743082712
5,12,1.07168872634205
5,13,1.07066135051319
5,14,1.06585114295863
5,15,1.05556178761399
5,16,1.03836000246868
5,17,1.01536110394367
5,18,0.989324358375161
5,19,0.962730527522013
5,20,0.937180424460056
5,21,0.914265480767323
5,22,0.898231741545878
5,23,0.895621421617105
6,0,0.895778089114186
6,1,0.910741282346283
6,2,0.936760073728489
6,3,0.964485468733018
6,4,0.989490374473393
6,5,1.01303793365463
6,6,1.03604605960221
6,7,1.055727197574
6,8,1.06805917571678
6,9,1.07223252195295
6,10,1.07241945356067
6,11,1.07269099836714
6,12,1.07291129682281
6,13,1.07094030302225
6,14,1.06494411119169
6,15,1.05375669917361
6,16,1.03646368280425
6,17,1.01409832553107
6,18,0.98895020621015
6,19,0.963099334541494
6,20,0.937962652208924
6,21,0.915002530860186
6,22,0.898624139695632
6,23,0.895778089114186
7,0,0.895331895164565
7,1,0.909476302134782
7,2,0.935000138176855
7,3,0.962962278481076
7,4,0.988881477712077
7,5,1.01343257994223
7,6,1.03698670838884
7,7,1.05660828287313
7,8,1.06827024762004
7,9,1.07142918847978
7,10,1.07094312478856
7,11,1.07150638267598
7,12,1.07282326457327
7,13,1.07222040308534
7,14,1.06732380677236
7,15,1.05641800635903
7,16,1.03812929139955
7,17,1.01409295701336
7,18,0.987884820520166
7,19,0.962344428190295
7,20,0.938100369124632
7,21,0.915590058330436
7,22,0.898912093029079
7,23,0.895331895164565
