wday,hour,N
1,0,0.192844582241192
1,1,0.116038475768513
1,2,0.0586306390376416
1,3,0.0662497889149892
1,4,0.193971525328419
1,5,0.507793037896621
1,6,1.03278157373463
1,7,1.56156827389981
1,8,1.80942516004794
1,9,1.69829672739914
1,10,1.47059555597119
1,11,1.36927332220428
1,12,1.422633276913
1,13,1.55665346493777
1,14,1.70231124348887
1,15,1.80238944652835
1,16,1.80339674235579
1,17,1.67787383678424
1,18,1.41518812934649
1,19,1.03669041855783
1,20,0.654926767372071
1,21,0.392724031079586
1,22,0.264899397950446
1,23,0.192844582241192
2,0,0.207393993728855
2,1,0.132788178459722
2,2,0.0724535875165469
2,3,0.0676425309912089
2,4,0.1781736597885
2,5,0.485330266123965
2,6,1.02527241002551
2,7,1.57497333407232
2,8,1.82503453673989
2,9,1.68994659590782
2,10,1.43136838576657
2,11,1.31185839056731
2,12,1.36394934148712
2,13,1.51050973439935
2,14,1.67838656344252
2,15,1.80418635724235
2,16,1.8281047773843
2,17,1.71777520756952
2,18,1.45856777957167
2,19,1.07099955580031
2,20,0.67583930289499
2,21,0.405358186245988
2,22,0.276693330544817
2,23,0.207393993728856
3,0,0.213093255157572
3,1,0.134983201898934
3,2,0.0739530569315516
3,3,0.0673745072531483
3,4,0.17337904724229
3,5,0.47409869047518
3,6,1.00694689925855
3,7,1.55162435044858
3,8,1.80193064411161
3,9,1.67304871209968
3,10,1.42344507629798
3,11,1.31228018340895
3,12,1.36970909964701
3,13,1.51672128513866
3,14,1.68024299007361
3,15,1.80106024845687
3,16,1.82378468781178
3,17,1.71721259118914
3,18,1.46577719654428
3,19,1.08798732490009
3,20,0.699622381685491
3,21,0.427787399136216
3,22,0.290843915675246
3,23,0.213093255157572
4,0,0.218069382502713
4,1,0.137779640791523
4,2,0.0799038300766949
4,3,0.0740027962491895
4,4,0.174428765304468
4,5,0.46419540422434
4,6,0.982724848926499
4,7,1.51658009423687
4,8,1.76799005445946
4,9,1.65334803160636
4,10,1.42113892852153
4,11,1.32060075484737
4,12,1.38008202168776
4,13,1.52264057405817
4,14,1.67805822987272
4,15,1.79157732911201
4,16,1.81222738373738
4,17,1.71043275973155
4,18,1.47045273312798
4,19,1.10842794250275
4,20,0.731544211320903
4,21,0.457831005686647
4,22,0.307893894912397
4,23,0.218069382502713
5,0,0.240024376137164
5,1,0.152643625321146
5,2,0.0903668421303171
5,3,0.083757872538151
5,4,0.179740713687947
5,5,0.444153416934797
5,6,0.906641299648459
5,7,1.38843030564321
5,8,1.6412649214826
5,9,1.5952738720911
5,10,1.45719420927977
5,11,1.43277679188285
5,12,1.53097374213727
5,13,1.6669950264832
5,14,1.7726356581151
5,15,1.81568145642557
5,16,1.7697815220575
5,17,1.62406247211776
5,18,1.37765725874777
5,19,1.05062243849258
5,20,0.722722719759012
5,21,0.480302590760348
5,22,0.336272491989227
5,23,0.240024376137164
6,0,0.34402749978899
6,1,0.260073007058731
6,2,0.192676543654858
6,3,0.173075349100398
6,4,0.22234023284297
6,5,0.349788542666511
6,6,0.561067567928087
6,7,0.844951636953654
6,8,1.18390336659069
6,9,1.53362379431776
6,10,1.80834263806963
6,11,1.93098438216716
6,12,1.92185604811479
6,13,1.84759615268565
6,14,1.75766837365554
6,15,1.6649210525984
6,16,1.57494609099173
6,17,1.46257658556774
6,18,1.28283144771894
6,19,1.02048284829055
6,20,0.746839763310544
6,21,0.544752980447634
6,22,0.426646595690042
6,23,0.34402749978899
7,0,0.325964262378081
7,1,0.218672639248125
7,2,0.158485235901763
7,3,0.15270506041128
7,4,0.195349764511107
7,5,0.265077731712004
7,6,0.351146654620177
7,7,0.506912352152417
7,8,0.806558569112268
7,9,1.23696731548257
7,10,1.64966823440469
7,11,1.90244668618648
7,12,1.99523581380707
7,13,1.99564050417631
7,14,1.95307679545001
7,15,1.87794332296068
7,16,1.77456042264818
7,17,1.63370164222397
7,18,1.43741592780481
7,19,1.18280729247858
7,20,0.910704744662743
7,21,0.668211299581832
7,22,0.474783465706779
7,23,0.325964262378081
