wday,hour,N
1,0,0.998673754627759
1,1,0.998806496308605
1,2,0.9989968723323
1,3,0.999250564321087
1,4,0.999566099845889
1,5,0.999933735642411
1,6,1.00034053502389
1,7,1.00075826990866
1,8,1.00115333555046
1,9,1.00148847967168
1,10,1.00172080459397
1,11,1.00181031079491
1,12,1.00174387170145
1,13,1.00152125591432
1,14,1.00115533506572
1,15,1.00068629231529
1,16,1.00015919055543
1,17,0.999635841120741
1,18,0.999188840637169
1,19,0.998870891217698
1,20,0.998676950256716
1,21,0.998591534416398
1,22,0.99859698354969
1,23,0.998673754627759
2,0,1.00134099151189
2,1,1.00127616564593
2,2,1.00110972933897
2,3,1.00084892512265
2,4,1.00051092362125
2,5,1.00012437337761
2,6,0.999719766178115
2,7,0.999334330344137
2,8,0.999007427511706
2,9,0.998765905596693
2,10,0.998617212604176
2,11,0.998565963898812
2,12,0.998607532059967
2,13,0.998732896306245
2,14,0.998935325319601
2,15,0.999212945703816
2,16,0.999562185106827
2,17,0.999952609817829
2,18,1.0003364652985
2,19,1.00067475320826
2,20,1.00095449328843
2,21,1.00116716868247
2,22,1.00130091894422
2,23,1.00134099151189
3,0,0.999998930191247
3,1,0.999998989535752
3,2,0.999999056569908
3,3,0.99999915912032
3,4,0.999999320323441
3,5,0.999999557893421
3,6,0.999999884701788
3,7,1.00000028821235
3,8,1.0000007465556
3,9,1.00000120782386
3,10,1.00000157356412
3,11,1.0000017516912
3,12,1.00000173248934
3,13,1.00000154553811
3,14,1.00000122320042
3,15,1.00000080316861
3,16,1.00000032502088
3,17,0.999999842457788
3,18,0.999999418278037
3,19,0.999999102469807
3,20,0.999998907734916
3,21,0.999998838260849
3,22,0.999998865006978
3,23,0.999998930191247
4,0,1.00000121428686
4,1,1.00000091825575
4,2,1.00000056674256
4,3,1.00000014940328
4,4,0.999999675906085
4,5,0.999999179055373
4,6,0.999998698849428
4,7,0.999998308329817
4,8,0.999998091167488
4,9,0.999998079569944
4,10,0.999998225958461
4,11,0.999998478755277
4,12,0.999998809129923
4,13,0.999999199114337
4,14,0.999999633219328
4,15,1.0000001010138
4,16,1.0000005896497
4,17,1.00000105077813
4,18,1.00000141316624
4,19,1.00000162499596
4,20,1.000001691394
4,21,1.00000162810796
4,22,1.00000145886346
4,23,1.00000121428686
5,0,1.00000125564391
5,1,0.999999054207545
5,2,0.999996866732063
5,3,0.999994838161541
5,4,0.999993124317923
5,5,0.999991893599112
5,6,0.999991298441077
5,7,0.999991398041534
5,8,0.999992217757428
5,9,0.999993697289593
5,10,0.999995643622333
5,11,0.999997855248094
5,12,1.0000001538857
5,13,1.00000237247791
5,14,1.00000436805745
5,15,1.0000060480305
5,16,1.00000732508177
5,17,1.00000809952268
5,18,1.00000826373489
5,19,1.00000776279991
5,20,1.00000669377331
5,21,1.00000518020557
5,22,1.00000333372425
5,23,1.00000125564391
6,0,1.0000007565347
6,1,0.999999988463103
6,2,0.999999244395918
6,3,0.999998518003902
6,4,0.999997829746891
6,5,0.999997231055714
6,6,0.99999677734073
6,7,0.999996536626815
6,8,0.999996580575108
6,9,0.999996935905638
6,10,0.999997559672882
6,11,0.999998400533659
6,12,0.999999388045614
6,13,1.00000044256516
6,14,1.00000146923237
6,15,1.00000234139624
6,16,1.00000293742099
6,17,1.00000324050796
6,18,1.00000330148174
6,19,1.00000315871464
6,20,1.00000281151729
6,21,1.00000225519791
6,22,1.00000153853033
6,23,1.0000007565347
7,0,1.00000943272936
7,1,1.00001114470217
7,2,1.00001184694313
7,3,1.00001153830223
7,4,1.00001033460767
7,5,1.00000848692674
7,6,1.00000622466967
7,7,1.00000361390556
7,8,1.00000066568004
7,9,0.999997496647369
7,10,0.999994387243481
7,11,0.999991625143585
7,12,0.999989443626395
7,13,0.99998804952848
7,14,0.999987568021185
7,15,0.999987953359066
7,16,0.999989137464416
7,17,0.999991042833989
7,18,0.99999358585254
7,19,0.999996651922521
7,20,1.00000003761715
7,21,1.00000351863481
7,22,1.00000678090909
7,23,1.00000943272936
