time,N
1,1.02953673414966
2,1.0299463574743
3,1.03035366474831
4,1.03075866732071
5,1.03116137654056
6,1.03156180375688
7,1.03195996031872
8,1.03235585757511
9,1.0327495068751
10,1.03314091956772
11,1.03353010700201
12,1.033917080527
13,1.03430185149175
14,1.03468443124528
15,1.03506483113663
16,1.03544306251485
17,1.03581913672897
18,1.03619306512803
19,1.03656485906106
20,1.03693452987712
21,1.03730208892523
22,1.03766754755444
23,1.03803091711378
24,1.03839220895229
25,1.03875143441901
26,1.03910860486298
27,1.03946373163323
28,1.03981682607882
29,1.04016789954876
30,1.04051696339211
31,1.04086402895791
32,1.04120910759518
33,1.04155221065297
34,1.04189334948032
35,1.04223253542626
36,1.04256977983984
37,1.04290509407009
38,1.04323848946606
39,1.04356997737677
40,1.04389956915127
41,1.0442272761386
42,1.04455309325457
43,1.04487672040573
44,1.04519760232349
45,1.04551517532546
46,1.04582887572925
47,1.04613813985246
48,1.0464424040127
49,1.04674110452757
50,1.04703367771469
51,1.04731955989165
52,1.04759818737607
53,1.04786899648555
54,1.0481314235377
55,1.04838490485012
56,1.04862887674042
57,1.0488627755262
58,1.04908603752508
59,1.04929809905465
60,1.04949839643253
61,1.04968636597632
62,1.04986144400363
63,1.05002306683206
64,1.05017067077922
65,1.05030369216272
66,1.05042156730016
67,1.05052373250915
68,1.05060962410729
69,1.05067867841219
70,1.05073033174146
71,1.05076402041271
72,1.05077918074353
73,1.05077524905154
74,1.05075166165435
75,1.05070785486955
76,1.05064326501476
77,1.05055732840758
78,1.05044948136561
79,1.05031916020648
80,1.05016580124777
81,1.0499888408071
82,1.0497877154285
83,1.04956208718805
84,1.04931226690601
85,1.04903868133878
86,1.04874175724276
87,1.04842192137436
88,1.04807960048997
89,1.04771522134601
90,1.04732921069887
91,1.04692199530496
92,1.04649400192068
93,1.04604565730243
94,1.04557738820662
95,1.04508962138965
96,1.04458278360791
97,1.04405730161783
98,1.04351360217579
99,1.0429521120382
100,1.04237325796146
101,1.04177746670199
102,1.04116516501616
103,1.04053677966041
104,1.03989273739111
105,1.03923346496469
106,1.03855938913753
107,1.03787093666605
108,1.03716853430664
109,1.03645260881572
110,1.03572358694967
111,1.03498189546491
112,1.03422796111784
113,1.03346221066486
114,1.03268507086237
115,1.03189696846678
116,1.03109833023449
117,1.0302895829219
118,1.02947115328542
119,1.02864346808144
120,1.02780695406638
121,1.02696203799662
122,1.02610914662859
123,1.02524869466778
