wday,hour,N
1,0,0.740528057743538
1,1,0.720525297465859
1,2,0.726830054676861
1,3,0.775587092762868
1,4,0.864202770451819
1,5,0.968419881271545
1,6,1.06451133125532
1,7,1.13846899001949
1,8,1.17982089226655
1,9,1.18754401983659
1,10,1.17525596455498
1,11,1.15756037897937
1,12,1.14689008161738
1,13,1.15457242902072
1,14,1.1805213238872
1,15,1.20073005180492
1,16,1.18996150233708
1,17,1.14369006832385
1,18,1.07075428123105
1,19,0.982086310038594
1,20,0.894000074282982
1,21,0.823098736713569
1,22,0.773912351714324
1,23,0.740528057743539
2,0,0.853997556996708
2,1,0.8028644536267
2,2,0.744639453000768
2,3,0.716923668962922
2,4,0.74308286173761
2,5,0.830025226622804
2,6,0.975412146365559
2,7,1.13029246814997
2,8,1.23014021923665
2,9,1.24819800205446
2,10,1.21627492849429
2,11,1.17018534301029
2,12,1.13754183456355
2,13,1.14190085020788
2,14,1.18325811365939
2,15,1.21225307740403
2,16,1.17836313440086
2,17,1.08980415190765
2,18,0.992676614153084
2,19,0.922584394301735
2,20,0.883121009428772
2,21,0.871407045784758
2,22,0.871055888932853
2,23,0.853997556996708
3,0,0.802303692030765
3,1,0.770923926363671
3,2,0.756236537179606
3,3,0.784681430308565
3,4,0.861328380217429
3,5,0.966541043506601
3,6,1.07840133729815
3,7,1.16992422800035
3,8,1.2127354000897
3,9,1.20079154803673
3,10,1.16266517308494
3,11,1.12812787671414
3,12,1.11282614049061
3,13,1.12558047978831
3,14,1.16054180238926
3,15,1.18118587356496
3,16,1.15089787730705
3,17,1.07691208140646
3,18,0.994743152180986
3,19,0.931081626765446
3,20,0.885879121825212
3,21,0.854201384588849
3,22,0.829186194831446
3,23,0.802303692030765
4,0,0.762446010545494
4,1,0.743038522223814
4,2,0.743060576191201
4,3,0.768728098936862
4,4,0.821477766069892
4,5,0.897220936880493
4,6,0.989583289511535
4,7,1.08112276998484
4,8,1.15077551869501
4,9,1.19102330134157
4,10,1.21534959062505
4,11,1.23715655180984
4,12,1.25485318503358
4,13,1.25971078416935
4,14,1.24492428264617
4,15,1.20781481825915
4,16,1.14711151063199
4,17,1.07187135473453
4,18,0.997809745063143
4,19,0.936026253948019
4,20,0.884023570488136
4,21,0.837131527022027
4,22,0.795294024642811
4,23,0.762446010545494
5,0,0.797301080743184
5,1,0.747230359775438
5,2,0.70312890725233
5,3,0.712554191686258
5,4,0.788932841435574
5,5,0.906232646473432
5,6,1.03626830099306
5,7,1.15110587659498
5,8,1.22316982152721
5,9,1.24114388010211
5,10,1.21891356953348
5,11,1.17358162898017
5,12,1.13058423233918
5,13,1.11920462657843
5,14,1.14814341186233
5,15,1.18288810338945
5,16,1.18582208198575
5,17,1.14649822317441
5,18,1.07200391306843
5,19,0.975499799129821
5,20,0.886775944524503
5,21,0.836564112081768
5,22,0.819151366025519
5,23,0.797301080743184
6,0,0.819044952341953
6,1,0.802579199830543
6,2,0.803483156015042
6,3,0.836955466588711
6,4,0.902997724335964
6,5,0.984042131661275
6,6,1.0620931160584
6,7,1.12223784594337
6,8,1.15087149691044
6,9,1.14856897201272
6,10,1.137882084064
6,11,1.1402934905116
6,12,1.15378128487293
6,13,1.16512932295773
6,14,1.16339655789913
6,15,1.14255757148336
6,16,1.09826014770238
6,17,1.03840757820118
6,18,0.978805536731104
6,19,0.931012040193686
6,20,0.893987630010254
6,21,0.864487015513372
6,22,0.840080725818913
6,23,0.819044952341953
7,0,0.792089519847765
7,1,0.756174574565766
7,2,0.739299966704757
7,3,0.754837694188279
7,4,0.806274497742052
7,5,0.885668721825997
7,6,0.982600232437092
7,7,1.07634233821253
7,8,1.14280699605247
7,9,1.17120221789064
7,10,1.17135047693621
7,11,1.15523185005577
7,12,1.13787853830876
7,13,1.13570996796123
7,14,1.15407274134924
7,15,1.1750749778383
7,16,1.17889150398405
7,17,1.15723897059732
7,18,1.10928451784263
7,19,1.0384539114995
7,20,0.96006588897066
7,21,0.890928530106098
7,22,0.836431845235148
7,23,0.792089519847765
