wday,hour,N
1,0,0.862515402667555
1,1,0.837636064815907
1,2,0.826798546261409
1,3,0.834872398438121
1,4,0.862094869032342
1,5,0.903347775740689
1,6,0.953079376489033
1,7,1.00498116427569
1,8,1.05251601381249
1,9,1.09121452471651
1,10,1.11981267962717
1,11,1.13750224894434
1,12,1.14490495128326
1,13,1.14332789184317
1,14,1.13464808434466
1,15,1.12192883290588
1,16,1.10795633555638
1,17,1.09055894721715
1,18,1.06436909992394
1,19,1.02664074522977
1,20,0.982321998312874
1,21,0.937627709862834
1,22,0.896828936031267
1,23,0.862515402667555
2,0,0.911160801332879
2,1,0.908561471679843
2,2,0.911017299120096
2,3,0.922615981968787
2,4,0.944234497135634
2,5,0.973037890137366
2,6,1.00578419867689
2,7,1.03811098795974
2,8,1.06529597743836
2,9,1.08439728133294
2,10,1.09523323194308
2,11,1.09793608401179
2,12,1.09324550718731
2,13,1.08219649272366
2,14,1.06674523096327
2,15,1.05077592379406
2,16,1.03787274112305
2,17,1.02530976924502
2,18,1.00629396702954
2,19,0.977843126033938
2,20,0.948132092972093
2,21,0.926898449328003
2,22,0.916140195529783
2,23,0.911160801332879
3,0,0.894198139823575
3,1,0.889525732097397
3,2,0.893660598121302
3,3,0.90885692595111
3,4,0.934474377960907
3,5,0.96652624062071
3,6,1.00117522990522
3,7,1.03646330236998
3,8,1.0710542763732
3,9,1.10172593397737
3,10,1.12233168429443
3,11,1.12750838433678
3,12,1.12011259577381
3,13,1.10690234431064
3,14,1.09169077030126
3,15,1.07206497458181
3,16,1.04528260932794
3,17,1.01388512565649
3,18,0.983821015133415
3,19,0.959240939196602
3,20,0.938960661278491
3,21,0.920962301096282
3,22,0.905377697687695
3,23,0.894198139823575
4,0,0.900568954744757
4,1,0.900041876123128
4,2,0.908096249867634
4,3,0.924582406590031
4,4,0.948620157276458
4,5,0.978484755447896
4,6,1.01211192780033
4,7,1.045800761321
4,8,1.07529849238718
4,9,1.09737882596142
4,10,1.11040737875562
4,11,1.11318751705252
4,12,1.10691155454506
4,13,1.09390862487133
4,14,1.07612472729987
4,15,1.05468771667906
4,16,1.03067170317972
4,17,1.00572361003292
4,18,0.981859312938221
4,19,0.960498919672842
4,20,0.941331090789765
4,21,0.923835678869208
4,22,0.909298803049277
4,23,0.900568954744757
5,0,0.906642119242598
5,1,0.911196781565256
5,2,0.922682507004049
5,3,0.941072346065247
5,4,0.965439028311266
5,5,0.993814417669276
5,6,1.02406006012174
5,7,1.05340889456694
5,8,1.07887824330715
5,9,1.09766010155435
5,10,1.10721754761473
5,11,1.10550888298331
5,12,1.09424012657861
5,13,1.07690274574516
5,14,1.05671765581203
5,15,1.036315344526
5,16,1.01796770254159
5,17,1.00064219369965
5,18,0.981176258836875
5,19,0.958229609031596
5,20,0.935805933180364
5,21,0.918713757345426
5,22,0.909065623454195
5,23,0.906642119242598
6,0,0.835734193990899
6,1,0.956234122533405
6,2,1.06549279853953
6,3,1.12300713352828
6,4,1.12563327125118
6,5,1.11341855439308
6,6,1.12214318054282
6,7,1.15024681770913
6,8,1.18324034037948
6,9,1.20976659541829
6,10,1.22334318855699
6,11,1.21817193135253
6,12,1.19055816478151
6,13,1.13784993848729
6,14,1.06383053394368
6,15,0.985764944149308
6,16,0.920925414381946
6,17,0.866934048512067
6,18,0.808746096505374
6,19,0.741719570341272
6,20,0.691743871858322
6,21,0.688912838077323
6,22,0.740848256775413
6,23,0.835734193990899
7,0,0.995267030226087
7,1,0.822133576773615
7,2,0.668281399434163
7,3,0.578597068884822
7,4,0.568256739814589
7,5,0.61808820345173
7,6,0.706636654221001
7,7,0.810381061212617
7,8,0.905280831610691
7,9,0.979219584853733
7,10,1.03856458722771
7,11,1.09021814363633
7,12,1.13270445217781
7,13,1.16057998958075
7,14,1.17285253405182
7,15,1.17791582998763
7,16,1.18513501378534
7,17,1.20142853235948
7,18,1.23212655272583
7,19,1.27280146057475
7,20,1.29103300135933
7,21,1.25102603047961
7,22,1.14620469134449
7,23,0.995267030226087
