wday,hour,N
1,0,0.179372707677757
1,1,0.0951256735172093
1,2,0.0415681998674582
1,3,0.0718913265066814
1,4,0.22951285824025
1,5,0.546551713073444
1,6,1.02422829751006
1,7,1.49438602444034
1,8,1.73269621074432
1,9,1.6774188145573
1,10,1.51891782298299
1,11,1.4490295636227
1,12,1.49905680389296
1,13,1.62368831841649
1,14,1.7674000090429
1,15,1.85424006634204
1,16,1.81105463232026
1,17,1.62711799671843
1,18,1.33199484452933
1,19,0.970035354569989
1,20,0.626189354346228
1,21,0.38807997695995
1,22,0.261070722443145
1,23,0.179372707677757
2,0,0.194708385428781
2,1,0.116238736676851
2,2,0.063639654425178
2,3,0.0825321063932545
2,4,0.22028249598376
2,5,0.526275133695238
2,6,1.01478649661468
2,7,1.50301105977887
2,8,1.74262307035029
2,9,1.66487659710623
2,10,1.47948105609769
2,11,1.39754973198257
2,12,1.45111649984892
2,13,1.58677444386197
2,14,1.74364260284694
2,15,1.84626983531367
2,16,1.82227158428881
2,17,1.65624008110144
2,18,1.36954504541437
2,19,1.00236584434346
2,20,0.647225607334835
2,21,0.401089845162312
2,22,0.272745700521098
2,23,0.194708385428781
3,0,0.199808499816049
3,1,0.119635606339688
3,2,0.065932247686321
3,3,0.0821901451088692
3,4,0.214927862611978
3,5,0.514163312543862
3,6,0.995288898486862
3,7,1.478852196922
3,8,1.72060147268291
3,9,1.65245614263085
3,10,1.47950632270173
3,11,1.40803705355591
3,12,1.46720483878568
3,13,1.60167025302233
3,14,1.75098730080487
3,15,1.84509238187266
3,16,1.81720417844626
3,17,1.65277609929845
3,18,1.3709795694536
3,19,1.00966757648664
3,20,0.658815106096289
3,21,0.412964290813576
3,22,0.281430144016577
3,23,0.199808499816049
4,0,0.204495819498318
4,1,0.121130997140584
4,2,0.067114244776176
4,3,0.0847200540513995
4,4,0.217770804304299
4,5,0.511878395728283
4,6,0.979921479009862
4,7,1.45105535817575
4,8,1.69333567183745
4,9,1.64099292358697
4,10,1.4859280543111
4,11,1.42157329483079
4,12,1.47749274756422
4,13,1.60506648215956
4,14,1.74871938447948
4,15,1.83930053160713
4,16,1.81044571744632
4,17,1.64805850709487
4,18,1.37178056887788
4,19,1.01870826951181
4,20,0.674529869615883
4,21,0.429152648113401
4,22,0.292332356780161
4,23,0.204495819498318
5,0,0.211222916152521
5,1,0.122883224391808
5,2,0.0718060959431318
5,3,0.0931510014659981
5,4,0.221886928619202
5,5,0.492762646692861
5,6,0.913733460816804
5,7,1.34289504784904
5,8,1.58851731045153
5,9,1.59513924084733
5,10,1.51859799596887
5,11,1.51508988966305
5,12,1.59931389523654
5,13,1.71849808100183
5,14,1.82030737627019
5,15,1.85419423004882
5,16,1.77390709867339
5,17,1.58051896297255
5,18,1.30564156595969
5,19,0.988179171868093
5,20,0.686549270454085
5,21,0.459733889488684
5,22,0.314247783011451
5,23,0.211222916152521
6,0,0.307836842742072
6,1,0.233755026022446
6,2,0.189742652898454
6,3,0.190771426037931
6,4,0.250703474013489
6,5,0.382118141126901
6,6,0.59341368085148
6,7,0.869992052128039
6,8,1.18898606492503
6,9,1.51104296433115
6,10,1.77126981114771
6,11,1.91125013414142
6,12,1.94144950473231
6,13,1.90510397940708
6,14,1.83307606987149
6,15,1.729856777189
6,16,1.59619690763027
6,17,1.42796996344325
6,18,1.2179153260434
6,19,0.971196749135968
6,20,0.728867624017206
6,21,0.53639122434958
6,22,0.403256761072256
6,23,0.307836842742072
7,0,0.304067530753662
7,1,0.203811983164524
7,2,0.154662906502792
7,3,0.154709277467756
7,4,0.197899847868225
7,5,0.273396834400064
7,6,0.377464150590686
7,7,0.547596677372901
7,8,0.834572897406426
7,9,1.22617993407539
7,10,1.6125459974297
7,11,1.88657362352995
7,12,2.02991448152299
7,13,2.06654057408447
7,14,2.02041419983453
7,15,1.91493073906241
7,16,1.77201325916262
7,17,1.59729904180975
7,18,1.38592623457992
7,19,1.14065100183223
7,20,0.886646501252115
7,21,0.652475757019697
7,22,0.455639018523544
7,23,0.304067530753662
