wday,hour,N
1,0,0.594440428973898
1,1,0.598921548293955
1,2,0.598333153094398
1,3,0.592209459509032
1,4,0.595133967607876
1,5,0.63908873137793
1,6,0.749838045401288
1,7,0.91293027654201
1,8,1.10004253315353
1,9,1.28941188398176
1,10,1.46946509368917
1,11,1.6276810709995
1,12,1.73704999163281
1,13,1.76375831727634
1,14,1.69109036499137
1,15,1.53827384514395
1,16,1.32998994709846
1,17,1.10170282821593
1,18,0.895822571937949
1,19,0.744091051848093
1,20,0.647229452548878
1,21,0.599971483348245
1,22,0.589083524359729
1,23,0.594440428973898
2,0,0.593530765277408
2,1,0.598275873196418
2,2,0.598428708679776
2,3,0.593082448597653
2,4,0.596533818505585
2,5,0.64065644413941
2,6,0.751148473613463
2,7,0.91367313245828
2,8,1.10008434268329
2,9,1.28873782853396
2,10,1.46808876710383
2,11,1.62567608389888
2,12,1.73486261352404
2,13,1.76235317333751
2,14,1.69140032563062
2,15,1.5400445202427
2,16,1.33176599852731
2,17,1.10236027528587
2,18,0.895556857643908
2,19,0.743917672320744
2,20,0.647500120193039
2,21,0.600156898110958
2,22,0.58863409321794
2,23,0.593530765277408
3,0,0.594233810222976
3,1,0.598465323206568
3,2,0.597989986525049
3,3,0.591515547480797
3,4,0.593703078376675
3,5,0.63765737191796
3,6,0.749967414034507
3,7,0.915012696173741
3,8,1.10262910510973
3,9,1.29045411135996
3,10,1.46824047609641
3,11,1.62486384743557
3,12,1.7339574766003
3,13,1.76198731776559
3,14,1.69183597610336
3,15,1.54090560758681
3,16,1.33209436752855
3,17,1.1016618903914
3,18,0.894476249013795
3,19,0.743725917474461
3,20,0.648589660808502
3,21,0.601822801771675
3,22,0.589976156792634
3,23,0.594233810222976
4,0,0.593235787842838
4,1,0.598209545895017
4,2,0.598571065517861
4,3,0.59191277020942
4,4,0.592871969906224
4,5,0.635791654693153
4,6,0.748311726326777
4,7,0.914421262707736
4,8,1.10307157746842
4,9,1.29142965792144
4,10,1.46942040121271
4,11,1.62612111574105
4,12,1.73516217666077
4,13,1.76290982372374
4,14,1.69225990468793
4,15,1.54086594835408
4,16,1.33188566775272
4,17,1.10158483078347
4,18,0.894674125515684
4,19,0.744163321265692
4,20,0.648998989673621
4,21,0.601722440288231
4,22,0.589168448008573
4,23,0.593235787842838
5,0,0.596939661131171
5,1,0.600781569592596
5,2,0.598993184836066
5,3,0.592052374224748
5,4,0.594906630023715
5,5,0.639231851648927
5,6,0.750437819838879
5,7,0.913656670644644
5,8,1.10013540587367
5,9,1.28813575417398
5,10,1.46681406149429
5,11,1.62436528078886
5,12,1.73390655347283
5,13,1.76146970306079
5,14,1.69007085673675
5,15,1.53843504521647
5,16,1.33075143212946
5,17,1.10245924560364
5,18,0.896245019394648
5,19,0.744158957418191
5,20,0.64730783029784
5,21,0.600785755382348
5,22,0.591019675884311
5,23,0.596939661131171
6,0,0.796541271305895
6,1,0.796225526447631
6,2,0.794332516089397
6,3,0.792426547678236
6,4,0.797477297138216
6,5,0.822703614459572
6,6,0.878631700176618
6,7,0.958772597761141
6,8,1.05076259361331
6,9,1.14465962519415
6,10,1.23428439451685
6,11,1.31294372628979
6,12,1.36729283449702
6,13,1.3808654571676
6,14,1.34537453265353
6,15,1.26972572799472
6,16,1.16554095258449
6,17,1.05085181916916
6,18,0.947819367332464
6,19,0.872831372449866
6,20,0.825470527393862
6,21,0.802127231665379
6,22,0.795797495115217
6,23,0.796541271305895
7,0,0.895258303236714
7,1,0.895575523364682
7,2,0.895826902937409
7,3,0.896689411760697
7,4,0.901133876837611
7,5,0.914783065176697
7,6,0.94217205404827
7,7,0.980922912594248
7,8,1.02625766590013
7,9,1.07358922192973
7,10,1.1186300971301
7,11,1.15688915299397
7,12,1.18205320690743
7,13,1.18696444528306
7,14,1.16839750718165
7,15,1.13138459699614
7,16,1.08212880719826
7,17,1.02835742915085
7,18,0.978779166944387
7,19,0.940185483830702
7,20,0.913805744505261
7,21,0.899720745371382
7,22,0.895236375483924
7,23,0.895258303236714
